,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,+17 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011",+17 Quarters
0,Revenue,123547,126461,47285,45839,45839,53940,43400,38475,43485,37092,43314,40135,32703,34437,34692,31155,28762,57759,27859,24129,Upgrade
1,Revenue Growth (YoY),169.52%,134.44%,8.95%,19.14%,5.41%,45.42%,0.20%,-4.14%,32.97%,7.71%,24.85%,28.82%,13.70%,-40.38%,24.53%,29.12%,40.48%,21.41%,-35.11%,19.69%,Upgrade
2,Cost of Revenue,75471,75929,35735,34308,34308,39970,33975,31274,32712,31204,31929,29281,26053,22380,28975,20766,24612,46033,20228,18881,Upgrade
3,Gross Profit,48076,50532,11550,11531,11531,13971,9425,7201,10773,5888,11385,10854,6650,12058,5717,10388,4151,11726,7631,5248,Upgrade
4,"Selling, General & Admin",15063,15905,5637,5431,5431,7454,6590,3487,3624,6673,3209,6267,4831,5415,5850,5339,3206,6071,5912,3217,Upgrade
5,Operating Expenses,15063,15905,5637,5431,5431,7454,6590,3487,3624,6673,3209,6267,4831,5415,5850,5339,3206,6071,5912,3217,Upgrade
6,Operating Income,33013,34627,5913,6100,6100,6517,2835,3714,7149,-785.6,8176,4587,1818,6642,-132.83,5049,944.41,5655,1719,2031,Upgrade
7,Interest Expense,-828,-1196,-137.4,-303.15,-,-165.75,-175.2,-184.65,-175.95,-,-,-200,-,-500,-,-,-,-148.01,-,-0.97,Upgrade
8,Interest & Investment Income,3617,7895,9489,15801,-,8999,5509,10837,4771,6073,11801,7764,8466,9395,8508,13931,10806,12760,11053,14554,Upgrade
