,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,67,69,201,301,328,403,616,1233,771,-,-
1,Market Cap Growth,-77.22%,-77.22%,-38.85%,-25.39%,-46.78%,-67.29%,-20.03%,-,-,-,-
2,Enterprise Value,76,76,191,253,279,338,478,1075,769,-,-
3,Last Close Price,0.12,0.12,0.48,0.72,0.79,0.96,1.48,2.95,1.88,-,-
4,PE Ratio,-,-,-,-,-,-31.37,-,-,152.65,-,-
5,PS Ratio,0.25,0.30,0.96,1.66,1.76,1.80,2.67,5.19,3.94,-,-
6,PB Ratio,0.40,0.42,1.37,1.69,1.75,1.87,2.75,5.39,3.47,-,-
7,P/TBV Ratio,1.06,1.06,2.62,3.44,3.68,3.99,6.19,6.23,4.04,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-27.53,-,111.57,-,-
9,P/OCF Ratio,20.73,20.73,22.70,54.55,-,-,-203.59,-,45.83,-,-
10,EV/Sales Ratio,0.34,0.34,0.91,1.40,1.50,1.51,2.07,4.53,3.94,-,-
11,EV/EBITDA Ratio,7.48,163.73,-,-24.49,-,-109.72,-,-,37.06,-,-
12,EV/EBIT Ratio,-,-4.37,-,-,-,-21.70,-,-,64.36,-,-
13,EV/FCF Ratio,-6.40,-,-,-,-,-,-21.36,-,111.41,-,-
14,Debt / Equity Ratio,0.37,0.37,0.39,0.32,0.29,0.26,0.37,0.17,0.17,0.48,0.36
15,Debt / FCF Ratio,-,-,-,-,-,-,-3.70,-,5.53,-,5.42
16,Return on Capital Employed (ROCE),-,-8.60%,-,-,-,-5.79%,-,-,5.01%,-,28.99%
17,Earnings Yield,-50.72%,-49.90%,-17.83%,-7.06%,-5.48%,-3.19%,-3.52%,1.07%,0.66%,-,-
18,FCF Yield,-17.62%,-17.33%,-5.48%,-4.80%,-7.28%,-2.42%,-3.63%,-0.22%,0.90%,-,-
19,Buyback Yield / Dilution,-10.83%,-21.67%,-,-,0.00%,-0.17%,-21.46%,-21.78%,-11.92%,-,-
20,Total Shareholder Return,-10.83%,-21.67%,-,-,0.00%,-0.17%,-21.46%,-21.78%,-11.92%,-,-
