,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,1389,1434,1652,1821,1774,1497,1802,2186,-,-,-,230.74
1,Trading Asset Securities,-,-,80,90,-,-,210,-,-,-,-,-,-
2,Cash & Short-Term Investments,1389,1389,1514,1742,1821,1774,1707,1802,2186,-,-,230.74,230.74
3,Cash Growth,-23.71%,-21.66%,-11.29%,-3.32%,-16.70%,-,-,680.98%,847.56%,-,-,-,-
4,Accounts Receivable,-,467.53,459.55,344.4,337.92,335.21,330.56,292.32,326.41,-,-,-,141.17
5,Other Receivables,-,15.19,15.78,13.21,3.86,11.2,9.18,13.56,12.59,-,-,-,4.74
6,Receivables,-,482.71,475.33,357.6,341.78,346.42,339.74,305.88,339,-,-,-,145.9
7,Inventory,-,879.04,869.13,812.92,874.17,909.98,926.6,874.8,782.85,-,-,-,276.55
8,Prepaid Expenses,-,-,-,-,12.54,-,-,-,3.46,-,-,-,-
9,Other Current Assets,-,262.95,248.95,345.37,313.67,316.21,314.81,299.71,314.6,-,-,-,215.29
10,Total Current Assets,-,3014,3107,3258,3363,3346,3288,3282,3626,-,-,-,868.48
11,"Property, Plant & Equipment",-,500.12,466.33,447.31,381.91,316.78,294.61,273.97,271.06,-,-,-,160.96
12,Long-Term Investments,-,461.08,391.36,302.46,219.16,217.37,141.65,62.6,53.59,-,-,-,0.45
13,Goodwill,-,10.55,10.55,4.94,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,60.25,62.77,31.1,30.97,31.43,33.22,28.18,30.01,-,-,-,36.73
15,Long-Term Deferred Tax Assets,-,0.1,0.12,0.04,0.25,-,-,-,-,-,-,-,-
16,Long-Term Deferred Charges,-,4.56,3.96,3.25,2.6,2.16,1.88,2.15,2.3,-,-,-,-
17,Other Long-Term Assets,-,121.42,136.48,129.12,226.78,236.79,236.78,237.43,377.26,-,-,-,105.16
18,Total Assets,-,4172,4179,4176,4225,4151,3996,3887,4360,-,-,-,1172
19,Accounts Payable,-,242.11,174.5,229.58,166.67,210.04,192.87,182.61,179.87,-,-,-,117.49
20,Accrued Expenses,-,67.65,72.43,42.03,42.17,64.06,43.32,22.13,24.55,-,-,-,50.35
21,Short-Term Debt,-,384.52,306.57,449.74,414.47,414.44,339.33,165.17,364.33,-,-,-,-
22,Current Portion of Long-Term Debt,-,382.88,274.42,120.49,80.27,7.29,-,4.34,10.1,-,-,-,30.04
23,Current Portion of Leases,-,-,9.68,-,10.01,-,6.55,-,5.24,-,-,-,6.16
24,Current Income Taxes Payable,-,3.57,0.13,1.58,-,4.76,0.07,4.08,-,-,-,-,-
25,Current Unearned Revenue,-,2.03,21.12,21.11,22.58,5.32,4.74,17.76,20.15,-,-,-,3.82
26,Other Current Liabilities,-,45.33,96.16,12.7,100.5,9.15,45.53,10.06,84.57,-,-,-,21.69
27,Total Current Liabilities,-,1128,955.01,877.22,836.67,715.06,632.41,406.14,688.83,-,-,-,229.54
28,Long-Term Debt,-,684.35,723.03,723.56,682.95,565.5,360.29,360.28,525.22,-,-,-,1
29,Long-Term Leases,-,10.34,10.7,6.71,7.28,5.21,8.67,3.19,4.89,-,-,-,4.15
30,Long-Term Unearned Revenue,-,51.39,54.8,48.11,28.83,30.14,31.03,30,-,-,-,-,-
31,Long-Term Deferred Tax Liabilities,-,0.2,0.12,0.23,0.11,-,-,-,-,-,-,-,-
32,Other Long-Term Liabilities,-,2.77,2.75,2.72,2.7,4.09,4.05,-,-,-,-,-,-
33,Total Liabilities,-,1877,1746,1659,1559,1320,1036,799.61,1219,-,-,-,234.69
34,Common Stock,-,446.88,446.88,446.88,446.88,446.88,446.88,446.88,446.88,-,-,-,388.8
35,Additional Paid-In Capital,-,2549,2521,2497,2473,2467,2422,2413,2410,-,-,-,400.14
36,Retained Earnings,-,-753.06,-583.04,-455.17,-246.03,-75.54,94.56,228.24,285.38,-,-,-,148.22
37,Comprehensive Income & Other,-,0.99,-6.16,-16.34,-6.57,-7.35,-2.49,-,-,-,-,-,-
38,Total Common Equity,2243,2243,2378,2473,2667,2831,2961,3088,3142,-,-,937.16,937.16
39,Minority Interest,-,51.71,54.31,44.91,-0.28,-0.09,-1.55,-0.84,-0.79,-,-,-,-0.08
40,Shareholders' Equity,2295,2295,2433,2518,2667,2831,2960,3087,3142,-,-,937.08,937.08
41,Total Liabilities & Equity,-,4172,4179,4176,4225,4151,3996,3887,4360,-,-,-,1172
42,Total Debt,1462,1462,1324,1301,1195,992.44,714.84,532.98,909.78,-,-,41.35,41.35
43,Net Cash (Debt),-72.66,-72.66,189.68,441.72,626.26,781.09,991.95,1269,1277,-,-,189.39,189.39
44,Net Cash Growth,-,-,-80.88%,-65.19%,-50.94%,-,-,570.06%,574.05%,-,-,-,-
45,Net Cash Per Share,-0.17,-0.16,0.42,0.99,1.43,1.70,2.21,2.89,3.20,-,-,0.48,0.53
46,Filing Date Shares Outstanding,446.88,446.88,446.88,446.88,446.88,446.88,446.88,446.88,446.88,386.2,386.18,396.58,388.8
47,Total Common Shares Outstanding,446.88,446.88,446.88,446.88,446.88,446.88,446.88,446.88,446.88,386.2,386.18,396.58,388.8
48,Working Capital,-,1886,2152,2381,2527,2631,2656,2876,2937,-,-,-,638.94
49,Book Value Per Share,5.02,5.02,5.32,5.53,5.97,6.33,6.63,6.91,7.03,-,-,2.41,2.41
50,Tangible Book Value,2173,2173,2305,2437,2636,2799,2928,3060,3112,-,-,900.43,900.43
51,Tangible Book Value Per Share,4.86,4.86,5.16,5.45,5.90,6.26,6.55,6.85,6.96,-,-,2.32,2.32
52,Machinery,-,-,219.3,-,12.23,-,114.87,-,9.08,-,-,-,76.43
53,Construction In Progress,-,-,291.84,-,263.91,-,201.05,-,184.23,-,-,-,84.15
