,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,494.66,445.09,417.29,329.24,291.94,355.39,347.57,301.56,407.43,338.47,364.48,337.14,376.98
1,Other Revenue,-,-4,4,-,0.28,-0.12,0.12,-,0.16,-0.04,0.04,-,0.06
2,Revenue,494.66,441.09,421.28,329.24,292.22,355.28,347.69,301.56,407.59,338.43,364.52,337.14,377.03
3,Revenue Growth (YoY),69.27%,24.15%,21.17%,9.18%,-28.30%,4.98%,-4.62%,-10.55%,8.10%,-,-,-,-
4,Cost of Revenue,-857.56,198.74,420.73,238.09,427.99,207.96,305.33,202.55,273.93,199.64,230.06,186.96,209.84
5,Gross Profit,1352,242.35,0.55,91.14,-135.77,147.32,42.36,99.01,133.66,138.8,134.46,150.17,167.2
6,"Selling, General & Admin",-179.74,55.37,68.82,55.55,44.94,59.3,60.05,53.75,45.9,28.43,39.38,31.74,26.96
7,Research & Development,-490.21,177.52,172.6,140.1,85.94,161.49,130.48,106.31,72.07,83.17,70.77,67.94,65.93
8,Other Operating Expenses,2289,0.27,4.83,-4.13,-0.34,-0.95,-18.14,-0.26,33.27,-6.21,-18.86,-6.51,7.02
9,Operating Expenses,1616,234.45,246.58,193.38,135.52,223.93,175.84,157.5,155.67,108.66,90.71,95.08,102.55
10,Operating Income,-263.81,7.91,-246.03,-102.24,-271.29,-76.61,-133.48,-58.48,-22.01,30.14,43.76,55.09,64.64
11,Interest Expense,-12.54,-10.86,-9.45,-9.43,-8.25,-6.03,-4.72,-5.64,-5.42,-6.06,-6.55,-1.78,-0.42
12,Interest & Investment Income,29.74,3.92,4.23,4.39,9.68,5.31,3.24,9.83,1.23,1.16,2.68,1.23,1.87
13,Currency Exchange Gain (Loss),-,-1.54,1.54,-,0.07,-1.22,1.22,-,4.6,-2.96,2.96,-,-0.78
14,Other Non Operating Income (Expenses),1.11,-0.08,-1.46,0.22,1.36,-0.11,-2.03,-1.3,-8.22,7.13,-0.95,-0.49,-0.11
15,EBT Excluding Unusual Items,-245.51,-0.65,-251.17,-107.06,-268.42,-78.66,-135.77,-55.6,-29.82,29.41,41.89,54.05,65.19
16,Gain (Loss) on Sale of Investments,1.36,-1.31,-0.06,-,-0.51,1.24,0.08,-0.88,-0.79,-,-0.16,-,-
17,Gain (Loss) on Sale of Assets,0.01,0,-0.01,-,-3.53,0.02,-0,-,-0,0,-0,-,-
18,Asset Writedown,175.02,-175.52,102.83,-102.32,96.7,-96.62,1.32,-0.63,15.2,-15.2,1.02,-2.39,0.1
19,Other Unusual Items,-24.77,4.96,19.81,-,7.78,-0.06,0.06,-,43.24,0.56,-0.56,-,8.01
20,Pretax Income,-93.89,-172.52,-128.6,-209.38,-167.99,-174.09,-134.32,-57.1,27.83,14.76,42.19,51.67,73.31
21,Income Tax Expense,-7.59,0.1,0.53,0.33,-0.24,-,0.07,0.08,-,-,-,-,-
22,Earnings From Continuing Operations,-86.3,-172.62,-129.12,-209.71,-167.75,-174.09,-134.39,-57.19,27.83,14.76,42.19,51.67,73.31
23,Minority Interest in Earnings,-4.43,2.6,1.25,0.58,0.28,0.95,0.71,0.05,0.23,0.41,0.19,-0.11,0.11
24,Net Income,-90.73,-170.02,-127.87,-209.13,-167.47,-173.13,-133.68,-57.13,28.06,15.17,42.38,51.56,73.41
25,Net Income to Common,-90.73,-170.02,-127.87,-209.13,-167.47,-173.13,-133.68,-57.13,28.06,15.17,42.38,51.56,73.41
26,Net Income Growth,-,-,-,-,-,-,-,-,-61.78%,-,-,-,-
27,Shares Outstanding (Basic),438,447,454,445,438,460,448,439,399,386,386,397,360
28,Shares Outstanding (Diluted),438,447,454,445,438,460,448,439,399,386,386,397,360
29,Shares Change (YoY),-0.01%,-2.83%,1.28%,1.24%,9.97%,19.23%,16.01%,10.82%,10.72%,-,-,-,-
