,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,14698,13679,8410,7222,7275,12361,13719,17473,22299,21227,-,-,-,-
1,Market Cap Growth,10.67%,10.67%,-38.70%,-58.67%,-67.37%,-41.77%,-,-,-,-,-,-,-,-
2,Enterprise Value,14822,13803,8275,6825,6494,11580,12726,16203,22110,21037,-,-,-,-
3,Last Close Price,32.89,30.61,18.82,16.16,16.28,27.66,30.70,39.10,49.90,47.50,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,154.76,-,-,-,-
5,Forward PE,-,-,-,-,-,-,168.22,66.55,74.48,128.38,-,-,-,-
6,PS Ratio,8.70,8.11,5.67,5.17,5.49,9.53,9.72,12.52,15.79,14.66,-,-,-,-
7,PB Ratio,6.55,5.96,3.66,2.97,2.89,4.64,4.85,5.90,7.22,6.76,-,-,-,-
8,P/TBV Ratio,6.30,6.30,3.87,3.13,2.99,4.69,4.90,5.97,7.29,6.82,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-51.82,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,-,-,-63.87,-,-,-,-,-
11,EV/Sales Ratio,8.79,8.19,5.58,4.88,4.90,8.93,9.01,11.61,15.66,14.53,-,-,-,-
12,EV/EBITDA Ratio,-,-,-14.26,-,-,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-13.53,-,-,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-51.38,-,-,-,-,-
15,Debt / Equity Ratio,0.64,0.64,0.64,0.54,0.52,0.45,0.35,0.24,0.17,0.29,-,-,0.04,0.04
16,Debt / EBITDA Ratio,-,-,23.76,-,-,-,-,-,-,-,-,-,0.18,0.15
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-1.24,-,-,-,-,-
18,Asset Turnover,-,0.42,0.40,0.31,0.28,0.35,0.35,0.29,-,-,-,-,-,
19,Inventory Turnover,-,-,0.91,2.00,1.13,1.92,0.91,1.36,0.98,-,-,-,-,-
20,Quick Ratio,-,-,1.66,2.08,2.39,2.59,2.96,3.24,5.19,3.67,-,-,-,1.64
21,Current Ratio,-,-,2.67,3.25,3.71,4.02,4.68,5.20,8.08,5.26,-,-,-,3.78
22,Return on Equity (ROE),-15.04%,-29.21%,-20.87%,-32.36%,-24.41%,-24.05%,-17.78%,-7.34%,-,-,-,22.05%,-,
23,Return on Assets (ROA),-,0.47%,-14.72%,-6.08%,-16.19%,-4.70%,-8.47%,-3.55%,-,-,-,-,-,
24,Return on Capital (ROIC),-17.55%,0.53%,-16.24%,-6.66%,-17.65%,-5.11%,-9.15%,-3.81%,-,-,-,14.08%,-,
25,Return on Capital Employed (ROCE),-,-,-20.09%,-,-,-,-,-,-,-,-,-,-,6.86%
26,Earnings Yield,-4.07%,-4.37%,-8.02%,-9.38%,-9.39%,-4.30%,-2.45%,-0.84%,0.13%,0.65%,-,-,-,-
27,FCF Yield,-,-6.34%,-6.20%,-7.02%,-3.37%,-2.77%,-2.68%,-1.93%,-4.30%,-,-,-,-,
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,28.00%,33.84%,16.34%,3.46%,0.42%
29,Buyback Yield / Dilution,0.11%,0.01%,2.83%,-1.28%,-1.24%,-9.97%,-19.23%,-16.01%,-10.82%,-10.72%,-,-,-,-
30,Total Shareholder Return,0.11%,0.01%,2.83%,-1.28%,-1.24%,-9.97%,-19.23%,-16.01%,-10.82%,-10.72%,-,-,-,-
