,Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,6885597,4758909,6595420,4665852,5659931,4123956,3614680,3129647,4671900,4671900,3280633,1912515,2888439,1070494,2550412,2568571,4257319,2775502,3971458,3553807,Upgrade
1,Revenue Growth (YoY),21.66%,15.40%,82.46%,49.09%,21.15%,-11.73%,10.18%,63.64%,61.74%,336.42%,28.63%,-25.54%,-32.15%,-61.43%,-35.78%,-27.72%,-43.01%,-55.41%,-31.39%,-16.37%,Upgrade
2,Cost of Revenue,6684065,4553479,6373071,4445080,5490742,4023751,3513697,3074048,4569517,4569517,3065298,1845883,2884780,1053674,2415699,2448565,4006937,2607443,3727868,3359432,Upgrade
3,Gross Profit,201532,205430,222349,220772,169189,100205,100984,55600,102383,102383,215335,66632,3659,16820,134713,120006,250383,168059,243590,194375,Upgrade
4,"Selling, General & Admin",106907,118309,-127348,180673,122359,83007,-128613,72416,143023,143023,90265,88581,50571,44306,99422,113772,90294,91578,60571,101156,Upgrade
5,Other Operating Expenses,-,-,51179,-,-,-,27921,-,-,-,-,-,15240,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,106907,118309,194845,180673,122359,83007,120444,72416,143023,143023,360131,88581,16887,90428,121997,120159,372782,102922,70664,109492,Upgrade
7,Operating Income,94625,87120,27504,40099,46830,17199,-19460,-16816,-40640,-40640,-144796,-21949,-13228,-73608,12716,-152.94,-122399,65137,172926,84883,Upgrade
8,Interest Expense,-37571,-31885,-25032,-20557,-21791,-24163,-44447,-24801,-24585,-24585,-19068,-10934,-119.63,-41.1,-173.1,-776.87,-8372,-,-,-,Upgrade
9,Interest & Investment Income,50641,50489,3344,32887,62966,91730,-,83801,75177,75177,79525,75504,40885,77351,76017,39245,53725,58988,61943,61697,Upgrade
10,Earnings From Equity Investments,-0.15,-1.71,-1.69,-13.39,0.91,2.3,-1144,-5804,-6369,-6369,-5860,-5224,-8229,-9673,-7588,-4825,-7869,-6512,-14171,1547,Upgrade
11,Currency Exchange Gain (Loss),76.07,-353.74,237.44,584.67,-254.67,-92.36,-60.78,-47.39,177.56,177.56,127.48,45.99,-100.7,-155.09,86.29,-182.89,29.51,-50.12,-577.12,572.28,Upgrade
12,Other Non Operating Income (Expenses),16221,-1760,71446,4396,8123,-2565,434.86,-1449,34040,34040,16450,-128.54,-133643,-3590,7007,7279,12809,-1087,7222,4604,Upgrade
13,EBT Excluding Unusual Items,123991,103609,77498,57396,95875,82111,-64677,34883,37800,37800,-73622,37315,-114435,-9716,88065,40586,-72076,116477,227343,153304,Upgrade
