,Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,2478609,1705444,2210413,2382338,2842181,-,1882761,-,-,-,913484,528630,884710,1225020,652104,637944,1396765,362958,225703,447905,Upgrade
1,Short-Term Investments,1980339,2391005,1627669,727614,1564185,-,1989982,-,-,-,2619416,3131576,2435011,1793843,3049384,2647122,1884247,3227622,3489239,3344348,Upgrade
2,Trading Asset Securities,265984,238959,252714,237741,212144,-,225076,-,-,-,199147,-,-,5837,-,-,130000,-,-,-,Upgrade
3,Cash & Short-Term Investments,4724933,4335408,4090796,3347693,4618510,4097819,4097819,-,-,-,3732047,3660205,3319721,3024701,3701487,3285067,3411012,3590579,3714942,3792253,Upgrade
4,Cash Growth,2.30%,5.80%,-0.17%,-,-,-,9.80%,-,-,-,0.83%,11.42%,-2.68%,-15.76%,-0.36%,-13.37%,-16.31%,-10.41%,-16.49%,-15.16%,Upgrade
5,Accounts Receivable,12292157,12198659,10890243,10086335,10491911,-,10525986,-,-,-,7952593,7331673,7530191,5804382,6636083,6783925,7103107,6867912,7962145,7359613,Upgrade
6,Other Receivables,8366,-1262357,3475,7430,37397,-,43199,-,-,-,104063,174887,114812,63197,53191,28620,78182,117875,107309,78659,Upgrade
7,Receivables,12409270,11028248,10977859,10169963,10608608,-,10987902,-,-,-,8652386,8059192,8217633,6586989,6709275,6832545,7444125,6985786,8069454,7438272,Upgrade
8,Inventory,4998989,3541050,3126139,2924051,2602819,-,3148106,-,-,-,2111733,1640021,1692285,1623185,1473754,1240144,1492038,1457803,1227587,1486961,Upgrade
9,Prepaid Expenses,17805,20284,7374,10514,13421,-,7324,-,-,-,7797,7219,9501,-9639,5479,4776,6388,3017,3998,2380,Upgrade
10,Other Current Assets,2733945,2371457,2254038,2138151,2046083,-,1642846,-,-,-,966623,727441,636803,590308,534912,482298,514180,725467,632311,721481,Upgrade
11,Total Current Assets,24884941,21296446,20456205,18590373,19889441,-,19883997,-,-,-,15470587,14094078,13875943,11815545,12424907,11844830,12867742,12762653,13648292,13441347,Upgrade
12,"Property, Plant & Equipment",412737,450910,468763,515554,489227,-,449440,-,-,-,507692,674438,608733,606300,629507,652714,672329,696028,719603,742528,Upgrade
13,Long-Term Investments,316499,317969,309363,308200,306076,-,304073,-,-,-,323760,329620,334844,343073,352746,360334,365159,343582,350094,394358,Upgrade
14,Goodwill,98962,106399,109237,75376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Other Intangible Assets,105478,105674,101513,103134,105020,-,106580,-,-,-,103822,105524,107628,104098,91914,92094,93004,94182,95098,96450,Upgrade
16,Long-Term Deferred Tax Assets,152043,137104,143428,101425,94028,-,82522,-,-,-,79341,31288,43432,35959,25612,14679,14083,-,-,1648,Upgrade
17,Other Long-Term Assets,1066864,1252892,1244438,1224648,725485,-,548418,-,-,-,70377,73046,78916,106398,105243,117121,145097,159572,184001,192288,Upgrade
18,Total Assets,27084536,23723796,22868775,20932928,21651893,-,21375030,-,-,-,16555578,15307993,15049496,13011374,13629928,13081772,14157414,14056018,14997088,14868619,Upgrade
19,Accounts Payable,7141853,5408382,6161312,5033156,5770246,-,5195970,-,-,-,2694795,2390372,3260992,2364362,2796912,2758981,3307186,2898460,3287658,3107122,Upgrade
20,Accrued Expenses,270840,211442,248731,174510,166958,-,181465,-,-,-,104473,93425,114744,237324,261599,159965,90489,104055,104276,52264,Upgrade
21,Short-Term Debt,2196745,1855916,1082940,1948399,1425125,-,691556,-,-,-,782083,133059,-,-,-,-,-,-,-,-,Upgrade
22,Current Portion of Long-Term Debt,437191,436778,436256,436125,4860,-,4860,-,-,-,4757,515,-,-,-,-,-,-,-,-,Upgrade
23,Current Portion of Leases,-,-,-,-,-,-,907.3,-,-,-,1724,1764,1724,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,52911,17631,75820,39188,33819,-,17914,-,-,-,25159,-,-,30252,21450,15469,52475,78725,79473,30816,Upgrade
25,Current Unearned Revenue,4658,5050,5357,5252,5504,-,6434,-,-,-,147964,43285,37992,79080,88206,118940,44574,48975,48975,69080,Upgrade
26,Other Current Liabilities,8230476,7056893,6212928,4750678,5339171,-,6503932,-,-,-,4068049,3867837,3383940,1931941,2110985,1648100,2258445,2367923,3007234,3009462,Upgrade
27,Total Current Liabilities,18334674,14992093,14223343,12387309,12745683,-,12603037,-,-,-,7829005,6530257,6799392,4642959,5279152,4701456,5753169,5498138,6527617,6268743,Upgrade
28,Long-Term Debt,18576,19791,21117,22639,496345,-,497729,-,-,-,525497,498578,-,-,-,-,-,-,-,-,Upgrade
29,Long-Term Deferred Tax Liabilities,27858,28345,29480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40770,41375,-,Upgrade
30,Other Long-Term Liabilities,13076,3008,3568,3274,2433,-,2553,-,-,-,2467,2326,2544,57368,5104,5250,5575,7225,6893,6893,Upgrade
31,Total Liabilities,18394184,15043237,14277508,12413221,13244461,-,13103319,-,-,-,8356969,7031161,6801935,4700327,5284256,4706705,5758744,5546133,6575885,6275636,Upgrade
32,Common Stock,1036333,1036333,1036333,1036333,1036333,-,788308,-,-,-,792550,792550,792550,792550,792550,792550,792550,792550,792550,792550,Upgrade
33,Additional Paid-In Capital,2879721,2879708,2879708,2879708,2958324,-,2958324,-,-,-,3038990,3038990,3038990,3038990,3038990,3038990,3038990,3038990,3038990,3038990,Upgrade
34,Retained Earnings,5216222,5209973,5117054,5048090,4943195,-,5055509,-,-,-,4987937,5011797,4982569,5046087,5057489,5086897,5032421,5067565,4978913,5150758,Upgrade
35,Treasury Stock,-445191,-445191,-445191,-445191,-530941,-,-530941,-,-,-,-621396,-621396,-621396,-621396,-597635,-597635,-519526,-443425,-443425,-443425,Upgrade
