,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2405,2181,2106,2543,3059,3363,3205,3712,-,-,-,-,-,-,-,-
1,Market Cap Growth,-35.16%,-35.16%,-34.28%,-31.51%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1607,1387,1298,1609,2125,2373,2332,3508,-,-,-,-,-,-,-,-
3,Last Close Price,35.43,32.55,30.99,36.25,43.62,47.95,45.70,52.52,-,-,-,-,-,-,-,-
4,PE Ratio,16.70,16.00,13.50,12.04,13.43,14.62,11.31,15.07,-,-,-,-,-,-,-,-
5,Forward PE,-,8.06,7.78,9.66,11.95,12.40,12.17,14.72,-,-,-,-,-,-,-,-
6,PS Ratio,2.81,2.70,2.75,3.20,3.62,3.60,2.99,3.31,-,-,-,-,-,-,-,-
7,PB Ratio,1.77,1.52,1.46,1.73,2.15,2.46,2.51,3.12,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.80,1.80,1.72,2.04,2.54,2.89,2.53,3.14,-,-,-,-,-,-,-,-
9,P/FCF Ratio,19.67,17.84,14.37,10.11,-,10.77,8.47,14.01,-,-,-,-,-,-,-,-
10,P/OCF Ratio,14.34,14.34,12.02,8.92,10.97,10.22,8.15,13.32,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.99,1.72,1.70,2.03,2.51,2.54,2.17,3.13,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,11.92,10.10,8.36,8.62,9.79,9.82,8.32,13.20,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,14.12,11.73,9.43,9.26,10.34,10.24,8.63,13.73,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,13.15,11.34,8.85,6.39,-,7.60,6.16,13.23,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.06,0.07,0.05,0.04,0.02,0.03,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
16,Debt / EBITDA Ratio,0.02,0.04,0.52,0.50,0.67,0.33,0.07,0.11,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
17,Debt / FCF Ratio,0.02,0.02,0.61,0.39,-,0.16,0.05,0.13,0.00,-,0.00,0.01,0.11,-0.02,-,-
18,Asset Turnover,0.45,0.49,0.50,0.41,0.38,0.69,0.93,-,-,-,-,1.22,1.32,1.31,-,
19,Inventory Turnover,3.89,4.34,4.36,3.64,3.06,3.18,5.08,4.29,-,-,-,-,3.03,3.49,3.82,-
20,Quick Ratio,5.01,5.01,4.37,3.95,3.76,3.83,7.81,5.71,2.96,-,2.24,-,1.47,1.47,1.63,1.63
21,Current Ratio,5.89,5.89,4.99,4.58,4.47,4.43,8.67,6.70,4.12,-,3.34,-,2.77,2.77,2.86,2.86
22,Return on Equity (ROE),5.05%,14.97%,12.91%,8.41%,11.31%,34.12%,24.61%,-,-,50.90%,43.89%,24.91%,26.54%,20.29%,-,
23,Return on Assets (ROA),2.37%,5.10%,6.33%,3.08%,5.65%,12.60%,16.47%,-,-,-,-,11.80%,12.76%,10.35%,-,
24,Return on Capital (ROIC),2.74%,5.82%,7.33%,3.64%,6.57%,14.29%,19.71%,-,-,26.78%,30.11%,16.54%,17.61%,14.03%,-,
25,Return on Capital Employed (ROCE),7.67%,7.96%,9.22%,11.48%,14.04%,16.53%,20.68%,21.01%,32.00%,-,29.52%,-,22.95%,16.38%,11.15%,5.58%
26,Earnings Yield,5.67%,6.25%,7.41%,8.30%,7.45%,6.84%,8.84%,6.63%,-,-,-,-,-,-,-,-
27,FCF Yield,5.08%,5.61%,6.96%,9.90%,8.26%,9.29%,11.81%,7.14%,-,-,-,-,-,-,-,-
28,Dividend Yield,2.25%,-,4.52%,-,2.29%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,76.29%,178.46%,144.65%,1.26%,2.75%,0.58%,23.13%,-,-,-,-,-,-,-,0.42%,0.42%
30,Buyback Yield / Dilution,-2.30%,-0.57%,0.35%,-0.04%,-11.10%,-32.62%,-34.19%,-32.45%,0.00%,0.14%,0.30%,-0.52%,-,-,-,-
31,Total Shareholder Return,-0.05%,-0.57%,4.87%,-0.04%,-8.81%,-32.62%,-34.19%,-32.45%,0.00%,0.14%,0.30%,-0.52%,-,-,-,-
