,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,624.64,771.6,807.8,820.16,1045,1010,906.82,395.6,-,204.68,-,142.04,142.04,99.9,99.9
1,Trading Asset Securities,263.63,198.77,190,110,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,888.26,970.37,997.8,930.16,1045,1010,906.82,395.6,-,204.68,142.04,142.04,142.04,99.9,99.9
3,Cash Growth,-14.98%,-3.94%,10.03%,135.13%,-,393.53%,538.41%,178.51%,-,104.89%,42.19%,-,-,-,-
4,Accounts Receivable,107.33,103.17,108.42,107.9,103.95,154.64,160.72,156.12,-,224.28,-,133.65,133.65,126.53,126.53
5,Other Receivables,0.44,0.48,4.14,0.6,4.66,0.14,0.23,0.24,-,0.19,-,0.21,0.21,10.09,10.09
6,Receivables,107.77,103.65,112.56,108.51,108.61,154.78,160.95,156.36,-,224.47,-,133.86,133.86,136.62,136.62
7,Inventory,147.34,131.19,155.74,179.36,154.36,100.03,154.79,182.66,-,177.18,-,209.69,209.69,154.42,154.42
8,Other Current Assets,27.05,19.39,19.73,15.07,27.5,28.18,29.56,33.89,-,34.84,-,32.8,32.8,24.31,24.31
9,Total Current Assets,1170,1225,1286,1233,1335,1293,1252,768.51,-,641.17,-,518.39,518.39,415.25,415.25
10,"Property, Plant & Equipment",209.46,211.31,204.87,204.16,157.3,98.68,90.74,92.27,-,90.11,-,82.36,82.36,78.92,78.92
11,Long-Term Investments,150.04,148.32,144.89,141.15,32.4,28.87,24.44,24.44,-,22.49,-,23.23,23.23,22.63,22.63
12,Goodwill,96.63,96.92,97.36,97.81,125.3,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,33.36,33.81,32.75,33.19,19.89,9,9.14,9.28,-,9.55,-,9.83,9.83,10.64,10.64
14,Long-Term Deferred Tax Assets,1.68,1.68,1.82,1.82,1.83,1.16,0.77,0.77,-,1.6,-,1.33,1.33,1.11,1.11
15,Long-Term Deferred Charges,5.63,5.26,3.42,3.83,4.19,4.18,4.51,5.04,-,3.55,-,3.69,3.69,4.4,4.4
16,Other Long-Term Assets,15.76,15.84,22.66,25.25,26.84,20.55,20.85,23.2,-,23.08,-,24.85,24.85,30.64,30.64
17,Total Assets,1683,1738,1794,1740,1703,1456,1403,923.51,-,791.57,-,663.68,663.68,563.58,563.58
18,Accounts Payable,153.51,109.29,135.62,138.12,154.93,85.24,131.7,141.88,-,167.56,-,150.45,167.85,125.06,125.06
