,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,195.26,215.37,219.66,172.48,151.89,244.52,271.05,263,288.81,292.94,278.82,202.28,202.28,183.8,183.8
1,Other Revenue,-2.14,2.14,-,5.66,-2.34,2.34,-,4.37,-2,2,-,0.93,0.93,0.82,0.82
2,Revenue,193.12,217.51,219.66,178.14,149.55,246.86,271.05,267.37,286.81,294.94,278.82,203.21,203.21,184.62,184.62
3,Revenue Growth (YoY),29.14%,-11.89%,-18.96%,-33.37%,-47.86%,-16.30%,-2.79%,31.57%,41.14%,59.75%,51.02%,-,-,-,-
4,Cost of Revenue,151.03,156.26,152.36,127.77,101.15,161.86,180.99,190.27,202.18,216.09,209.22,158.64,158.64,147.62,147.62
5,Gross Profit,42.09,61.25,67.3,50.36,48.41,85,90.07,77.1,84.63,78.85,69.61,44.56,44.56,37.01,37.01
6,"Selling, General & Admin",16.97,16.75,14.46,18.93,10.07,9.74,7.36,18.53,7.69,7.99,6.51,6.91,6.91,6.59,6.59
7,Research & Development,7.04,6.88,5.9,8.11,5.53,6.25,5.26,7.67,4.98,10.48,5.66,5.37,5.37,4.25,4.25
8,Other Operating Expenses,1.66,1.32,2.89,1.24,1.58,-2.66,0.54,3.69,1.25,0.51,-1.8,0.8,0.8,0.85,0.85
9,Operating Expenses,25.84,25.23,22.57,29.18,12.73,12.96,13.43,29.74,10.52,21.5,12.57,13.24,13.24,13.67,13.67
10,Operating Income,16.25,36.02,44.73,21.18,35.67,72.04,76.64,47.36,74.11,57.34,57.04,31.33,31.33,23.33,23.33
11,Interest Expense,-0.43,-0.87,-0.55,-0.38,-0.2,-0.24,-,-0.01,-0,-0.01,-,-0.01,-0.01,-0.08,-0.08
