,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Revenue,189.32,205.35,161.71,235.22,205.11,159.5
1,Revenue Growth (YoY),17.07%,-12.70%,-21.16%,47.47%,-,-
2,Cost of Revenue,162.4,157.16,136.81,188.17,165.39,132.45
3,Gross Profit,26.91,48.19,24.9,47.05,39.72,27.05
4,"Selling, General & Admin",10.68,8.28,9.87,13.76,9.61,11.48
5,Research & Development,6.66,9.11,3.75,-,-,-
6,Other Operating Expenses,-1.19,-1.69,-5.63,-0.79,-0.9,-
7,Operating Expenses,17.1,16.24,8.64,13.85,9.58,11.48
8,Operating Income,9.81,31.94,16.26,33.2,30.14,15.57
9,Interest Expense,-0.19,-0.21,-0.2,-0.58,-0.8,-0.99
10,Interest & Investment Income,2.73,4.16,3.4,1.82,0.72,1.19
11,Currency Exchange Gain (Loss),2.47,-0.18,4.09,3.73,3.89,-2.3
12,EBT Excluding Unusual Items,14.83,35.72,23.55,38.18,33.95,13.47
13,Gain (Loss) on Sale of Assets,-0.05,-1.05,-1.07,-0.21,-0,-0.13
14,Other Unusual Items,-,-,-,-,-,0.12
15,Pretax Income,14.78,34.67,22.48,37.97,33.95,13.46
16,Income Tax Expense,2.34,10.03,5.8,9.44,8.5,3.42
17,Net Income,12.45,24.63,16.68,28.53,25.46,10.04
18,Net Income to Common,12.45,24.63,16.68,28.53,25.46,10.04
19,Net Income Growth,-25.38%,-13.65%,-34.47%,184.17%,-,-
20,Shares Outstanding (Basic),1000,1000,1000,772,748,-
21,Shares Outstanding (Diluted),1000,1000,1000,772,748,-
22,Shares Change (YoY),-,29.57%,33.69%,-,-,-
23,EPS (Basic),0.01,0.02,0.02,0.04,0.03,-
24,EPS (Diluted),0.01,0.02,0.02,0.04,0.03,-
25,EPS Growth,-25.38%,-33.36%,-50.98%,-,-,-
26,Free Cash Flow,-8.18,-21.59,-21.43,89.14,41.26,8.67
27,Free Cash Flow Per Share,-0.01,-0.02,-0.02,0.12,0.06,-
28,Operating Margin,5.18%,15.56%,10.06%,14.11%,14.69%,9.76%
29,Profit Margin,6.57%,12.00%,10.32%,12.13%,12.41%,6.29%
30,Free Cash Flow Margin,-4.32%,-10.51%,-13.25%,37.90%,20.12%,5.44%
31,EBITDA,14.94,38.48,22.67,39.86,38.34,22.26
32,D&A For EBITDA,5.13,6.54,6.4,6.66,8.21,6.69
33,EBIT,9.81,31.94,16.26,33.2,30.14,15.57
