,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Cash & Equivalents,153.11,223.73,210.34,270.73,-,-
1,Short-Term Investments,40,-,-,-,-,-
2,Cash & Short-Term Investments,193.11,223.73,210.34,270.73,-,-
3,Cash Growth,-8.19%,-17.36%,-,-,-,-
4,Accounts Receivable,85.25,70.75,72.48,77.54,-,-
5,Other Receivables,1.16,1.24,0.44,0.06,-,-
6,Receivables,86.56,72.56,72.92,77.6,-,-
7,Inventory,103.13,91.8,66.2,57.76,-,-
8,Other Current Assets,15.13,21.29,12.48,15.81,-,-
9,Total Current Assets,397.94,409.37,361.94,421.91,-,-
10,"Property, Plant & Equipment",70.28,71.46,64.67,69.82,-,-
11,Long-Term Investments,-,-,30,-,-,-
12,Other Intangible Assets,0.05,0.08,0.13,0.2,-,-
13,Long-Term Deferred Tax Assets,1.9,1.73,1.86,1.65,-,-
14,Other Long-Term Assets,4.36,1.97,3.65,0.03,-,-
15,Total Assets,489.12,499.12,477,493.6,-,-
16,Accounts Payable,49,42.21,48.33,70.33,-,-
17,Accrued Expenses,7.74,11.67,7.23,13.56,-,-
18,Current Portion of Leases,0.49,0.47,0.46,0.45,-,-
19,Current Income Taxes Payable,1.84,2.06,4.04,2.93,-,-
20,Current Unearned Revenue,9.47,6.95,5.84,7.88,-,-
21,Other Current Liabilities,19.7,46.71,19.14,22.12,-,-
22,Total Current Liabilities,88.24,110.07,85.04,117.27,-,-
23,Long-Term Leases,5.97,6.65,6.45,7.12,-,-
24,Long-Term Unearned Revenue,1.39,1.51,1.63,1.75,-,-
25,Total Liabilities,95.6,118.23,93.12,126.14,-,-
26,Common Stock,6.95,6.95,6.95,6.95,-,-
27,Additional Paid-In Capital,198.08,198.08,198.08,198.08,-,-
28,Retained Earnings,238.32,225.87,228.55,211.87,-,-
29,Comprehensive Income & Other,-49.82,-50.02,-49.7,-49.44,-,-
30,Shareholders' Equity,393.53,380.89,383.88,367.46,-,-
31,Total Liabilities & Equity,489.12,499.12,477,493.6,-,-
32,Total Debt,6.45,7.12,6.91,7.57,-,-
33,Net Cash (Debt),186.66,216.61,203.43,263.16,-,-
34,Net Cash Growth,-8.24%,-17.69%,-,-,-,-
35,Net Cash Per Share,0.19,0.22,0.20,0.34,-,-
36,Filing Date Shares Outstanding,1000,1000,1000,1000,748,-
37,Total Common Shares Outstanding,1000,1000,1000,1000,748,-
38,Working Capital,309.7,299.3,276.9,304.64,-,-
39,Book Value Per Share,0.39,0.38,0.38,0.37,-,-
40,Tangible Book Value,393.48,380.8,383.75,367.27,-,-
41,Tangible Book Value Per Share,0.39,0.38,0.38,0.37,-,-
42,Machinery,-,184,-,188.82,-,-
43,Construction In Progress,-,-,-,0.85,-,-
