,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Feb '25 Feb 27, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Market Capitalization,275,250,310,375,445,-,-
1,Market Cap Growth,-33.33%,-33.33%,-30.34%,-,-,-,-
2,Enterprise Value,74,11,90,77,372,-,-
3,Last Close Price,0.28,0.25,0.31,0.34,0.40,-,-
4,PE Ratio,6.90,6.27,6.81,7.68,7.29,-,-
5,PS Ratio,0.65,0.59,0.77,0.87,0.89,-,-
6,PB Ratio,0.65,0.59,0.74,0.90,1.07,-,-
7,P/TBV Ratio,0.59,0.59,0.74,0.90,1.07,-,-
8,P/FCF Ratio,-,-,-,-,3.02,-,-
9,P/OCF Ratio,-,-,-,-,2.80,-,-
10,EV/Sales Ratio,0.18,0.03,0.22,0.18,0.75,-,-
11,EV/EBITDA Ratio,1.28,0.20,1.34,1.15,4.20,-,-
12,EV/EBIT Ratio,1.66,0.25,1.70,1.45,5.19,-,-
13,EV/FCF Ratio,-2.33,-,-,-,2.52,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,-,-
15,Debt / FCF Ratio,-,-,-,-,0.06,-,-
16,Return on Capital Employed (ROCE),10.42%,10.42%,12.39%,12.62%,16.83%,-,-
17,Earnings Yield,14.49%,15.94%,14.68%,13.03%,13.71%,-,-
18,FCF Yield,-11.63%,-12.79%,-15.29%,19.51%,33.13%,-,-
19,Buyback Yield / Dilution,-12.88%,-,-29.57%,-33.69%,-,-,-
20,Total Shareholder Return,-12.88%,-,-29.57%,-33.69%,-,-,-
