,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,130,126,123,104,121,167,171,164,166,143,259,Upgrade
1,Market Cap Growth,21.67%,21.67%,1.43%,-38.14%,-29.29%,2.11%,3.13%,14.46%,-36.00%,-53.89%,-37.50%,Upgrade
2,Enterprise Value,262,274,314,276,255,333,444,508,495,470,552,Upgrade
3,Last Close Price,0.07,0.07,0.07,0.06,0.07,0.10,0.10,0.10,0.10,0.08,0.15,Upgrade
4,PE Ratio,-,-,-,-,-4.23,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.34,0.33,0.39,0.30,0.39,2.50,-,2.36,-,0.34,0.54,Upgrade
6,PB Ratio,0.69,0.65,0.64,0.43,0.46,0.67,0.59,0.47,0.47,0.38,0.64,Upgrade
7,P/TBV Ratio,0.78,0.78,0.77,0.68,0.71,1.05,0.85,0.66,0.70,0.55,0.91,Upgrade
8,P/FCF Ratio,-,-,-,-,7.90,23.03,-,-,-,-9.28,-,Upgrade
9,P/OCF Ratio,-,-,-,-,6.34,17.18,-,-,-,7.87,-,Upgrade
10,EV/Sales Ratio,0.69,0.72,1.00,0.79,0.81,4.96,-,7.31,-,1.11,1.15,Upgrade
11,EV/EBITDA Ratio,8.58,14.37,-,11.14,28.54,-,-,99.23,-,10.87,7.39,Upgrade
12,EV/EBIT Ratio,-,-21.55,-,-,-9.67,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-10.00,-,-,-,16.66,45.76,-,-,-,-30.45,-,Upgrade
14,Debt / Equity Ratio,0.94,0.94,1.00,0.87,0.88,0.60,0.64,0.82,0.99,0.85,0.82,Upgrade
15,Debt / FCF Ratio,-,-,-,-,15.11,20.62,-,-,-,-21.07,-,Upgrade
16,Return on Capital Employed (ROCE),-,-4.89%,-,-,-6.65%,-,-,-,-,-,-,Upgrade
17,Earnings Yield,-43.85%,-45.06%,-59.96%,-7.70%,-23.65%,-22.52%,-,-8.70%,-,-75.96%,-33.60%,Upgrade
18,FCF Yield,-20.25%,-20.81%,-24.13%,-1.28%,12.65%,4.34%,-,-26.75%,-,-10.78%,-22.66%,Upgrade
