,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,128.48,131.5,128.36,131.43,118.93,99.32,85.13,75.15,50.66,50.73
1,Revenue Growth (YoY),0.09%,0.05%,7.92%,32.33%,39.72%,32.15%,68.04%,48.15%,1.95%,10.21%
2,Cost of Revenue,93.63,92.09,89.37,86.43,74.73,62.28,55.46,48.31,36.02,32.68
3,Gross Profit,34.84,39.41,38.99,44.99,44.2,37.04,29.66,26.85,14.64,18.04
4,"Selling, General & Admin",28.88,25.35,26.86,26.09,25.07,21.5,16.69,13.01,10.88,12.19
5,Research & Development,2.77,2.9,3.14,2.3,1.59,1.47,0.97,1.09,0.75,0.88
6,Operating Expenses,32.15,27.7,30.49,28.68,26.96,23.38,18.02,14.04,11.77,13.91
7,Operating Income,2.69,11.71,8.5,16.32,17.24,13.66,11.64,12.81,2.87,4.13
8,Interest Expense,-4.3,-3.96,-3.11,-2.53,-1.42,-1.37,-1.21,-1.15,-1.04,-0.64
9,Interest & Investment Income,0.5,0.96,0.8,0.25,0.25,0.93,0.96,1.43,2.71,2.89
10,Earnings From Equity Investments,0.07,0.28,-0.12,0.1,0.15,0.01,-,-0.05,-0.02,0.24
11,Currency Exchange Gain (Loss),0.5,-0.84,0.67,0.56,0.24,0.02,-0.15,-0.1,-0.03,-0.04
12,Other Non Operating Income (Expenses),1.04,1.96,0.68,2.11,1.49,2.33,0.22,1.47,0.7,1.49
13,EBT Excluding Unusual Items,0.5,10.1,7.42,16.81,17.96,15.57,11.47,14.4,5.18,8.07
14,Merger & Restructuring Charges,-0.28,-0.51,-0.01,-0.47,-,-0.25,-,-0.01,-,-0.08
15,Impairment of Goodwill,-,-1.89,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-,-,-,2.05,-,-,-,-,-,1.81
17,Gain (Loss) on Sale of Assets,0.18,-0.02,-,-0.02,-0.03,-0,0,-0.06,0.01,-0.02
18,Asset Writedown,-,-,-,-,-,-,-,-,-,-0.01
19,Other Unusual Items,-,-0.51,-,-0.19,-,-1.73,-,-0.1,0.1,1.07
20,Pretax Income,0.4,7.17,7.41,18.17,17.93,13.6,11.47,14.23,5.29,10.85
21,Income Tax Expense,0.7,1,2.85,5.37,4.83,3.73,2.41,1.27,0.83,1.71
22,Earnings From Continuing Operations,-0.3,6.17,4.56,12.8,13.1,9.86,9.06,12.96,4.46,9.14
23,Minority Interest in Earnings,0.18,0.05,0.03,-0.01,-0.16,-0.27,-0.22,-0.21,-0.06,-0.01
24,Net Income,-0.12,6.22,4.59,12.79,12.95,9.59,8.84,12.75,4.4,9.13
25,Net Income to Common,-0.12,6.22,4.59,12.79,12.95,9.59,8.84,12.75,4.4,9.13
26,Net Income Growth,-,-51.40%,-64.53%,33.34%,46.50%,-24.77%,100.86%,39.66%,-52.67%,8.03%
27,Shares Outstanding (Basic),2028,2039,2041,2041,2055,2051,2047,2007,2018,2011
28,Shares Outstanding (Diluted),2028,2068,2072,2063,2106,2119,2112,2068,2089,2096
29,Shares Change (YoY),-2.10%,0.21%,-1.60%,-2.65%,-0.30%,2.50%,1.08%,-1.35%,28.62%,37.87%
30,EPS (Basic),-0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00
31,EPS (Diluted),-0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00
32,EPS Growth,-,-51.62%,-63.94%,37.83%,45.21%,-27.68%,100.10%,42.42%,-63.17%,-21.96%
33,Free Cash Flow,-11.55,18.69,-0.08,11.03,3.74,10.24,-16.07,12.87,4.21,1.32
34,Free Cash Flow Per Share,-0.01,0.01,-0.00,0.01,0.00,0.00,-0.01,0.01,0.00,0.00
35,Operating Margin,2.09%,8.90%,6.62%,12.41%,14.49%,13.76%,13.68%,17.05%,5.66%,8.15%
36,Profit Margin,-0.09%,4.73%,3.58%,9.73%,10.88%,9.66%,10.38%,16.97%,8.68%,18.00%
37,Free Cash Flow Margin,-8.99%,14.21%,-0.07%,8.39%,3.15%,10.31%,-18.88%,17.13%,8.30%,2.60%
38,EBITDA,16.5,24.68,20.34,27.38,26.72,24.91,17.65,16.19,7.01,6.52
39,D&A For EBITDA,13.81,12.97,11.84,11.07,9.48,11.25,6.01,3.38,4.14,2.39
40,EBIT,2.69,11.71,8.5,16.32,17.24,13.66,11.64,12.81,2.87,4.13
