,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1828,1674,2054,1784,3276,3636,2064,2206,2069,1669,1942,1930,1997,1999,2062,2573,-,-,-,-,-
1,Market Cap Growth,-53.96%,-53.96%,-0.47%,-19.10%,58.35%,117.83%,6.30%,14.30%,3.61%,-16.51%,-5.82%,-25.00%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2836,2682,3081,2839,4262,4622,2945,2940,2509,2110,2287,2194,2123,2126,2127,2572,-,-,-,-,-
3,Last Close Price,15.23,13.95,17.12,14.87,27.30,30.30,17.20,18.38,17.24,13.91,16.18,15.99,16.55,16.57,17.08,21.32,-,-,-,-,-
4,PE Ratio,-,-,-,-17.01,-,-,-,-,-,-,-,64.98,158.48,128.99,-,-,-,-,-,-,-
5,Forward PE,22.40,15.82,15.82,15.82,15.82,15.82,15.82,15.82,15.82,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.27,2.98,3.71,3.07,5.69,6.93,4.45,4.90,4.84,3.60,3.51,3.59,3.92,3.85,4.05,4.90,-,-,-,-,-
7,PB Ratio,7.01,7.36,9.03,6.39,12.26,12.17,5.55,5.93,5.31,3.99,4.02,3.79,3.98,4.02,4.35,5.31,-,-,-,-,-
8,P/TBV Ratio,7.20,7.20,8.84,6.19,11.53,11.62,5.61,5.82,5.25,3.89,3.97,3.75,3.94,3.99,4.34,5.35,-,-,-,-,-
9,P/FCF Ratio,-,-,-9.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-93.33,-,-,-78.87,-,-,-,-,-6497.17,-,1706.52,-311.16,197.53,-,-,-,-,-,-
11,EV/Sales Ratio,5.05,4.78,5.56,4.88,7.40,8.80,6.35,6.53,5.87,4.56,4.13,4.08,4.16,4.09,4.18,4.90,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-51.62,-,-137.40,-,-50.41,-,-,-,19.91,19.33,22.59,22.31,29.46,27.77,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,-,84.95,368.05,172.94,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-13.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,4.73,4.73,4.73,3.90,4.26,3.69,2.89,2.58,2.16,1.57,1.12,0.81,0.69,0.62,0.54,0.54,0.58,0.89,-,0.91,0.81
16,Debt / EBITDA Ratio,-,-,31.25,-,116.24,-,26.66,-,-,-,9.80,3.10,3.01,1.97,5.20,4.81,2.37,3.28,-,1.20,1.36
17,Debt / FCF Ratio,-,-,-4.75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.17,12.10
18,Asset Turnover,-,0.29,0.39,0.35,0.35,0.36,0.41,0.26,0.25,0.45,0.50,0.50,0.74,0.52,0.45,0.70,-,-,-,-,
19,Inventory Turnover,-,-,3.92,6.78,4.50,5.10,3.90,4.35,2.77,3.45,3.04,3.22,3.95,5.20,4.23,4.70,5.92,-,-,-,-
20,Quick Ratio,-,-,0.40,0.48,0.45,0.45,0.54,0.45,0.46,0.44,0.52,0.57,0.70,0.77,1.00,1.16,1.26,0.64,-,0.73,-
21,Current Ratio,-,-,0.63,0.72,0.70,0.68,0.82,0.69,0.73,0.65,0.77,0.91,1.02,1.05,1.49,1.46,1.52,0.87,-,0.89,-
22,Return on Equity (ROE),-68.00%,-84.00%,-0.08%,-47.04%,-83.51%,-15.41%,-22.38%,-32.02%,-67.30%,-8.84%,5.73%,3.88%,17.62%,-9.68%,-8.33%,6.81%,-,-,42.30%,-,
23,Return on Assets (ROA),-,-1.72%,-8.96%,-2.64%,-9.26%,-2.14%,-4.36%,-5.07%,-16.51%,-1.96%,2.08%,1.53%,4.44%,-1.51%,-3.18%,4.07%,-,-,-,-,
24,Return on Capital (ROIC),-11.73%,-2.07%,-10.55%,-3.07%,-10.54%,-2.43%,-5.02%,-6.03%,-20.19%,-2.33%,2.43%,1.83%,5.32%,-1.76%,-3.75%,5.13%,-,-,17.15%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,4.45%,1.02%,2.21%,-,-,10.54%,-,-,16.94%,-
26,Earnings Yield,-6.85%,-7.48%,-6.88%,-5.88%,-3.87%,-3.47%,-6.62%,-5.94%,-5.01%,-4.08%,1.43%,1.54%,0.63%,0.78%,0.22%,0.85%,-,-,-,-,-
27,FCF Yield,-,-11.02%,-19.38%,-13.85%,-14.97%,-30.25%,-26.83%,-24.56%,-23.98%,-15.21%,-14.17%,-11.84%,-10.13%,-7.15%,-3.85%,-,-,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,0.81%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,367.25%,-,-,-,-,-,-,-,35.68%,37.79%,0.42%,-,-,21.29%,11.86%,14.92%,19.93%,18.50%
30,Buyback Yield / Dilution,-0.34%,0.00%,-0.05%,0.02%,0.02%,-40.46%,20.53%,0.00%,-0.03%,21.03%,-28.46%,-0.00%,0.02%,-21.81%,-,-33.33%,-,-,-,-,-
31,Total Shareholder Return,-0.34%,0.00%,-0.05%,0.02%,0.02%,-40.46%,20.53%,0.00%,-0.03%,21.03%,-28.46%,-0.00%,0.02%,-21.00%,-,-33.33%,-,-,-,-,-
