,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,35.5,28.09,40.05,24.07,67.75,44.75,77.01,28.41,73.28,40.55,60.1,40.11,51.17,48.85,270.96,22.96,-,40.88,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,31.58,60,130,-,-,-,-,-
2,Cash & Short-Term Investments,35.5,35.5,28.09,40.05,24.07,67.75,44.75,77.01,28.41,73.28,40.55,60.1,71.69,111.17,178.85,270.96,22.96,-,40.88,26.4
3,Cash Growth,47.48%,-47.60%,-37.24%,-47.99%,-15.26%,-7.54%,10.36%,28.14%,-60.37%,-34.09%,-77.33%,-77.82%,212.25%,-,337.52%,926.28%,-,-,-,-
4,Accounts Receivable,-,269.09,310.34,283.69,288.87,281.84,247.92,216.87,268.18,240.76,231.72,217.26,233.31,185.05,208,203.66,201.26,-,189.06,-
5,Other Receivables,-,1.83,2.8,5.47,5.38,8.42,11.05,11.79,13.1,7.06,5.97,29.69,30.84,36.36,8.16,5.45,5.43,-,5.47,-
6,Receivables,-,270.92,313.14,289.16,294.25,290.26,258.97,228.66,281.28,247.82,237.69,246.95,264.15,221.41,216.16,209.11,206.69,-,194.53,-
7,Inventory,-,85.63,81.07,102.13,93.42,107.96,108.83,125.44,106.47,128.67,128.89,102.41,87.04,87.45,77.46,72.62,62.29,-,37.53,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,0.01,-,1.31,-,1.31,-,-,-,-,-
