,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,147.26,119.45,153.21,141.35,130.85,145.31,149.02,90.2,73.3,132.03,126.35,125.65,164.21,115.32,99.39,135.37,153.89,130.92,152.42,111.53
1,Other Revenue,-,-4.39,4.39,-,9.52,-2.91,2.91,-,5.73,-3.18,3.18,-,5.42,-2.53,2.53,-,4.91,-1.77,1.77,-
2,Revenue,147.26,115.06,157.6,141.35,140.37,142.4,151.93,90.2,79.03,128.86,129.53,125.65,169.63,112.78,101.92,135.37,158.8,129.15,154.2,111.53
3,Revenue Growth (YoY),4.91%,-19.20%,3.73%,56.72%,77.61%,10.52%,17.29%,-28.21%,-53.41%,14.25%,27.09%,-7.18%,6.82%,-12.67%,-33.90%,21.37%,-,-,-,-
4,Cost of Revenue,-346.89,81.79,155.21,109.89,128.39,105.8,127.34,80.28,101.49,97.87,93.23,93.53,113.37,87.11,88.21,99.78,124.21,85.17,100.31,84.83
5,Gross Profit,494.15,33.27,2.38,31.47,11.98,36.61,24.58,9.92,-22.46,30.99,36.29,32.12,56.26,25.68,13.72,35.59,34.59,43.98,53.89,26.71
6,"Selling, General & Admin",-66.56,17.76,27.21,21.6,24.49,21.09,25.67,25.4,25.77,18.65,15.59,15.72,19.3,16.71,16.27,13.1,15.18,14.01,18.36,11.26
7,Research & Development,-84.08,26.73,31.78,25.56,38.88,28.18,22.33,17.04,29.66,22.15,14.35,11.34,11.33,14.53,10.99,10.82,11.66,9.25,8.73,6.97
8,Other Operating Expenses,704.93,1.67,1.72,0.99,7.81,0.69,-0.2,-3.44,4.09,0.4,-1.36,0.42,4.03,-0.31,-0.32,-0.28,7.61,0.12,-0.38,-4.58
9,Operating Expenses,555.34,44.33,60.94,48.69,72.02,50.11,50.34,37.74,62.21,40.05,27.68,26.05,39.91,30.89,25.16,22.99,36.1,22.63,28.09,10.48
10,Operating Income,-61.19,-11.06,-58.56,-17.23,-60.04,-13.5,-25.76,-27.82,-84.67,-9.06,8.61,6.07,16.35,-5.21,-11.45,12.6,-1.51,21.35,25.8,16.23
11,Interest Expense,-46.83,-11.05,-9.06,-9.36,-8.59,-7.07,-7.06,-6.31,-5.53,-6.02,-5.82,-4.62,-3.95,-3.61,-4.44,-3.95,-3.42,-3.98,-3.3,-3.4
12,Interest & Investment Income,26.88,-,49.4,0.03,0.05,0.06,0.11,0.1,-,0.1,0.21,0.63,0.48,0.61,0.5,0.01,0,0.01,0.01,0.01
13,Currency Exchange Gain (Loss),-,-0,0,-,0.33,-0.24,0.24,-,0.18,-0.13,0.13,-,-0.18,0.04,-0.04,-,-2.33,-0.29,0.29,-
14,Other Non Operating Income (Expenses),0.43,-0.26,0.23,-0.2,-4.65,2.36,1.07,-0.88,-0.66,0.05,1.44,-0.42,1.38,-1.38,-0.18,0.07,0.11,-1.41,0.42,0.79
