,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,274.25,290.98,266.24,286.76,273.03,323.31,287.04,321.56,344.09,274.13
1,Revenue Growth (YoY),3.01%,1.47%,-2.49%,-11.30%,-4.88%,0.54%,-16.58%,17.30%,19.72%,-14.40%
2,Cost of Revenue,183.8,201.76,180.46,203.59,202.63,246.54,209.8,220.66,223.18,194.12
3,Gross Profit,90.45,89.23,85.78,83.17,70.4,76.77,77.25,100.9,120.91,80.01
4,"Selling, General & Admin",46.52,44.83,41.26,38.2,40.3,51.43,49.25,55.32,50.69,52.13
5,Research & Development,10.77,11.49,9.72,10.25,9.02,13.38,12.24,12.65,8.72,11.45
6,Other Operating Expenses,6.37,-0.5,1.13,-2.43,3.3,-6.54,7.74,-0.38,3.92,-0.75
7,Operating Expenses,64.36,56.28,51.88,46.47,53.94,55.93,71.71,71.7,63.33,62.83
8,Operating Income,26.09,32.94,33.89,36.7,16.46,20.84,5.54,29.2,57.58,17.18
9,Interest Expense,-0.99,-1.32,-1.44,-1.88,-1.94,-1.47,-1.29,-0.53,-0.88,-0.66
10,Interest & Investment Income,1.21,0.77,0.61,0.37,0.29,0.33,0.22,0.21,0.46,0.68
11,Currency Exchange Gain (Loss),-,0.78,-,-1.23,-,-9.36,-,-6.2,-,0.42
12,Other Non Operating Income (Expenses),7.6,4.84,1.62,3.89,2.44,6.8,7.5,7.73,6.44,5.77
13,EBT Excluding Unusual Items,33.92,38.01,34.69,37.86,17.26,17.14,11.96,30.4,63.59,23.39
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,2.92,-2.92,0.86
15,Gain (Loss) on Sale of Assets,-,0.03,-,0.05,-,-0.59,-,-0.74,-,-0.11
16,Pretax Income,33.92,38.04,34.69,37.9,17.26,16.55,11.96,32.58,60.68,24.14
17,Income Tax Expense,9.94,8.04,7.98,9.12,4.12,5.59,4.91,8.66,20.96,4.26
18,Earnings From Continuing Operations,23.98,30,26.71,28.78,13.14,10.97,7.05,23.92,39.72,19.88
19,Minority Interest in Earnings,-,0.19,0.03,0.04,0.04,0.04,0.04,-0.67,-9.8,-0.1
20,Net Income,23.98,30.19,26.73,28.82,13.18,11,7.09,23.24,29.92,19.78
21,Net Income to Common,23.98,30.19,26.73,28.82,13.18,11,7.09,23.24,29.92,19.78
22,Net Income Growth,-10.31%,4.76%,102.85%,161.88%,85.91%,-52.66%,-76.31%,17.51%,69.67%,5.01%
23,Shares Outstanding (Basic),234,234,234,234,234,234,234,234,234,234
24,Shares Outstanding (Diluted),234,234,234,234,234,236,236,234,234,234
25,Shares Change (YoY),-,-,-,-0.75%,-1.07%,0.91%,1.24%,-0.03%,-0.43%,0.04%
26,EPS (Basic),0.10,0.13,0.11,0.12,0.06,0.05,0.03,0.10,0.13,0.08
27,EPS (Diluted),0.10,0.13,0.11,0.12,0.06,0.05,0.03,0.10,0.13,0.08
28,EPS Growth,-10.08%,4.71%,103.57%,161.96%,86.67%,-52.75%,-76.56%,17.55%,70.67%,4.97%
29,Free Cash Flow,8.81,33.58,24.17,40.2,7.21,14.49,-34.55,28.1,-5.77,-2.02
30,Free Cash Flow Per Share,0.04,0.14,0.10,0.17,0.03,0.06,-0.15,0.12,-0.02,-0.01
31,Dividend Per Share,0.014,0.036,0.017,0.027,0.008,0.009,0.004,0.025,0.020,0.025
32,Dividend Growth,-17.44%,35.32%,107.23%,186.17%,130.56%,-61.63%,-82.00%,0%,42.86%,-
33,Operating Margin,9.51%,11.32%,12.73%,12.80%,6.03%,6.45%,1.93%,9.08%,16.73%,6.27%
34,Profit Margin,8.74%,10.37%,10.04%,10.05%,4.83%,3.40%,2.47%,7.23%,8.69%,7.22%
35,Free Cash Flow Margin,3.21%,11.54%,9.08%,14.02%,2.64%,4.48%,-12.03%,8.74%,-1.68%,-0.74%
36,EBITDA,38.47,43.48,45.66,49.08,26.83,32.56,16.44,39.18,66.05,25.37
37,D&A For EBITDA,12.38,10.53,11.76,12.38,10.37,11.72,10.91,9.98,8.47,8.2
38,EBIT,26.09,32.94,33.89,36.7,16.46,20.84,5.54,29.2,57.58,17.18
