,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,232,377,522,575,204,374,561,1006,504,292,420
1,Market Cap Growth,-34.55%,-34.55%,156.32%,53.75%,-63.75%,-62.79%,11.29%,244.55%,20.00%,-43.42%,-
2,Enterprise Value,172,338,500,572,212,427,544,905,457,197,333
3,Last Close Price,0.99,1.60,2.17,2.38,0.82,1.50,2.25,4.02,2.01,1.15,1.62
4,PE Ratio,4.28,6.95,9.16,10.36,4.85,15.48,31.03,33.16,9.49,5.87,11.24
5,PS Ratio,0.41,0.67,0.94,1.04,0.36,0.63,0.92,1.65,0.76,0.47,0.75
6,PB Ratio,0.70,1.14,1.69,2.07,0.76,1.51,2.28,4.32,2.23,0.95,1.51
7,P/TBV Ratio,1.13,1.13,1.69,2.07,0.76,1.51,2.28,4.32,2.23,0.98,1.53
8,P/FCF Ratio,5.46,8.88,9.03,8.94,4.29,17.25,-27.99,-,22.59,-,-
9,P/OCF Ratio,6.03,6.03,6.82,6.82,3.01,6.14,9.36,11.39,6.40,5.88,8.01
10,EV/Sales Ratio,0.30,0.60,0.90,1.03,0.38,0.72,0.89,1.49,0.69,0.32,0.59
11,EV/EBITDA Ratio,2.06,4.12,5.61,6.04,2.79,7.19,11.11,16.27,4.34,2.15,5.71
12,EV/EBIT Ratio,2.92,5.73,7.48,8.10,3.99,11.44,20.63,26.06,5.27,2.63,8.04
13,EV/FCF Ratio,4.06,7.97,8.65,8.88,4.47,19.67,-27.14,-,20.47,-,-
14,Debt / Equity Ratio,0.16,0.16,0.25,0.32,0.38,0.57,0.63,0.58,0.84,0.14,0.14
15,Debt / FCF Ratio,1.27,1.27,1.31,1.39,2.14,6.51,-7.77,-,8.45,-,-
16,Return on Capital Employed (ROCE),15.52%,15.52%,18.42%,20.40%,15.49%,9.66%,7.61%,9.76%,29.90%,23.60%,13.51%
17,Earnings Yield,23.39%,14.38%,10.91%,9.65%,20.64%,6.46%,3.22%,3.02%,10.54%,17.02%,8.90%
18,FCF Yield,18.30%,11.26%,11.07%,11.19%,23.30%,5.80%,-3.57%,-0.64%,4.43%,-2.67%,0.53%
19,Dividend Yield,5.11%,3.17%,2.47%,1.86%,4.28%,1.18%,0.58%,0.70%,2.22%,3.87%,2.37%
20,Buyback Yield / Dilution,-,-,-,0.75%,1.07%,-0.91%,-1.24%,0.03%,0.43%,-0.04%,
21,Total Shareholder Return,5.11%,3.17%,2.47%,1.86%,5.02%,2.24%,-0.33%,-0.54%,2.25%,4.30%,2.33%
