,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,148532,146247,143962,151274,177781,351906,191492,196519,249076,207945,219370
1,Market Cap Growth,-,-58.44%,-24.82%,-23.02%,-28.62%,69.23%,-12.71%,-,-,-,-
2,Enterprise Value,283470,256929,254644,260021,267919,442044,236147,241174,-,-,-
3,Last Close Price,32500.00,32000.00,29730.34,31240.45,34740.70,68766.94,35800.02,36739.88,46565.66,37207.43,39251.79
4,PE Ratio,6.85,-,-,6.97,7.87,11.43,13.03,6.69,10.08,-,13.11
5,PS Ratio,1.19,-,1.23,1.23,1.43,2.12,1.62,1.39,2.13,4.07,4.38
6,PB Ratio,0.53,0.33,0.33,0.35,0.40,-,0.45,0.47,0.60,-,-
7,P/TBV Ratio,0.52,0.52,0.53,0.55,0.64,-,0.73,0.76,0.97,-,-
8,P/FCF Ratio,-,-,-,-,9.23,7.05,-,2.77,3.81,-,7.88
9,P/OCF Ratio,-,-,-,-,8.76,6.93,-,2.75,3.81,-,7.88
10,EV/Sales Ratio,2.28,-,2.18,2.12,2.15,2.66,1.99,1.70,-,-,-
11,EV/EBITDA Ratio,34.74,-,-,-,-,8.11,-,3.26,-,-,-
12,EV/EBIT Ratio,67.39,-,-,-,-,9.64,-,5.43,-,-,-
13,EV/FCF Ratio,-8.86,-,-,-,13.90,8.85,-,3.40,-,-,-
14,Asset Turnover,-,0.18,0.19,-,-,-,-,-,-,-,
15,Inventory Turnover,11.43,-,17.26,14.11,-,-,-,-,-,-,-
16,Quick Ratio,18.48,18.48,8.90,9.20,10.80,-,11.19,-,10.44,-,-
17,Current Ratio,18.97,18.97,9.08,9.39,11.04,-,11.42,-,10.58,-,-
18,Return on Equity (ROE),-,-5.59%,4.45%,-,-,-,8.24%,-,-,-,
19,Return on Assets (ROA),-,-7.83%,-0.86%,-,-,-,-,-,-,-,
20,Return on Capital (ROIC),-,-8.74%,-0.95%,-,-,-,1.73%,-,-,-,
21,Return on Capital Employed (ROCE),0.94%,-,-,-,-,-,-,-,10.04%,-,-
22,Earnings Yield,14.59%,-,10.73%,14.35%,12.71%,8.75%,7.67%,14.95%,9.92%,6.30%,7.63%
23,FCF Yield,-21.55%,-,-1.45%,3.73%,10.84%,14.19%,-,36.08%,26.25%,-,12.69%
24,Payout Ratio,56.52%,-,-,186.89%,1.64%,0.45%,-,0.54%,-,-,-
25,Buyback Yield / Dilution,-,-0.03%,0.02%,-0.03%,0.06%,0.01%,-,-,-,-,
26,Total Shareholder Return,6.15%,-,-0.03%,0.02%,-0.03%,0.06%,0.01%,-,-,-,-
