,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,7279,8957,33485,14433,-,23433,-,53558,-,-
1,Short-Term Investments,22595,31870,19990,43000,-,47465,-,58455,-,-
2,Cash & Short-Term Investments,29874,40827,53475,57433,-,70898,112013,112013,-,-
3,Cash Growth,-,-42.41%,-52.26%,-48.73%,-,-,-,-,-,-
4,Accounts Receivable,31239,25039,24040,22684,-,6269,-,5931,-,-
5,Other Receivables,378557,385536,379198,374433,-,355754,-,307076,-,-
6,Receivables,409796,410575,403238,397118,-,362023,-,313007,-,-
7,Inventory,10520,8208,6704,5582,-,6460,-,1248,-,-
8,Prepaid Expenses,437.77,59.22,1329,2715,-,1596,-,3840,-,-
9,Other Current Assets,577.33,978.63,1564,1847,-,878.23,-,366.02,-,-
10,Total Current Assets,451205,460648,466311,464695,-,441854,-,430474,-,-
11,"Property, Plant & Equipment",15878,18286,18399,19621,-,19659,-,22067,-,-
12,Other Intangible Assets,-,-,-,-,-,-,-,17.36,-,-
13,Other Long-Term Assets,3180,3371,2598,2874,-,2447,-,2434,-,-
14,Total Assets,470263,482305,487308,487190,-,463960,-,454993,-,-
15,Accounts Payable,10284,29999,19036,19699,-,13069,-,22877,-,-
16,Accrued Expenses,5243,9296,5077,3799,-,10771,-,3912,-,-
17,Current Income Taxes Payable,7472,8650,14886,12970,-,13372,-,12441,-,-
18,Current Unearned Revenue,15.86,15.86,304.17,574.89,-,215.89,-,218.2,-,-
19,Other Current Liabilities,771.58,2766,10344,5056,-,1277,-,1244,-,-
20,Total Current Liabilities,23787,50728,49648,42099,-,38705,-,40692,-,-
21,Other Long-Term Liabilities,-,100,100,100,-,100,-,100,-,-
22,Total Liabilities,23787,50828,49748,42199,-,38805,-,40792,-,-
23,Common Stock,45702,45702,45702,45702,-,45702,-,45702,-,-
24,Retained Earnings,186895,174362,178571,183966,-,168982,-,162269,-,-
25,Comprehensive Income & Other,49067,49116,49128,49143,-,49436,-,49563,-,-
26,Total Common Equity,281664,269181,273402,278811,-,264120,257533,257533,-,-
27,Minority Interest,164812,162296,164158,166180,-,161035,-,156668,-,-
28,Shareholders' Equity,446476,431477,437560,444991,-,425156,414201,414201,-,-
29,Total Liabilities & Equity,470263,482305,487308,487190,-,463960,-,454993,-,-
30,Net Cash (Debt),29874,40827,53475,57433,-,70898,112013,112013,-,-
31,Net Cash Growth,-,-42.41%,-52.26%,-48.73%,-,-,-,-,-,-
32,Net Cash Per Share,-,8932.47,11701.95,12560.57,-,15515.80,24506.41,24505.56,-,-
33,Filing Date Shares Outstanding,-,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
34,Total Common Shares Outstanding,-,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
35,Working Capital,427418,409920,416663,422597,-,403150,-,389782,-,-
36,Book Value Per Share,-,58893.16,59828.24,60975.83,-,57802.28,56341.71,56341.71,-,-
37,Tangible Book Value,281664,269181,273402,278811,-,264120,257516,257516,-,-
38,Tangible Book Value Per Share,-,58893.16,59828.24,60975.83,-,57802.28,56337.91,56337.91,-,-
39,Construction In Progress,812.22,-,-,-,-,-,-,-,-,-
