,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,53.57,92.9,185.49,43.9,63.45,44.81,-,44.68,-,-,-,11.84,11.84
1,Trading Asset Securities,271.88,342.49,241.17,429.97,532.47,7,-,-,-,-,-,10,10
2,Cash & Short-Term Investments,325.45,435.39,426.65,473.87,595.92,51.81,44.68,44.68,-,-,10.3,21.84,21.84
3,Cash Growth,-45.39%,740.29%,855.00%,960.70%,-,-,333.80%,104.56%,-,-,-,-,-
4,Accounts Receivable,260.83,266.89,265.82,261.53,229.05,217.43,-,181.01,-,-,-,152.32,152.32
5,Other Receivables,0.94,0.45,0.83,0.61,0.6,0.69,-,0.4,-,-,-,0.2,0.2
6,Receivables,261.78,267.34,266.65,262.14,229.64,218.12,-,181.41,-,-,-,152.53,152.53
7,Inventory,201.55,188.7,189.72,176.74,158.04,140.2,-,178.73,-,-,-,135.44,135.44
8,Other Current Assets,10.35,6.73,13.11,8.33,8.64,24.73,-,20.56,-,-,-,14.42,14.42
9,Total Current Assets,799.12,898.16,896.13,921.07,992.24,434.87,-,425.38,-,-,-,324.23,324.23
10,"Property, Plant & Equipment",563.53,548.65,530.4,539.94,526.66,512.19,-,521.94,-,-,-,500.36,500.36
11,Other Intangible Assets,29.35,30.35,29.79,30.47,30.83,30.46,-,30.64,-,-,-,33.76,33.76
12,Long-Term Deferred Tax Assets,0.99,2.33,2.33,2.34,2.36,2.1,-,3.37,-,-,-,5.28,5.28
13,Long-Term Deferred Charges,23.27,16.36,14.53,15.12,14.47,15.35,-,16.05,-,-,-,8.5,8.5
14,Other Long-Term Assets,20.86,13.98,5.87,6.52,7.07,6.15,-,3.68,-,-,-,23.69,23.69
15,Total Assets,1437,1510,1479,1515,1574,1001,-,1001,-,-,-,895.83,895.83
16,Accounts Payable,106.4,117.78,74.72,106.98,107.16,71.73,-,79.1,-,-,-,65.71,65.71
17,Accrued Expenses,15.75,14.17,11.9,20.04,9.9,30.58,-,19.21,-,-,-,34.81,34.81
18,Short-Term Debt,-,-,1.42,1.42,92.67,145.48,-,148.37,-,-,-,80,80
19,Current Portion of Long-Term Debt,0.96,19.84,19.85,19.85,19.85,19.91,-,19.77,-,-,-,15.21,15.21
20,Current Portion of Leases,-,0.41,-,-,-,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,2.64,1.98,4.03,6.36,7.8,1.35,-,0.21,-,-,-,2.97,2.97
22,Current Unearned Revenue,1.32,1.42,0.79,1.02,0.76,3.79,-,4.35,-,-,-,16.88,16.88
23,Other Current Liabilities,31.89,41.96,36.85,40.26,40.99,47.3,-,65.96,-,-,-,67.67,67.67
24,Total Current Liabilities,158.96,197.55,149.56,195.94,279.15,320.14,-,336.98,-,-,-,283.25,283.25
25,Long-Term Debt,12.9,60.14,70.03,70.03,79.92,79.92,-,89.8,-,-,-,117.05,117.05
26,Long-Term Leases,1.52,1.5,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,12.27,8.74,9.5,9.52,0.29,0.32,-,0.39,-,-,-,6.24,6.24
28,Long-Term Deferred Tax Liabilities,-,-,-,-,1.13,0.93,-,-,-,-,-,-,-
29,Total Liabilities,185.65,267.92,229.09,275.48,360.48,401.3,-,427.17,-,-,-,406.54,406.54
30,Common Stock,138.25,138.25,138.25,138.25,138.25,103.69,-,103.69,-,-,-,103.69,103.69
31,Additional Paid-In Capital,919.11,918.96,918.83,918.67,918.52,351.64,-,351.33,-,-,-,351.16,351.16
32,Retained Earnings,194.12,184.68,192.88,183.07,156.38,144.48,-,118.87,-,-,-,18.68,18.68
33,Comprehensive Income & Other,-0,-0,-,-,-,-,-,-,-,-,-,-,-
34,Total Common Equity,1251,1242,1250,1240,1213,599.82,573.89,573.89,-,-,505.7,473.53,473.53
35,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,15.76,15.76
36,Shareholders' Equity,1251,1242,1250,1240,1213,599.82,573.89,573.89,-,-,505.7,489.29,489.29
37,Total Liabilities & Equity,1437,1510,1479,1515,1574,1001,-,1001,-,-,-,895.83,895.83
38,Total Debt,15.38,81.88,91.3,91.3,192.44,245.3,257.95,257.95,-,-,226.32,212.26,212.26
39,Net Cash (Debt),310.08,353.51,335.35,382.57,403.48,-193.49,-213.27,-213.27,-,-,-216.02,-190.42,-190.42
40,Net Cash Growth,-23.15%,-,-,-,-,-,-,-,-,-,-,-,-
41,Net Cash Per Share,2.33,2.54,2.39,2.77,3.20,-2.01,-1.96,-2.06,-,-,-2.11,-1.84,-1.84
42,Filing Date Shares Outstanding,138.25,138.25,138.25,138.25,138.25,103.69,108.71,103.69,105.85,102.59,102.59,103.69,103.69
43,Total Common Shares Outstanding,138.25,138.25,138.25,138.25,138.25,103.69,108.71,103.69,105.85,102.59,102.59,103.69,103.69
44,Working Capital,640.16,700.61,746.57,725.14,713.1,114.73,-,88.4,-,-,-,40.98,40.98
45,Book Value Per Share,9.05,8.98,9.04,8.97,8.77,5.78,5.53,5.53,-,-,4.88,4.57,4.57
46,Tangible Book Value,1222,1212,1220,1210,1182,569.36,543.25,543.25,-,-,473.06,439.77,439.77
47,Tangible Book Value Per Share,8.84,8.76,8.83,8.75,8.55,5.49,5.24,5.24,-,-,4.56,4.24,4.24
48,Buildings,-,311.25,-,311.25,-,300.41,-,300.41,-,-,-,300.2,300.2
49,Machinery,-,527.85,-,502.59,-,481.92,-,477.9,-,-,-,422.12,422.12
50,Construction In Progress,-,77.2,-,75,-,62.49,-,51.83,-,-,-,15.72,15.72
