,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,214.19,183.69,197.14,190.68,198.99,170.31,167.88,154.12,212.55,157.95,157.95,157.43,157.43
1,Other Revenue,-16.07,16.07,-,30.89,-12.13,12.13,-,24.33,-11.56,5.78,5.78,6.09,6.09
2,Revenue,198.12,199.77,197.14,221.57,186.86,182.44,167.88,178.45,200.98,163.73,163.73,163.53,163.53
3,Revenue Growth (YoY),6.03%,9.50%,17.43%,24.16%,-7.03%,11.42%,2.53%,9.13%,22.91%,-,-,-,-
4,Cost of Revenue,159.33,163.08,152.52,157.25,143.83,140.79,129.13,130.88,147.31,127.29,127.29,128,128
5,Gross Profit,38.79,36.68,44.62,64.32,43.03,41.64,38.75,47.57,53.68,36.44,36.44,35.52,35.52
6,"Selling, General & Admin",20.68,17.14,17.88,18.5,16.06,13.3,13.94,14.01,14.62,12.28,12.28,12.82,12.82
7,Research & Development,15.32,12.51,15.12,15.56,11.36,9.83,9.99,11.12,9.45,7.63,7.63,7.57,7.57
8,Other Operating Expenses,-1.3,-0.02,0.82,-0.97,1.43,1.51,0.91,0.46,1.75,1.25,1.25,1.04,1.04
9,Operating Expenses,32.15,28.97,33.3,37.41,28.72,23.87,25.26,26.37,26.81,21.25,21.25,21.24,21.24
10,Operating Income,6.64,7.71,11.31,26.91,14.31,17.77,13.49,21.21,26.87,15.19,15.19,14.28,14.28
11,Interest Expense,-0.43,-0.74,-0.73,-2.05,-0.98,-2.62,-2.76,-3.04,-2.92,-3.1,-3.1,-1.69,-1.69
12,Interest & Investment Income,1.01,0.47,2.13,0.54,0.95,0.09,0.06,-,0.2,0.02,0.02,0.02,0.02
13,Currency Exchange Gain (Loss),0.92,-0.92,-,0.96,-1.62,1.62,-,0.67,0.06,-0.03,-0.03,-0.86,-0.86
14,Other Non Operating Income (Expenses),-2.13,1.08,-1.2,-1,1.39,1.03,-0.18,-1.42,0.44,0.36,0.36,-0.05,-0.05
15,EBT Excluding Unusual Items,6.01,7.59,11.52,25.35,14.05,17.89,10.61,17.42,24.66,12.45,12.45,11.7,11.7
16,Gain (Loss) on Sale of Investments,3.62,2.48,-,2.79,-,-,-,-0,-0.07,-0.05,-0.05,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,0.35,-,-,-,-,-,-,-,-,-
18,Asset Writedown,1.5,1.44,-1.74,-1.36,0.86,0.31,-0.31,-1.19,1.13,-0.01,-0.01,-0.21,-0.21
19,Other Unusual Items,-0.77,0.22,0.56,3.07,0.05,-0.05,-,2.12,0.08,-0.04,-0.04,0.93,0.93
20,Pretax Income,10.36,11.73,10.34,30.19,14.95,18.14,10.3,18.35,25.8,12.35,12.35,12.43,12.43
21,Income Tax Expense,1.08,0.58,0.52,3.51,3.06,2.31,0.52,-3.62,2.76,1.06,1.06,0.87,0.87
22,Earnings From Continuing Operations,9.28,11.16,9.81,26.69,11.9,15.83,9.78,21.97,23.05,11.29,11.29,11.56,11.56
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,0.22,0.22
24,Net Income,9.28,11.16,9.81,26.69,11.9,15.83,9.78,21.97,23.05,11.29,11.29,11.77,11.77
25,Net Income to Common,9.28,11.16,9.81,26.69,11.9,15.83,9.78,21.97,23.05,11.29,11.29,11.77,11.77
26,Net Income Growth,-22.02%,-29.53%,0.30%,21.50%,-48.38%,40.30%,-13.30%,86.55%,95.74%,-,-,-,-
27,Shares Outstanding (Basic),133,139,140,138,126,96,109,104,106,103,103,104,104
28,Shares Outstanding (Diluted),133,139,140,138,126,96,109,104,106,103,103,104,104
29,Shares Change (YoY),5.38%,44.90%,28.96%,33.26%,19.10%,-6.21%,5.96%,0.04%,2.08%,-,-,-,-
30,EPS (Basic),0.07,0.08,0.07,0.19,0.09,0.16,0.09,0.21,0.22,0.11,0.11,0.11,0.11
31,EPS (Diluted),0.07,0.08,0.07,0.19,0.09,0.16,0.09,0.21,0.22,0.11,0.11,0.11,0.11
32,EPS Growth,-26.01%,-51.36%,-22.22%,-9.54%,-56.66%,49.58%,-18.18%,84.91%,91.75%,-,-,-,-
33,Free Cash Flow,-30.52,-27.66,-3.6,-8.18,-15.36,23.77,3.37,27.84,2.53,-5.03,-5.03,-3.1,-3.1
34,Free Cash Flow Per Share,-0.23,-0.20,-0.03,-0.06,-0.12,0.25,0.03,0.27,0.02,-0.05,-0.05,-0.03,-0.03
35,Dividend Per Share,-,0.028,-,0.140,-,-,-,-,-,-,-,-,-
36,Gross Margin,19.58%,18.36%,22.63%,29.03%,23.03%,22.83%,23.08%,26.66%,26.71%,22.26%,22.26%,21.72%,21.72%
37,Operating Margin,3.35%,3.86%,5.74%,12.14%,7.66%,9.74%,8.03%,11.88%,13.37%,9.28%,9.28%,8.73%,8.73%
38,Profit Margin,4.68%,5.59%,4.98%,12.05%,6.37%,8.68%,5.83%,12.31%,11.47%,6.89%,6.89%,7.20%,7.20%
39,Free Cash Flow Margin,-15.41%,-13.85%,-1.83%,-3.69%,-8.22%,13.03%,2.01%,15.60%,1.26%,-3.07%,-3.07%,-1.90%,-1.90%
40,EBITDA,19.67,21.07,24.34,39.94,27.1,31.2,26.28,34,39.79,28.11,28.11,25.73,25.73
41,EBITDA Margin,9.93%,10.55%,12.35%,18.02%,14.50%,17.10%,15.65%,19.05%,19.80%,17.17%,17.17%,15.73%,15.73%
42,D&A For EBITDA,13.03,13.36,13.03,13.03,12.79,13.42,12.79,12.79,12.92,12.92,12.92,11.45,11.45
43,EBIT,6.64,7.71,11.31,26.91,14.31,17.77,13.49,21.21,26.87,15.19,15.19,14.28,14.28
44,EBIT Margin,3.35%,3.86%,5.74%,12.14%,7.66%,9.74%,8.03%,11.88%,13.37%,9.28%,9.28%,8.73%,8.73%
45,Effective Tax Rate,10.43%,4.91%,5.05%,11.61%,20.44%,12.74%,5.01%,-,10.68%,8.58%,8.58%,6.98%,6.98%
46,Revenue as Reported,198.12,199.77,197.14,221.57,186.86,182.44,167.88,178.45,200.98,163.73,163.73,-,-
