,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Feb '25 Feb 20, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3773,4148,3143,3784,4066,5030,-,-,-,-,-,-,-,-
1,Market Cap Growth,-17.54%,-17.54%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3463,3794,2807,3381,3663,5223,-,-,-,-,-,-,-,-
3,Last Close Price,27.29,30.00,22.55,27.15,29.18,36.09,-,-,-,-,-,-,-,-
4,PE Ratio,66.87,72.85,52.77,58.91,63.33,84.56,-,-,-,-,-,-,-,-
5,PS Ratio,4.63,5.08,3.90,4.80,5.36,7.03,-,-,-,-,-,-,-,-
6,PB Ratio,3.01,3.31,2.53,3.03,3.28,4.15,-,-,-,-,-,-,-,-
7,P/TBV Ratio,3.39,3.39,2.59,3.10,3.36,4.25,-,-,-,-,-,-,-,-
8,P/OCF Ratio,82.56,82.56,50.01,46.35,44.17,39.42,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,4.24,4.65,3.49,4.29,4.83,7.30,-,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,32.91,36.13,24.96,27.58,29.42,44.05,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,66.09,72.17,46.60,48.08,50.53,78.22,-,-,-,-,-,-,-,-
12,Debt / Equity Ratio,0.01,0.01,0.07,0.07,0.07,0.16,0.41,0.45,0.45,-,-,0.45,0.43,0.43
13,Debt / EBITDA Ratio,0.15,0.20,0.96,0.94,0.57,1.78,1.97,2.45,1.90,-,-,2.01,2.06,2.06
14,Debt / FCF Ratio,-,-,-,-,-,-,4.27,8.99,12.71,-,-,-,-,-
15,Asset Turnover,0.54,0.53,0.53,0.57,0.58,-,-,-,-,-,-,0.73,-,
16,Inventory Turnover,3.52,3.27,3.45,3.33,3.76,3.86,-,-,-,-,-,-,3.78,-
17,Quick Ratio,3.69,3.69,3.56,4.64,3.76,2.96,0.84,-,0.67,-,-,-,0.62,0.62
18,Current Ratio,5.03,5.03,4.55,5.99,4.70,3.55,1.36,-,1.26,-,-,-,1.14,1.14
19,Return on Equity (ROE),2.98%,3.58%,3.15%,8.70%,5.25%,10.79%,6.82%,-,-,-,-,9.45%,-,
20,Return on Assets (ROA),1.13%,1.29%,1.89%,4.36%,2.78%,-,-,-,-,-,-,3.98%,-,
21,Return on Capital (ROIC),1.28%,1.45%,2.12%,4.92%,3.18%,5.30%,4.05%,-,-,-,-,5.09%,-,
22,Return on Capital Employed (ROCE),4.10%,4.11%,4.59%,5.29%,5.49%,5.16%,11.65%,-,11.81%,-,-,-,4.66%,2.33%
23,Earnings Yield,1.51%,1.37%,1.90%,1.70%,1.58%,1.18%,-,-,-,-,-,-,-,-
24,FCF Yield,-1.85%,-1.69%,-1.74%,-0.09%,0.09%,0.79%,-,-,-,-,-,-,-,-
25,Dividend Yield,0.20%,-,0.74%,-,0.48%,-,-,-,-,-,-,-,-,-
26,Payout Ratio,39.24%,211.40%,13.27%,-,4.70%,15.42%,16.75%,29.87%,13.01%,13.14%,27.85%,27.85%,22.16%,22.16%
27,Buyback Yield / Dilution,-27.40%,-5.38%,-44.90%,-28.96%,-33.26%,-19.10%,6.21%,-5.96%,-0.04%,-2.08%,-,-,-,-
28,Total Shareholder Return,-27.20%,-5.38%,-44.15%,-28.96%,-32.78%,-19.10%,6.21%,-5.96%,-0.04%,-2.08%,-,-,-,-
