,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,84,90,105,148,82,111,126,135,135,1670,-
1,Market Cap Growth,-38.85%,-38.85%,28.57%,33.65%,-34.75%,-18.11%,-7.09%,-91.91%,-,-,-
2,Enterprise Value,158,180,197,268,297,285,373,299,220,1816,-
3,Last Close Price,0.08,0.09,0.10,0.14,0.08,0.10,0.12,0.13,0.13,1.57,-
4,PE Ratio,45.42,48.76,23.17,18.23,6.48,10.78,14.03,12.33,-6.02,-,-
5,PS Ratio,0.14,0.16,0.18,0.27,0.14,0.19,0.23,0.30,0.40,4.79,-
6,PB Ratio,0.27,0.27,0.32,0.45,0.26,0.36,0.41,0.45,0.45,6.04,-
7,P/TBV Ratio,0.29,0.29,0.33,0.48,0.27,0.38,0.43,0.47,0.47,6.23,-
8,P/FCF Ratio,2.76,2.97,1.52,0.77,0.99,-,1.45,-1.88,-,-,-
9,P/OCF Ratio,2.21,2.21,1.30,0.71,0.84,-,1.27,-2.47,-,-,-
10,EV/Sales Ratio,0.27,0.31,0.33,0.48,0.50,0.50,0.69,0.66,0.66,5.20,-
11,EV/EBITDA Ratio,2.60,2.99,3.02,5.22,5.62,5.72,8.12,10.55,-20.89,-,-
12,EV/EBIT Ratio,7.25,6.64,6.20,13.31,13.66,15.29,26.65,-350.19,-,-,-
13,EV/FCF Ratio,5.20,5.92,2.83,1.39,3.57,-,4.30,-4.16,-,-,-
14,Debt / Equity Ratio,0.52,0.52,0.57,0.61,0.65,0.82,0.82,0.91,0.71,0.62,0.74
15,Debt / FCF Ratio,5.65,5.65,2.74,1.03,2.49,-,2.91,-3.79,-,-,-
16,Return on Capital Employed (ROCE),7.74%,7.57%,8.65%,5.59%,6.09%,5.46%,4.08%,-0.25%,-,-,31.81%
17,Earnings Yield,2.21%,2.05%,4.32%,5.49%,15.42%,9.28%,7.13%,8.11%,-16.60%,0.20%,-
18,FCF Yield,36.21%,33.65%,66.00%,130.46%,101.41%,25.42%,69.04%,-53.26%,-82.21%,-4.11%,-
19,Buyback Yield / Dilution,-,-,-,-,-,0.00%,-8.28%,-33.33%,-23.13%,-,
20,Total Shareholder Return,-,-,-,-,-,0.00%,-8.28%,-33.33%,-23.13%,-,
