,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,45.43,55.47,46.1,50.25,52.47,48.76,44.45,33.93,23.19,39.55
1,Revenue Growth (YoY),-1.45%,10.39%,-12.14%,3.07%,18.06%,43.71%,91.67%,-14.22%,-12.28%,-
2,Cost of Revenue,39.36,48.18,38.92,44.96,45.57,41.57,38.46,30.77,21.96,27.3
3,Gross Profit,6.07,7.29,7.19,5.29,6.9,7.19,5.98,3.16,1.23,12.25
4,"Selling, General & Admin",4.35,4.75,4.9,4.54,5.22,5.64,4.49,5.4,5.34,3.87
5,Other Operating Expenses,-0.23,-0.12,-0.23,0.48,-1.12,0.44,-0.73,0.02,-0.1,-0.16
6,Operating Expenses,4.13,4.53,4.59,4.41,4.05,6.74,4.01,5.28,5.56,3.66
7,Operating Income,1.94,2.77,2.6,0.88,2.85,0.45,1.97,-2.12,-4.33,8.59
8,Interest Expense,-0.76,-0.83,-0.77,-0.73,-0.53,-0.6,-0.52,-0.39,-0.51,-0.44
9,Interest & Investment Income,0.05,0.05,0.03,0.02,0.01,0.01,0.01,0.01,0,0.01
10,Earnings From Equity Investments,-0.75,-0.27,-0.46,0.12,-0.3,-0.4,-0.22,-0.08,-0.32,0.03
11,Currency Exchange Gain (Loss),-,-,-,-,-,0,-0,-,-,-0.01
12,EBT Excluding Unusual Items,0.48,1.72,1.4,0.3,2.03,-0.54,1.24,-2.57,-5.15,8.19
13,Gain (Loss) on Sale of Investments,-,-1.05,-,-,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,0.13,0.12,0.08,0.07,0.12,0.12,0.04,0.08,0.01,0.56
15,Asset Writedown,-0,0.02,-,0.28,-0.01,0.16,-,-0.02,-,-0.05
16,Other Unusual Items,0.13,0.13,0.1,0.95,-,1.5,0.27,3.4,0.56,-1.7
17,Pretax Income,0.75,0.94,1.58,1.59,2.14,1.24,1.56,0.88,-4.58,7
18,Income Tax Expense,0.53,0.61,0.57,0.4,0.66,0.35,0.31,-0.26,0.34,1.77
19,Earnings From Continuing Operations,0.22,0.33,1.02,1.19,1.48,0.89,1.24,1.14,-4.92,5.23
20,Minority Interest in Earnings,-0.22,-0.01,-0.57,-0.24,-0.26,-0.29,-0.3,-0.19,0.14,0.15
21,Net Income,0,0.32,0.45,0.95,1.22,0.6,0.95,0.95,-4.78,5.38
22,Net Income to Common,0,0.32,0.45,0.95,1.22,0.6,0.95,0.95,-4.78,5.38
23,Net Income Growth,-99.55%,-66.42%,-63.28%,58.83%,28.83%,-36.91%,-,-82.32%,-,-
24,Shares Outstanding (Basic),1064,1064,1064,1064,1064,1064,1064,1064,983,798
25,Shares Outstanding (Diluted),1064,1064,1064,1064,1064,1064,1064,1064,983,798
26,Shares Change (YoY),-,-,-,-,-,-0.00%,8.28%,33.33%,23.13%,-
27,EPS (Basic),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.01
28,EPS (Diluted),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.01
29,EPS Growth,-99.76%,-66.48%,-63.26%,58.97%,28.76%,-36.95%,-,-86.75%,-,-
30,Free Cash Flow,4.78,0.5,11.24,22.08,-7.79,12.78,2.21,-14.68,-4.26,-8.07
31,Free Cash Flow Per Share,0.00,0.00,0.01,0.02,-0.01,0.01,0.00,-0.01,-0.00,-0.01
32,Operating Margin,4.28%,4.99%,5.63%,1.76%,5.43%,0.92%,4.43%,-6.24%,-18.68%,21.72%
33,Profit Margin,0.00%,0.58%,0.97%,1.90%,2.33%,1.23%,2.13%,2.80%,-20.59%,13.60%
34,Free Cash Flow Margin,10.52%,0.91%,24.39%,43.93%,-14.85%,26.20%,4.97%,-43.25%,-18.39%,-20.41%
35,EBITDA,4.81,5.67,5.33,3.54,5.54,3.29,4.66,0.26,-2.05,10.77
36,D&A For EBITDA,2.87,2.9,2.73,2.66,2.69,2.84,2.69,2.37,2.28,2.18
37,EBIT,1.94,2.77,2.6,0.88,2.85,0.45,1.97,-2.12,-4.33,8.59
