,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2042,2010,1809,1764,2416,2680,2682,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-24.99%,-24.99%,-32.57%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1581,1479,1228,948,1601,1805,2524,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,17.55,17.10,15.14,14.54,19.92,22.09,22.11,-,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,31.49,30.70,30.75,33.36,50.74,47.89,44.11,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,2.52,2.46,2.52,2.81,3.93,4.56,4.37,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.53,1.54,1.39,1.30,1.80,2.00,2.01,-,-,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.58,1.58,1.43,1.49,1.83,2.05,2.06,-,-,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-123.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,569.72,-,-,52.00,381.58,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.94,1.81,1.71,1.51,2.60,3.07,4.11,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,18.81,17.34,15.97,13.53,21.60,29.35,30.97,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,34.15,29.12,28.49,24.32,36.60,-,47.73,-,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-5.45,-,-,-,-,-83.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.02,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,0.14,0.14,0.18
15,Debt / EBITDA Ratio,0.61,0.83,0.55,0.60,0.21,0.00,0.00,0.00,0.01,-,-,-,-,-,-,-,-,0.36,0.36,-
16,Debt / FCF Ratio,-,-,-,-,-,-0.01,-,-,-,-,-,-,-,-,-,-,-,0.75,1.51,-
17,Asset Turnover,0.56,0.57,0.49,0.48,0.33,0.50,0.96,-,-,-,-,-,1.15,1.24,1.16,1.20,1.00,-,-,
18,Inventory Turnover,2.84,2.46,3.10,3.34,3.97,3.17,3.75,4.63,-,-,-,-,-,4.19,4.70,4.38,4.89,3.95,-,-
19,Quick Ratio,2.35,2.35,2.82,3.74,6.40,7.99,8.89,2.37,2.08,-,1.49,-,0.88,0.97,0.97,1.06,1.06,1.17,1.17,0.88
20,Current Ratio,3.57,3.57,3.81,4.74,7.44,9.21,9.94,3.37,3.00,-,2.16,-,1.61,1.61,1.61,1.75,1.75,1.71,1.71,1.44
21,Return on Equity (ROE),2.45%,3.85%,5.39%,2.90%,1.81%,4.21%,11.33%,-,-,25.10%,-,-,23.09%,24.07%,30.79%,33.34%,24.30%,-,-,
22,Return on Assets (ROA),1.18%,1.68%,2.78%,2.58%,-0.04%,1.49%,7.47%,-,-,-,-,-,8.44%,9.07%,11.22%,11.60%,12.04%,-,-,
23,Return on Capital (ROIC),1.37%,1.92%,3.10%,2.84%,-0.04%,1.69%,9.29%,-,-,13.90%,-,-,13.22%,13.78%,16.49%,16.81%,17.21%,-,-,
24,Return on Capital Employed (ROCE),3.50%,3.84%,3.26%,2.82%,3.20%,-,3.94%,12.35%,12.42%,-,13.11%,-,-,22.49%,23.28%,26.08%,19.57%,14.10%,7.05%,-
25,Earnings Yield,3.21%,3.26%,3.25%,3.00%,1.97%,2.09%,2.27%,-,-,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-14.22%,-14.44%,-11.83%,-12.30%,-3.04%,-0.81%,-1.44%,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,1.97%,2.50%,-,-,1.28%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,47.19%,2.18%,179.01%,1.04%,-,20.62%,255.94%,-,-,-,-,-,-,30.59%,30.59%,0.35%,0.35%,3.63%,3.63%,-
29,Buyback Yield / Dilution,-16.00%,1.81%,-8.60%,-33.79%,-30.91%,-33.63%,-21.66%,-0.24%,-,-0.55%,-1.54%,1.14%,-,0.79%,0.79%,-,-,-,-,-
30,Total Shareholder Return,-14.03%,4.31%,-8.60%,-33.79%,-29.63%,-33.63%,-21.66%,-0.24%,-,-0.55%,-1.54%,1.14%,-,0.79%,0.79%,-,-,-,-,-
