,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,104.89,153.84,78.15,193.02,163.43,537.28,167.32,174.4,-,206.41,-,174.53,127.73,127.73,110.08,110.08,112.27,112.27,63.93
1,Trading Asset Securities,380.62,417.14,562.33,574.39,657.52,346.26,0.39,3.24,-,-,-,1.98,7.38,7.38,14.69,14.69,2.06,2.06,1.46
2,Cash & Short-Term Investments,485.51,570.98,640.49,767.41,820.95,883.54,167.71,177.64,-,206.41,176.51,176.51,135.11,135.11,124.77,124.77,114.33,114.33,65.39
3,Cash Growth,-40.86%,-35.38%,281.90%,332.01%,-,328.05%,-4.99%,0.64%,-,52.77%,41.47%,41.47%,18.18%,18.18%,90.82%,-,-,-,-
4,Accounts Receivable,133.29,145.81,143.55,122.13,86,118.57,126.87,107.4,-,116.06,-,102.57,96.36,96.36,66.66,66.66,88.92,88.92,77.11
5,Other Receivables,12.3,9.55,13.18,20.27,14,10.66,8.11,6.62,-,5,-,8.6,9.21,9.21,7.49,7.49,5.58,5.58,5.2
6,Receivables,145.59,155.35,156.73,142.4,99.99,129.22,134.98,114.02,-,121.07,-,111.17,105.57,105.57,74.15,74.15,94.5,94.5,82.31
7,Inventory,287.52,229.86,191.28,137,128.88,111.28,109.18,115.06,-,133.6,-,223.32,147.42,147.42,115.41,115.41,91.46,91.46,89.04
8,Other Current Assets,39.52,26.2,22.97,10.72,11.16,9.15,18.01,14.94,-,13.66,-,13.92,11.78,11.78,12.51,12.51,5.51,5.51,4.36
9,Total Current Assets,958.15,982.4,1011,1058,1061,1133,429.87,421.66,-,474.74,-,524.93,399.88,399.88,326.85,326.85,305.81,305.81,241.09
10,"Property, Plant & Equipment",501.44,468.67,336.24,335.32,296.53,281.15,274.61,278.48,-,268.88,-,268.33,259.13,259.13,238.8,238.8,202.34,202.34,196.09
11,Long-Term Investments,53.81,53.72,53.72,53.73,60.85,2.67,2.54,2.54,-,2.44,-,-,2.5,2.5,2.41,2.41,2.34,2.34,-
12,Goodwill,16.16,16.62,30.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,38.69,38.96,148.77,24.25,24.4,24.57,24.75,24.95,-,25.35,-,25.75,26.23,26.23,26.71,26.71,27.19,27.19,27.68
14,Long-Term Deferred Tax Assets,2.63,2.99,1.68,2.16,2.72,4.21,3.02,2.77,-,3.55,-,2.23,2.75,2.75,2.59,2.59,2.93,2.93,3.35
15,Long-Term Deferred Charges,1.7,1.74,0.84,0.93,2.11,1.67,1.09,1.23,-,1.56,-,2.01,2.52,2.52,3.05,3.05,2.55,2.55,2.64
16,Other Long-Term Assets,18.39,14.47,13.26,36.53,15.13,8.78,3.33,4.52,-,2.94,-,4.89,5.9,5.9,2.07,2.07,20.56,20.56,4.57
17,Total Assets,1591,1580,1597,1510,1463,1456,739.2,736.16,-,779.46,-,828.12,698.91,698.91,602.49,602.49,563.72,563.72,475.42
18,Accounts Payable,162.94,143.67,134.39,107,90.99,83.57,105.5,112.69,-,163.77,-,270.94,188.95,188.95,137.25,137.25,126.17,126.17,83.72
19,Accrued Expenses,9.25,19.87,7.94,10.19,6.26,8.34,6.4,9.1,-,22.91,-,17.8,26.13,26.13,22.39,22.39,17.97,17.97,10.73
20,Short-Term Debt,30,35.02,40.04,-,-,-,-,-,-,-,-,-,-,-,-,-,12.01,12.01,54.89
21,Current Portion of Leases,10.25,9.87,6.22,8.41,0.04,0.07,0.1,0.13,-,-,-,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,8.03,5.4,9.89,3.49,2.65,1.56,3.2,0.28,-,6.41,-,-,4.38,4.38,1.45,1.45,2.43,2.43,-
23,Current Unearned Revenue,21.83,26.46,6.58,4.26,11.72,7.45,8.12,11.79,-,9.06,-,13.65,10.95,10.95,9.47,9.47,9.48,9.48,-
24,Other Current Liabilities,25.82,17.27,8.26,8.77,3.58,12.98,4.13,6.38,-,17.83,-,24.36,18.16,18.16,16.37,16.37,10.52,10.52,17.57
25,Total Current Liabilities,268.13,257.57,213.31,142.12,115.23,113.97,127.45,140.37,-,219.99,-,326.74,248.57,248.57,186.93,186.93,178.58,178.58,166.92
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.05,35.05,-
27,Long-Term Leases,11.24,13.33,14.25,14.42,0.09,0.09,0.09,0.09,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,7.23,7.52,7.82,8.11,6.49,6.73,6.97,7.24,-,7.77,-,2.2,2.4,2.4,2.6,2.6,2.81,2.81,3.01
29,Long-Term Deferred Tax Liabilities,-,-,-,0.29,3.74,3.3,3.38,3.85,-,0.07,-,0.37,1.53,1.53,2.92,2.92,0.05,0.05,0.06
30,Total Liabilities,286.6,278.42,235.38,164.94,125.55,124.09,137.9,151.56,-,227.83,-,329.31,252.5,252.5,192.46,192.46,216.5,216.5,169.98
31,Common Stock,118.22,118.22,118.22,118.22,118.22,118.22,88.66,88.66,-,88.66,-,88.66,88.66,88.66,88.66,88.66,88.66,88.66,88.66
32,Additional Paid-In Capital,826.3,826.27,826.27,826.27,826.3,826.3,106.24,106.24,-,106.24,-,106.24,106.24,106.24,106.24,106.24,101.55,101.55,106.02
