,Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,692997,401857,382714,422523,330831,425769,294053,404593,272345,424012,319445,305598,291511,330270,261522,277589,264807,258919,224707,250298,Upgrade
1,Revenue Growth (YoY),109.47%,-5.62%,30.15%,4.43%,21.47%,0.41%,-7.95%,32.39%,-6.57%,28.38%,22.15%,10.09%,10.08%,27.56%,16.38%,10.90%,-19.73%,-21.29%,-4.00%,-12.74%,Upgrade
2,Cost of Revenue,660879,372228,346354,394128,304524,402775,267423,379475,248368,394036,295449,285805,270198,308865,235894,254168,242141,238569,204584,230363,Upgrade
3,Gross Profit,32118,29629,36361,28395,26306,22993,26630,25118,23977,29976,23996,19793,21313,21405,25628,23421,22666,20350,20123,19936,Upgrade
4,"Selling, General & Admin",14370,12348,14064,14152,9155,7746,8327,8114,8683,8633,9699,9030,8524,6321,13167,10466,10216,9865,7238,6122,Upgrade
5,Operating Expenses,14370,12348,14064,14152,9155,7746,8327,8114,8683,8633,9699,9030,8524,6321,13167,10466,10216,9865,7238,6122,Upgrade
6,Operating Income,17748,17281,22297,14243,17152,15247,18303,17004,15294,21342,14297,10763,12789,15084,12461,12955,12450,10485,12885,13814,Upgrade
7,Interest Expense,-12355,-11008,-11074,-11544,-12395,-13688,-14546,-14240,-12219,-8247,-9465,-8944,-9302,-9748,-9954,-9411,-9315,-9768,-9749,-9650,Upgrade
8,Interest & Investment Income,1126,3755,4600,5056,552,2540,2244,1823,1501,1681,1542,1419,2018,1663,1566,996.33,1496,775.04,1634,402.42,Upgrade
9,Currency Exchange Gain (Loss),2526,-348.91,-,-,181.53,-1572,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-380.44,5877,-3418,-1149,-707.19,3230,-2365,-602.22,-489.97,-4806,-2420,-224.25,-954.81,-675.3,-1661,-1034,-877.84,7340,-266.91,-738.8,Upgrade
11,EBT Excluding Unusual Items,8664,15557,12405,6606,4783,5758,3637,3986,4086,9971,3954,3014,4550,6323,2412,3506,3754,8833,4503,3827,Upgrade
12,Gain (Loss) on Sale of Assets,45.26,164.87,-,-,154.55,1626,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
