,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,11682,9330,9038,6621,6368,5805,3566,2921,2248,2222
1,Short-Term Investments,1248,1255,365.2,10.31,24.2,27.06,19.84,23.26,1110,1804
2,Trading Asset Securities,1163,778.75,548.78,408.46,946,672.9,1231,4,1302,-
3,Cash & Short-Term Investments,14092,11364,9952,7040,7338,6505,4817,2948,4659,4026
4,Cash Growth,41.61%,61.42%,35.61%,8.22%,52.33%,120.65%,3.39%,-26.77%,-2.46%,-4.68%
5,Accounts Receivable,545.28,809.63,565.99,648.25,585.05,654.77,427.94,542.94,395.23,504.54
6,Other Receivables,371.26,567.11,476.09,596.91,866.34,873.09,792.59,677.77,550.89,485.68
7,Receivables,942.14,1416,1074,1268,1468,1545,1237,1235,959.32,1003
8,Inventory,818.87,1075,1050,1142,1156,1456,1197,1154,907.91,1200
9,Prepaid Expenses,260.88,334.67,256.81,318.16,383.65,740.3,430.93,408.07,223.42,272.45
10,Other Current Assets,575.67,717.69,829.76,739,1166,1159,808.3,847.53,696.98,699.29
11,Total Current Assets,16690,14907,13162,10507,11512,11406,8491,6593,7447,7200
12,"Property, Plant & Equipment",6463,7382,8197,9510,13301,15134,21315,19628,14530,12445
13,Long-Term Investments,1339,1414,889.45,417.61,391.2,366.15,473.15,440.75,341.64,319.26
14,Goodwill,84.85,84.85,84.85,84.85,84.85,84.85,147.23,62.38,92.6,92.6
15,Other Intangible Assets,56.8,73.69,87.62,104.62,126.83,132.43,136.7,91.56,103.02,111.86
16,Long-Term Deferred Tax Assets,533.15,617.03,503.04,601.36,535.55,526.3,482.78,353.44,216.41,170.17
17,Other Long-Term Assets,205.2,197.66,199.22,213.68,332.94,371.86,353.11,357.35,306.33,274.33
18,Total Assets,25373,24677,23123,21439,26285,28021,31399,27527,23036,20614
19,Accounts Payable,1756,2220,2210,1552,2220,2330,1740,1994,2438,2778
20,Accrued Expenses,1831,1956,1702,1332,1310,1426,1122,1216,969.7,777.71
21,Current Portion of Long-Term Debt,338.19,680.18,1056,2406,2775,3631,3578,3744,3036,144.78
22,Current Portion of Leases,966.9,933.09,911.68,897.92,1146,1202,1185,1058,857.7,733.2
23,Current Income Taxes Payable,360.99,379.02,114.99,58.35,21.52,103.31,60.76,201.41,39,224.3
24,Current Unearned Revenue,899.57,859.07,813.24,793.54,792.69,744.65,727.49,642.56,538.64,502.78
25,Other Current Liabilities,4265,214.7,770.57,192.16,241.42,448.76,1003,1013,668.02,503.08
26,Total Current Liabilities,10418,7242,7579,7232,8508,9886,9417,9868,8547,5664
27,Long-Term Debt,2009,2076,2094,2278,4256,4057,4153,330.32,365.43,84.76
28,Long-Term Leases,3270,3615,4013,4296,5781,6045,7477,7004,5130,4143
29,Long-Term Deferred Tax Liabilities,119.38,210.28,106.45,157.93,16.83,31.35,29.55,21.4,10.72,46.76
30,Other Long-Term Liabilities,16.82,17.15,16.95,18.97,63.95,74.15,68.34,65.81,58.78,49.35
31,Total Liabilities,15834,13160,13809,13983,18626,20093,21144,17290,14112,9988
32,Common Stock,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
33,Additional Paid-In Capital,1045,5107,5090,5613,7270,7270,5351,5444,5444,6147
34,Retained Earnings,8613,6575,4310,2052,411.22,677.48,4935,4841,3567,4531
35,Comprehensive Income & Other,-105.52,-155.65,-99.66,-222.38,-35.14,-32.76,-45.61,-50.63,-89.11,-55.72
36,Total Common Equity,9553,11527,9301,7443,7646,7915,10241,10234,8922,10623
37,Minority Interest,-14.26,-9.69,14.05,12.91,13.06,14.07,14.08,3.31,3.13,3.03
38,Shareholders' Equity,9539,11517,9315,7456,7659,7929,10255,10237,8925,10626
39,Total Liabilities & Equity,25373,24677,23123,21439,26285,28021,31399,27527,23036,20614
40,Total Debt,6584,7304,8074,9878,13959,14935,16392,12136,9389,5106
41,Net Cash (Debt),7508,4060,1877,-2838,-6621,-8430,-11575,-9188,-4730,-1080
42,Net Cash Growth,299.90%,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,1.39,0.75,0.35,-,-1.22,-,-2.18,-1.73,-0.89,-0.20
44,Filing Date Shares Outstanding,5574,5574,5574,5574,5574,5574,5300,5300,5300,5300
45,Total Common Shares Outstanding,5574,5574,5574,5574,5574,5574,5300,5300,5300,5300
46,Working Capital,6272,7665,5584,3275,3004,1520,-926.19,-3275,-1100,1536
47,Book Value Per Share,1.71,2.07,1.67,1.34,1.37,1.42,1.93,1.93,1.68,2.00
48,Tangible Book Value,9412,11368,9128,7254,7434,7697,9957,10080,8726,10419
49,Tangible Book Value Per Share,1.69,2.04,1.64,1.30,1.33,1.38,1.88,1.90,1.65,1.97
50,Land,-,100.78,-,12.1,-,109.11,-,104.44,-,88.09
51,Machinery,-,3145,-,3201,-,3421,-,3254,-,2560
52,Construction In Progress,-,159.35,-,248.95,-,554.15,-,2189,-,1583
53,Leasehold Improvements,-,10698,-,10681,-,12649,-,11473,-,6430
