,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,96988,78259,81046,96096,124858,102004,98102,216770,316410,173310,165890
1,Market Cap Growth,-33.93%,-18.56%,-35.09%,-5.79%,27.27%,-52.94%,-69.00%,25.08%,90.73%,0.15%,82.40%
2,Enterprise Value,88905,73776,79032,99319,132628,112369,112040,227686,321603,174521,165778
3,Last Close Price,17.40,13.64,13.46,15.97,20.60,16.27,15.64,36.36,53.04,29.05,27.70
4,PE Ratio,20.50,17.02,16.35,39.38,-,-,-,131.72,861.48,-,63.25
5,Forward PE,18.35,13.74,14.91,26.27,59.08,49.50,37.62,40.36,73.12,68.91,44.01
6,PS Ratio,1.99,1.65,1.77,4.71,-,5.75,-,4.63,9.31,6.42,5.58
7,PB Ratio,9.45,7.64,6.39,9.55,14.81,11.37,10.08,17.58,26.03,17.70,13.96
8,P/TBV Ratio,7.74,7.74,6.47,9.74,15.23,11.71,10.38,18.10,26.43,18.10,14.23
9,P/FCF Ratio,12.91,10.42,8.61,18.47,-,42.22,-,-,-,-,-
10,P/OCF Ratio,9.41,9.41,8.17,18.02,-,33.57,-,38.57,91.20,45.79,32.38
11,PEG Ratio,4.06,1.43,0.28,11.47,11.82,0.79,-,0.99,0.99,0.99,0.92
12,EV/Sales Ratio,1.88,1.56,1.73,4.87,-,6.33,-,4.86,9.46,6.46,5.58
13,EV/EBITDA Ratio,9.65,8.83,9.25,24.47,-,51.69,-,34.40,82.03,-,33.56
14,EV/EBIT Ratio,14.19,11.91,12.87,35.18,-,231.01,-,70.63,229.59,-,46.60
15,EV/FCF Ratio,11.84,9.82,8.39,19.09,-,46.51,-,-,-,-,-
16,Debt / Equity Ratio,0.69,0.69,0.63,0.87,1.32,1.82,1.88,1.60,1.19,1.05,0.48
17,Debt / FCF Ratio,0.94,0.94,0.85,1.68,-,6.77,-,-,-,-,-
18,Return on Capital Employed (ROCE),38.61%,38.55%,31.98%,16.81%,-,2.34%,-,12.19%,6.68%,-,21.27%
19,Earnings Yield,4.74%,5.88%,6.12%,2.54%,-,-0.31%,-,0.76%,0.12%,0.30%,1.58%
20,FCF Yield,7.74%,9.60%,11.62%,5.41%,-,2.37%,-,-1.55%,-1.18%,-0.93%,-0.20%
21,Dividend Yield,4.42%,2.82%,-,-,-,-,-,-,-,-,-
22,Buyback Yield / Dilution,-,-,-,-,-2.17%,-,-,-,-,-3.90%,
23,Total Shareholder Return,4.42%,2.82%,-,-,-,-2.17%,-,-,-,-,-3.90%
