,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,3753,6656,6967,12328,14158,18558,16619,9073,1175,595,639,Upgrade
1,Market Cap Growth,-46.01%,-46.01%,-50.79%,-33.57%,-14.81%,104.53%,1314.85%,1425.58%,83.72%,-29.82%,16.73%,Upgrade
2,Enterprise Value,3838,6685,6737,12032,13703,18520,16548,9228,1297,719,741,Upgrade
3,Last Close Price,2.07,3.67,3.84,6.79,8.27,10.84,10.00,5.49,0.79,0.40,0.43,Upgrade
4,PE Ratio,-,-,-,-,-,-,1467.97,-,-,-,-,Upgrade
5,Forward PE,-,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,2.29,Upgrade
6,PS Ratio,13.08,23.17,21.41,38.59,45.66,55.44,43.19,33.46,8.84,4.59,3.37,Upgrade
7,PB Ratio,7.58,13.43,11.69,18.12,19.42,23.80,47.53,28.80,-22.03,14.38,11.91,Upgrade
8,P/TBV Ratio,13.43,13.43,11.69,18.12,19.42,23.80,47.53,28.80,-,-,-,Upgrade
9,P/FCF Ratio,-,-,-,-,-,-121.92,-,-,-,-31.61,-,Upgrade
10,P/OCF Ratio,-,-,-,-,-,-668.55,-,-,-,-125.86,-,Upgrade
11,PEG Ratio,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,Upgrade
12,EV/Sales Ratio,13.36,23.27,20.70,37.66,44.19,55.32,43.00,34.03,9.76,5.56,3.91,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,-,-,-,-248.00,-,-,-,Upgrade
14,EV/FCF Ratio,-14.18,-,-,-,-,-121.67,-,-,-,-38.23,-,Upgrade
15,Debt / Equity Ratio,0.35,0.35,0.31,0.14,0.14,0.14,0.37,0.40,-2.91,3.23,2.40,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-0.72,-,-,-,-7.11,-,Upgrade
17,Earnings Yield,-10.25%,-5.78%,-5.16%,-1.66%,-1.33%,-0.58%,0.07%,-1.34%,-11.00%,-52.68%,-55.02%,Upgrade
18,FCF Yield,-7.21%,-4.07%,-4.02%,-1.44%,-1.08%,-0.82%,-1.25%,-0.76%,-1.32%,-3.16%,-3.70%,Upgrade
19,Buyback Yield / Dilution,-5.44%,-4.80%,-6.09%,-1.34%,17.02%,-11.16%,-38.76%,-3.36%,0.04%,-4.69%,-34.37%,Upgrade
20,Total Shareholder Return,-5.44%,-4.80%,-6.09%,-1.34%,17.02%,-11.16%,-38.76%,-3.36%,0.04%,-4.69%,-34.37%,Upgrade
