,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,127.48,139.83,155.52,140.18,134.1,151.68,161.83,63.63,48.24,69.74,Upgrade
1,Revenue Growth (YoY),-18.03%,-0.25%,15.97%,-7.58%,-17.13%,138.38%,235.46%,-8.76%,-51.73%,11.13%,Upgrade
2,Cost of Revenue,119.03,131.41,134.46,110.14,132.6,107.5,117.49,51.63,42.23,58.64,Upgrade
3,Gross Profit,8.46,8.42,21.06,30.04,1.5,44.18,44.34,12,6.01,11.1,Upgrade
4,"Selling, General & Admin",137.97,122.78,105.56,67.42,128.83,53.57,45.52,43.85,23.81,24.67,Upgrade
5,Research & Development,32.8,83.35,49.42,52.37,-,-,-,-,-,-,Upgrade
6,Operating Expenses,170.54,206.72,155.19,119.95,127.88,53.6,46.25,50.44,30.04,50.7,Upgrade
7,Operating Income,-162.08,-198.3,-134.13,-89.91,-126.37,-9.42,-1.91,-38.44,-24.03,-39.6,Upgrade
8,Interest Expense,-4.23,-2.99,-2.17,-2.14,-2.28,-2.37,-3.2,-2.97,-2.94,-2.87,Upgrade
9,Interest & Investment Income,0.71,2.63,1.83,0.37,0.07,0.03,0.06,0,0.04,0.04,Upgrade
10,Currency Exchange Gain (Loss),2.99,-3.87,5.42,20.4,21.86,-,-,-,-,0.26,Upgrade
11,Other Non Operating Income (Expenses),4.71,5.66,3.99,8.83,3.88,8.13,1.37,9.58,1.69,1.65,Upgrade
12,EBT Excluding Unusual Items,-157.9,-196.87,-125.06,-62.45,-102.84,-3.64,-3.69,-31.83,-25.24,-40.53,Upgrade
13,Gain (Loss) on Sale of Investments,-,0.61,-,0.14,-,0.71,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-0,0.01,-0.04,0.12,22.16,-,-,-,-3,Upgrade
15,Asset Writedown,0.06,-2.29,-0.23,0.11,0.02,-5.5,0.74,-64.73,13.96,-234.3,Upgrade
16,Other Unusual Items,-,-,-,-,0.01,0.75,-,2.34,-,3.78,Upgrade
17,Pretax Income,-157.85,-198.55,-125.28,-62.24,-102.69,14.48,-2.95,-94.23,-11.28,-274.04,Upgrade
18,Income Tax Expense,0.34,1.47,1.08,0.33,1.79,1.41,0.89,3.12,0.14,0.14,Upgrade
19,Net Income,-158.18,-200.02,-126.36,-62.56,-104.48,13.06,-3.84,-97.34,-11.41,-274.18,Upgrade
20,Net Income to Common,-158.18,-200.02,-126.36,-62.56,-104.48,13.06,-3.84,-97.34,-11.41,-274.18,Upgrade
21,Shares Outstanding (Basic),1814,1816,1731,1712,1708,1646,1537,1487,1487,1487,Upgrade
22,Shares Outstanding (Diluted),1814,1816,1731,1712,1708,2063,1537,1487,1487,1487,Upgrade
23,Shares Change (YoY),4.80%,6.09%,1.34%,-17.02%,11.16%,38.76%,3.36%,-0.04%,4.69%,34.37%,Upgrade
24,EPS (Basic),-0.09,-0.11,-0.07,-0.04,-0.06,0.01,-0.00,-0.07,-0.01,-0.18,Upgrade
25,EPS (Diluted),-0.09,-0.11,-0.07,-0.04,-0.06,0.01,-0.00,-0.07,-0.01,-0.19,Upgrade
26,Free Cash Flow,-26.02,-225.93,-28.28,-136.42,0.86,-130.8,-38.49,-19,5.97,-23.11,Upgrade
27,Free Cash Flow Per Share,-0.01,-0.12,-0.02,-0.08,0.00,-0.06,-0.03,-0.01,0.00,-0.02,Upgrade
28,Operating Margin,-127.14%,-141.81%,-86.25%,-64.14%,-94.24%,-6.21%,-1.18%,-60.42%,-49.81%,-56.78%,Upgrade
29,Profit Margin,-124.08%,-143.04%,-81.25%,-44.63%,-77.91%,8.61%,-2.37%,-152.99%,-23.66%,-393.15%,Upgrade
30,Free Cash Flow Margin,-20.41%,-161.57%,-18.19%,-97.32%,0.64%,-86.24%,-23.79%,-29.86%,12.37%,-33.14%,Upgrade
31,EBITDA,-152.55,-188.78,-126.03,-84.36,-121.55,-3.57,0.92,-31.85,-14.77,-23.58,Upgrade
32,D&A For EBITDA,9.53,9.51,8.1,5.56,4.83,5.85,2.82,6.59,9.26,16.02,Upgrade
33,EBIT,-162.08,-198.3,-134.13,-89.91,-126.37,-9.42,-1.91,-38.44,-24.03,-39.6,Upgrade
