,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,122,135,130,143,170,250,395,690,1020,-
1,Market Cap Growth,-5.26%,-5.26%,-23.53%,-43.00%,-56.96%,-63.77%,-61.27%,-,-,-
2,Enterprise Value,268,279,280,119,42,85,483,525,1049,-
3,Last Close Price,0.20,0.23,0.26,0.28,0.34,0.36,0.42,0.73,1.08,-
4,PE Ratio,10.61,13.36,7.97,-7.37,-,-4.09,-,8.02,12.76,-
5,PS Ratio,0.11,0.14,0.13,0.19,0.34,0.48,0.66,1.26,2.24,-
6,PB Ratio,0.69,0.76,0.80,0.95,1.14,0.97,1.09,1.72,2.92,-
7,P/TBV Ratio,0.77,0.77,0.81,0.96,1.16,0.97,1.09,1.72,2.92,-
8,P/FCF Ratio,-,-,-1.83,-,2.13,1.09,5.39,-,-,-
9,P/OCF Ratio,-,-,-1.83,-,2.12,1.09,5.19,-,-,-
10,EV/Sales Ratio,0.27,0.28,0.29,0.16,0.08,0.16,0.81,0.96,2.31,-
11,EV/EBITDA Ratio,12.49,15.00,10.31,-10.87,-,-6.37,-,5.72,12.23,-
12,EV/EBIT Ratio,14.67,15.25,10.55,-9.68,-,-5.73,-,5.76,12.28,-
13,EV/FCF Ratio,-35.27,-,-3.94,-,0.52,0.37,6.59,-,-,-
14,Debt / Equity Ratio,0.88,0.88,1.19,1.09,0.99,0.20,0.29,0.62,0.29,-
15,Debt / FCF Ratio,-,-,-2.71,-,1.84,0.23,1.45,-,-,-
16,Return on Capital Employed (ROCE),7.93%,7.93%,12.15%,-7.20%,-,-4.49%,-,22.52%,24.33%,-
17,Earnings Yield,8.30%,7.49%,12.55%,-13.57%,-14.92%,-24.47%,-5.36%,12.46%,7.84%,-
18,FCF Yield,-6.24%,-5.63%,-54.78%,-50.60%,47.00%,91.43%,18.55%,-26.52%,-9.62%,-
19,Dividend Yield,0.00%,-,-,-,-,39.54%,-,-,-,-
20,Buyback Yield / Dilution,-9.65%,-18.57%,-0.48%,-0.36%,0.91%,4.07%,-18.27%,-33.33%,-,-
21,Total Shareholder Return,-9.65%,-18.57%,-0.48%,-0.36%,0.91%,43.60%,-18.27%,-33.33%,-,-
