,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,480.29,431.14,461.3,228.35,215.15,226.8,261.23,193.89,188.88
1,Revenue Growth (YoY),4.12%,88.81%,114.41%,0.68%,-17.64%,16.98%,38.31%,-,-
2,Cost of Revenue,449.82,388.46,423.43,229.87,180.2,192.13,198.44,133.75,132.83
3,Gross Profit,30.47,42.68,37.87,-1.52,34.94,34.68,62.79,60.14,56.05
4,"Selling, General & Admin",23.67,35.12,24.49,26.89,25.87,66.91,28.88,34.41,19.46
5,Other Operating Expenses,-0.42,-2.5,-1.99,-2.38,-3.12,-6.81,-10.07,-8.2,-2.06
6,Operating Expenses,24.06,32.08,24.35,23.41,22.85,59.39,20.22,26.87,17.4
7,Operating Income,6.41,10.6,13.52,-24.93,12.09,-24.72,42.57,33.27,38.64
8,Interest Expense,-1.84,-1.67,-1,-1.03,-2.1,-3.37,-2.18,-0.5,-0.39
9,Interest & Investment Income,0.03,0.02,0.16,0.13,0.48,0.18,0.09,0.1,0.03
10,Currency Exchange Gain (Loss),-,-,-,-0.72,0.72,-,-,-0.04,-
11,Other Non Operating Income (Expenses),-,-0.08,-,-1.22,-,-0.18,-,-,-
12,EBT Excluding Unusual Items,4.6,8.88,12.68,-27.76,11.2,-28.08,40.48,32.83,38.28
13,Gain (Loss) on Sale of Investments,-,-,-,-,0.72,0.13,-,0,0
14,Gain (Loss) on Sale of Assets,0.01,-,-,0.17,-,-,-,-,-
15,Pretax Income,4.61,8.88,12.68,-27.59,11.92,-27.95,40.48,32.84,38.28
16,Income Tax Expense,1.06,3.01,3.73,-0.75,7.51,28.68,1.1,0.71,3.07
17,Net Income,3.54,5.87,8.95,-26.84,4.41,-56.63,39.38,32.12,35.21
18,Net Income to Common,3.54,5.87,8.95,-26.84,4.41,-56.63,39.38,32.12,35.21
19,Net Income Growth,-60.41%,-,102.93%,-,-88.80%,-,11.83%,-,-
20,Shares Outstanding (Basic),570,481,480,480,476,485,500,410,375
21,Shares Outstanding (Diluted),571,483,481,480,480,485,500,410,375
22,Shares Change (YoY),18.57%,0.48%,0.36%,-0.91%,-4.07%,18.27%,33.33%,-,-
23,EPS (Basic),0.01,0.01,0.02,-0.06,0.01,-0.12,0.08,0.08,0.09
24,EPS (Diluted),0.01,0.01,0.02,-0.06,0.01,-0.12,0.08,0.08,0.09
25,EPS Growth,-66.66%,-,102.19%,-,-88.32%,-,-16.13%,-,-
26,Free Cash Flow,-19.02,11.95,-76.58,9.86,60.82,134.31,-74.62,-77.51,-5.08
27,Free Cash Flow Per Share,-0.03,0.02,-0.16,0.02,0.13,0.28,-0.15,-0.19,-0.01
28,Dividend Per Share,-,-,-,-,0.123,-,-,-,-
29,Operating Margin,1.33%,2.46%,2.93%,-10.92%,5.62%,-10.90%,16.30%,17.16%,20.46%
30,Profit Margin,0.74%,1.36%,1.94%,-11.75%,2.05%,-24.97%,15.07%,16.57%,18.64%
31,Free Cash Flow Margin,-3.96%,2.77%,-16.60%,4.32%,28.27%,59.22%,-28.57%,-39.98%,-2.69%
32,EBITDA,6.63,10.65,14.03,-24.2,12.7,-24.07,42.94,33.34,38.86
33,D&A For EBITDA,0.22,0.05,0.52,0.73,0.61,0.65,0.37,0.07,0.21
34,EBIT,6.41,10.6,13.52,-24.93,12.09,-24.72,42.57,33.27,38.64
35,Advertising Expenses,442.17,-,415.08,-,173.41,-,193.46,-,128.37
