,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,9.22,45.19,11.55,74.03,68.72,116.38,134.11,97.18,-
1,Short-Term Investments,-,-,-,-,84.61,104.94,-,127.57,-
2,Cash & Short-Term Investments,9.22,45.19,11.55,74.03,153.33,221.32,134.11,224.75,-
3,Cash Growth,-20.10%,-38.96%,-92.47%,-66.55%,14.33%,-1.52%,-,-,-
4,Accounts Receivable,317.16,282.15,307.08,181.2,209.4,333.69,533.86,335.07,-
5,Other Receivables,1.76,0.58,4.5,0.67,7.55,9.12,13.59,10.69,-
6,Receivables,329.08,295.86,324.5,194.97,229.87,353.23,549.45,345.77,-
7,Prepaid Expenses,-,-,42.62,-,-,-,68.97,-,-
8,Restricted Cash,4.74,4.67,4.79,5.95,3.53,-,-,-,-
9,Other Current Assets,125.01,123.55,25.28,76.43,-,-,5.54,-,-
10,Total Current Assets,468.04,469.27,408.73,351.38,386.74,574.55,758.07,570.51,-
11,"Property, Plant & Equipment",3.79,4.66,5.88,3.22,5.32,7.55,9.58,5.03,-
12,Long-Term Investments,3,3,1.39,1.39,1.76,-,-,-,-
13,Other Intangible Assets,0.66,0.99,1.32,1.65,-,-,0.02,0.05,-
14,Long-Term Deferred Tax Assets,0.88,0.75,0.95,0.55,0.64,0.41,0.44,0.27,-
15,Other Long-Term Assets,0.01,0.01,-,0.01,0.64,0.81,1.93,1.9,-
16,Total Assets,476.38,478.68,418.28,358.21,395.09,583.32,770.04,577.76,-
17,Accounts Payable,81.63,77.87,44.98,12.08,31.81,118.59,164.47,130.47,-
18,Accrued Expenses,18.28,23.8,26.5,28.01,15.61,20.28,26.89,18.48,-
19,Short-Term Debt,95.37,101.52,98.22,88.93,-,-,200.7,7.5,-
20,Current Portion of Long-Term Debt,17.04,39.35,48.54,2.46,-,41.1,-,75,-
21,Current Portion of Leases,2.39,2.23,2.34,1.25,1.73,2.68,2.6,2.26,-
22,Current Income Taxes Payable,18.54,21.09,18.53,16.79,19.02,16.22,11.09,9.89,-
23,Current Unearned Revenue,14.51,12.85,16.69,17.8,19.77,24,25.25,34.21,-
24,Other Current Liabilities,14.13,1.49,3.96,3.5,25.99,0.68,2.29,4.37,-
25,Total Current Liabilities,261.88,280.19,259.77,170.81,113.94,223.54,433.29,282.19,-
26,Long-Term Debt,30.43,31.45,-,37.31,41,41,-,-,-
27,Long-Term Leases,0.03,0.91,1.5,0.11,1.2,1.95,3.78,1.11,-
28,Long-Term Deferred Tax Liabilities,19.56,18.82,18.46,18.46,18.45,21.24,-,-,-
29,Total Liabilities,311.9,331.37,279.72,226.68,174.59,287.73,437.07,283.3,-
30,Common Stock,51.7,42.61,42.61,42.61,42.61,42.61,42.61,42.61,-
31,Additional Paid-In Capital,-,54.95,-,54.95,-,56.71,-,56.71,-
32,Retained Earnings,-8.45,10.15,-16.44,-4.66,62.46,159.63,198.94,176.89,-
33,Comprehensive Income & Other,121.24,39.61,112.39,38.64,115.44,36.65,91.42,18.25,-
34,Shareholders' Equity,164.48,147.31,138.56,131.53,220.5,295.6,332.97,294.45,-
35,Total Liabilities & Equity,476.38,478.68,418.28,358.21,395.09,583.32,770.04,577.76,-
36,Total Debt,145.25,175.45,150.6,130.05,43.93,86.73,207.08,85.88,-
37,Net Cash (Debt),-136.03,-130.26,-139.06,-56.02,109.4,134.59,-72.97,138.87,-
38,Net Cash Growth,-,-,-,-,-,-3.08%,-,-,-
39,Net Cash Per Share,-0.24,-0.27,-0.29,-0.12,0.23,0.28,-0.15,0.34,-
40,Filing Date Shares Outstanding,600,500,500,500,500,500,500,500,375
41,Total Common Shares Outstanding,600,500,500,500,500,500,500,500,375
42,Working Capital,206.16,189.08,148.97,180.58,272.8,351.01,324.78,288.32,-
43,Book Value Per Share,0.27,0.29,0.28,0.26,0.44,0.59,0.67,0.59,-
44,Tangible Book Value,163.82,146.32,137.24,129.88,220.5,295.6,332.95,294.41,-
45,Tangible Book Value Per Share,0.27,0.29,0.27,0.26,0.44,0.59,0.67,0.59,-
46,Machinery,3.09,3.09,2.9,2.85,2.89,2.86,2.54,2.16,-
47,Leasehold Improvements,2.24,2.24,2.24,2.24,2.24,2.24,2.2,0.64,-
