,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2862,2589,2373,2647,2121,3274,4075,-,-,-,-,-,-
1,Market Cap Growth,-20.91%,-20.91%,-41.77%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2248,1975,1742,1988,1416,2568,4014,-,-,-,-,-,-
3,Last Close Price,38.84,35.14,32.12,35.83,28.61,44.16,54.96,-,-,-,-,-,-
4,PS Ratio,22.08,19.91,16.60,19.17,12.13,15.32,18.25,-,-,-,-,-,-
5,PB Ratio,2.94,2.66,2.44,2.70,2.11,3.20,3.97,-,-,-,-,-,-
6,P/TBV Ratio,2.67,2.67,2.45,2.70,2.11,3.21,3.97,-,-,-,-,-,-
7,P/OCF Ratio,-,-,-,-46.16,-,-,-,-,-,-,-,-,-
8,EV/Sales Ratio,17.29,15.19,12.19,14.40,8.09,12.01,17.97,-,-,-,-,-,-
9,EV/EBITDA Ratio,-,-,-52.62,-,-,-,-,-,-,-,-,-,-
10,EV/EBIT Ratio,-,-,-36.76,-,-,-,-,-,-,-,-,-,-
11,Debt / Equity Ratio,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.11,0.11,0.08,-,-,0.18
12,Debt / EBITDA Ratio,-,-,0.09,-,-,-,-,0.54,0.52,1.03,-,-,0.62
13,Debt / FCF Ratio,-,-,-,-,-,-,-,38.80,-,-0.44,-,-,-
14,Asset Turnover,-,0.14,0.14,0.08,0.19,0.15,0.62,0.55,-,-,-,-,
15,Inventory Turnover,-,-,0.06,1.03,0.44,1.19,0.41,1.20,0.93,-,-,-,-
16,Quick Ratio,-,-,13.53,17.35,17.80,18.85,10.93,1.81,1.79,1.81,-,-,-
17,Current Ratio,-,-,16.38,20.53,21.21,22.27,13.24,3.21,3.41,3.12,-,-,-
18,Return on Equity (ROE),-25.19%,-3.99%,-4.88%,-6.29%,-1.56%,-4.31%,18.83%,14.27%,-,-,-,-,
19,Return on Assets (ROA),-,2.47%,-6.38%,-3.65%,-3.59%,-0.97%,7.83%,8.99%,-,-,-,-,
20,Return on Capital (ROIC),-19.23%,2.60%,-6.66%,-3.81%,-3.79%,-1.07%,9.13%,10.60%,-,-,-,-,
21,Return on Capital Employed (ROCE),-,-,-4.85%,-,-,-,-,12.74%,14.47%,16.03%,-,-,-
22,Earnings Yield,-3.46%,-3.82%,-1.76%,-1.50%,-0.49%,0.54%,0.98%,-,-,-,-,-,-
23,FCF Yield,-,-2.85%,-2.82%,-2.47%,-1.69%,-0.49%,-,-,-,-,-,-,
24,Dividend Yield,0.50%,-,-,0.75%,-,0.38%,-,-,-,-,-,-,-
25,Payout Ratio,0.00%,-,-,-,-,-,-,1.87%,2.00%,0.51%,2.72%,3.26%,2.73%
26,Buyback Yield / Dilution,-20.44%,-1.40%,-19.73%,-37.60%,-29.22%,-34.92%,-11.47%,0.24%,-0.15%,-,-,-,-
27,Total Shareholder Return,-19.93%,-1.40%,-19.73%,-36.84%,-29.22%,-34.54%,-11.47%,0.24%,-0.15%,-,-,-,-
