,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,193.16,375.42,409.25,394.14,596.84,100.63,77.41,95.3,-,-,-
1,Trading Asset Securities,-,425.89,260.62,250.4,290.57,110,-,-,-,-,-,-
2,Cash & Short-Term Investments,619.06,619.06,636.04,659.64,684.7,706.84,100.63,77.41,95.3,-,-,187.89
3,Cash Growth,-9.59%,-12.42%,532.06%,752.17%,618.44%,-,-,-58.80%,-,-,-,-
4,Accounts Receivable,-,116.58,111.4,119.76,110.06,102.51,101.05,90.86,85.99,-,-,-
5,Other Receivables,-,4.04,7.21,2.38,5.98,2.94,4.06,5.45,6.06,-,-,-
6,Receivables,-,120.62,118.61,122.14,116.04,105.45,105.11,96.31,92.04,-,-,-
7,Inventory,-,143.27,132.71,136.91,137.96,156.39,144.81,138.92,116.74,-,-,-
8,Other Current Assets,-,12.37,5.77,12.81,7.44,15.32,13.6,18.04,18.13,-,-,-
9,Total Current Assets,-,895.31,893.14,931.5,946.14,984,364.15,330.67,322.21,-,-,-
10,"Property, Plant & Equipment",-,110.66,112.8,108.23,111.02,109.8,111.12,110.43,113.49,-,-,-
11,Long-Term Investments,-,10,10,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,-,1.64,0.89,0.77,1,1.08,1.29,1.5,1.52,-,-,-
13,Long-Term Deferred Tax Assets,-,7.26,6.9,4.78,2.41,1.57,1.42,1.26,1.11,-,-,-
14,Long-Term Deferred Charges,-,0.34,0.71,0.24,0.34,0.45,0.56,0.67,0.78,-,-,-
15,Other Long-Term Assets,-,6.18,6.08,6.3,5.41,5.03,5.32,5.5,5.03,-,-,-
16,Total Assets,-,1031,1031,1052,1066,1102,483.86,450.03,444.13,-,-,-
17,Accounts Payable,-,37.87,23.58,22.5,24.97,56.96,57.68,41.09,42.79,-,-,-
18,Accrued Expenses,-,4.27,5.5,3.28,5.42,2.66,3.77,2.62,5.16,-,-,-
19,Short-Term Debt,-,-,-,0.6,0.6,-,38.81,38.81,25.62,-,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,0.54,0.82,-,-,-,-,-
21,Current Portion of Leases,-,2.1,2.08,0.25,0.47,-,-,0.78,0.83,-,-,-
22,Current Income Taxes Payable,-,0.73,-,0.47,-,0.61,2.69,-,-,-,-,-
23,Current Unearned Revenue,-,4.46,5.22,11.78,5.2,10.35,6.29,8.57,13.39,-,-,-
24,Other Current Liabilities,-,5.25,7.12,5.04,5.82,3.22,3.55,5.11,15.5,-,-,-
25,Total Current Liabilities,-,54.67,43.5,43.92,42.48,74.34,113.6,96.99,103.29,-,-,-
26,Long-Term Leases,-,2.75,3.25,0.34,0.25,0.47,0.36,0.14,0.26,-,-,-
27,Long-Term Deferred Tax Liabilities,-,0.95,1.02,0.17,0.24,0.18,0.24,0.21,0.24,-,-,-
28,Other Long-Term Liabilities,-,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,-,-,-
29,Total Liabilities,-,59.4,48.8,45.47,44,75.6,114.81,97.96,104.41,-,-,-
30,Common Stock,-,73.68,73.68,73.68,73.68,73.68,55.26,55.26,55.26,-,-,-
31,Additional Paid-In Capital,-,835.7,835.7,835.7,835.7,835.7,189.32,189.32,189.32,-,-,-
32,Retained Earnings,-,62.6,72.33,96.99,112.94,116.94,124.46,107.49,95.14,-,-,-
33,Shareholders' Equity,971.98,971.98,981.72,1006,1022,1026,369.04,352.07,339.72,-,-,278.61
34,Total Liabilities & Equity,-,1031,1031,1052,1066,1102,483.86,450.03,444.13,-,-,-
35,Total Debt,4.85,4.85,5.34,1.19,1.32,1.01,39.98,39.73,26.71,-,-,50.34
36,Net Cash (Debt),614.21,614.21,630.7,658.46,683.39,705.83,60.65,37.68,68.6,-,-,137.55
37,Net Cash Growth,-10.12%,-12.98%,939.98%,1647.50%,896.22%,-,-,-72.61%,-,-,-,-
38,Net Cash Per Share,8.24,8.34,8.42,9.08,9.30,11.47,1.11,0.67,1.26,-,-,2.46
39,Filing Date Shares Outstanding,73.68,73.68,73.68,73.68,73.68,73.68,73.68,55.26,55.26,55.21,54.55,56.02
40,Total Common Shares Outstanding,73.68,73.68,73.68,73.68,73.68,73.68,55.26,55.26,55.26,55.21,54.55,56.02
41,Working Capital,-,840.64,849.63,887.58,903.67,909.67,250.55,233.69,218.92,-,-,-
42,Book Value Per Share,13.19,13.19,13.32,13.66,13.87,13.93,6.68,6.37,6.15,-,-,5.04
43,Tangible Book Value,970.34,970.34,980.82,1006,1021,1025,367.76,350.57,338.21,-,-,276.42
44,Tangible Book Value Per Share,13.17,13.17,13.31,13.65,13.86,13.91,6.65,6.34,6.12,-,-,5.00
45,Buildings,-,-,41.39,-,41.39,-,-,41.39,41.39,-,-,-
46,Machinery,-,-,94.76,-,90.33,-,-,78,76.62,-,-,-
47,Construction In Progress,-,-,2.9,-,2.21,-,-,3.58,4.66,-,-,-
