,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,37.53,35.89,34.29,22.31,47.39,32.4,69.75,61.19,51.66,56.07,60.59,58.73
1,Other Revenue,-,-1.03,1.03,-,3.02,-2.34,2.34,-,8.33,-,-0.54,0.54
2,Revenue,37.53,34.86,35.32,22.31,50.4,30.05,72.1,61.19,59.99,56.07,60.05,59.28
3,Revenue Growth (YoY),-25.54%,16.01%,-51.01%,-63.54%,-15.98%,-46.40%,20.06%,3.23%,-,-,-,-
4,Cost of Revenue,-51.79,2.04,34.66,15.1,43.96,15.47,42.61,29.64,42.9,32.01,28.33,28.93
5,Gross Profit,89.32,32.83,0.66,7.22,6.45,14.58,29.49,31.55,17.08,24.06,31.72,30.35
6,"Selling, General & Admin",-35.93,13.44,12.47,10.01,12.55,12.06,7.39,6.73,6.91,6.46,6.21,5.1
7,Research & Development,-38.55,13.57,13.51,11.47,8.34,10.28,9.72,7.67,6.46,4.59,6.93,4.74
8,Other Operating Expenses,241.04,-4.36,0.25,0.05,0.05,-4.19,-3.77,0.08,1.09,-0.16,-0.53,-0.17
9,Operating Expenses,164.44,22.63,27.21,22.69,22.01,17.64,14.87,15.48,13.02,11.66,13.17,10.74
10,Operating Income,-75.13,10.19,-26.55,-15.47,-15.56,-3.06,14.62,16.07,4.06,12.41,18.55,19.61
11,Interest Expense,-8.97,-0.04,-0.05,-,-0.02,-0.26,-0.33,-0.27,-0.12,-0.94,-0.14,-0.5
12,Interest & Investment Income,0.1,3.12,2.58,3.28,2.48,0.71,0.31,0.31,0.43,0.97,0.2,0.6
13,Currency Exchange Gain (Loss),-,-0.01,0.01,-,0,-0,0,-,-,-,-,-
14,Other Non Operating Income (Expenses),0.01,0.11,-0.12,-0.01,0.18,-0.06,0.04,-0.01,0.33,-0.05,0.02,-0.02
15,EBT Excluding Unusual Items,-83.99,13.37,-24.14,-12.21,-12.92,-2.67,14.64,16.1,4.69,12.39,18.62,19.68
16,Gain (Loss) on Sale of Investments,-0.89,0.28,0.48,0.14,0.57,-,-,-,-0.13,0.13,-,-
17,Gain (Loss) on Sale of Assets,-,-0.02,0.02,-,-,-,0,-,-0,-,-,-
18,Asset Writedown,19.86,-19.86,6.35,-6.35,4.58,-4.58,2.71,-2.71,4.05,-0.71,-3.34,-
19,Other Unusual Items,-0,-3.92,3.9,0.02,1.22,-0.98,0.98,-,10.64,-,0,-0
20,Pretax Income,-65.02,-10.15,-13.39,-18.4,-6.56,-8.23,18.34,13.39,19.25,11.82,15.28,19.68
21,Income Tax Expense,-3.8,-0.42,-1.27,-2.45,-2.56,-0.71,1.37,1.04,1.12,0.89,1.14,1.75
22,Net Income,-61.22,-9.73,-12.13,-15.95,-4,-7.52,16.97,12.34,18.13,10.93,14.14,17.93
23,Net Income to Common,-61.22,-9.73,-12.13,-15.95,-4,-7.52,16.97,12.34,18.13,10.93,14.14,17.93
24,Net Income Growth,-,-,-,-,-,-,20.06%,-31.14%,-,-,-,-
25,Shares Outstanding (Basic),75,74,75,73,74,62,54,56,54,55,55,56
26,Shares Outstanding (Diluted),75,74,75,73,74,62,54,56,54,55,55,56
27,Shares Change (YoY),1.40%,19.73%,37.60%,29.22%,34.92%,11.47%,-0.24%,0.15%,-,-,-,-
28,EPS (Basic),-0.82,-0.13,-0.16,-0.22,-0.05,-0.12,0.31,0.22,0.33,0.20,0.26,0.32
29,EPS (Diluted),-0.82,-0.13,-0.16,-0.22,-0.05,-0.12,0.31,0.22,0.33,0.20,0.26,0.32
30,EPS Growth,-,-,-,-,-,-,20.34%,-31.25%,-,-,-,-
31,Free Cash Flow,-,-17.88,-0.59,-26.81,-22.36,-24.95,21.73,-29.79,13.05,-3.96,-34.44,-34.95
32,Free Cash Flow Per Share,-,-0.24,-0.01,-0.37,-0.30,-0.41,0.40,-0.53,0.24,-0.07,-0.63,-0.62
33,Dividend Per Share,-,-,0.100,-,0.170,-,-,-,-,-,-,-
34,Gross Margin,238.00%,94.16%,1.87%,32.34%,12.79%,48.51%,40.90%,51.56%,28.48%,42.92%,52.82%,51.20%
35,Operating Margin,-200.19%,29.24%,-75.18%,-69.33%,-30.88%,-10.20%,20.28%,26.26%,6.77%,22.13%,30.89%,33.08%
36,Profit Margin,-163.13%,-27.92%,-34.33%,-71.49%,-7.94%,-25.03%,23.54%,20.17%,30.23%,19.49%,23.54%,30.24%
37,Free Cash Flow Margin,-,-51.28%,-1.67%,-120.16%,-44.36%,-83.03%,30.14%,-48.69%,21.76%,-7.06%,-57.35%,-58.96%
38,EBITDA,-71.77,13.55,-22.32,-12.12,-12.21,-1.72,18.01,19.2,5.4,12.85,19.02,20.08
39,EBITDA Margin,-191.25%,38.86%,-63.21%,-54.30%,-24.23%,-5.74%,24.98%,31.38%,9.01%,22.93%,31.67%,33.87%
40,D&A For EBITDA,3.35,3.35,4.23,3.35,3.35,1.34,3.39,3.13,1.34,0.45,0.47,0.47
41,EBIT,-75.13,10.19,-26.55,-15.47,-15.56,-3.06,14.62,16.07,4.06,12.41,18.55,19.61
42,EBIT Margin,-200.19%,29.24%,-75.18%,-69.33%,-30.88%,-10.20%,20.28%,26.26%,6.77%,22.13%,30.89%,33.08%
43,Effective Tax Rate,-,-,-,-,-,-,7.45%,7.79%,5.83%,7.53%,7.45%,8.92%
44,Revenue as Reported,-,34.86,35.32,22.31,50.4,30.05,72.1,61.19,59.99,175.39,-,-
