,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2241,1858,1747,2016,2904,2802,3050,3235,2678,2278,-,-,-,-,-,-
1,Market Cap Growth,-33.70%,-33.70%,-42.71%,-37.69%,8.46%,23.01%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2330,1822,1658,1911,2799,2659,2859,2971,2413,2309,-,-,-,-,-,-
3,Last Close Price,28.52,23.39,21.84,25.12,36.18,34.91,38.00,40.07,33.17,28.21,-,-,-,-,-,-
4,PE Ratio,2069.15,1715.12,471.62,-,-,48.55,49.16,46.27,38.64,25.70,-,-,-,-,-,-
5,PS Ratio,7.38,6.00,6.21,7.03,9.32,8.54,8.81,8.93,7.57,5.17,-,-,-,-,-,-
6,PB Ratio,3.09,2.50,2.34,2.64,3.80,3.61,4.00,4.05,3.44,2.97,-,-,-,-,-,-
7,P/TBV Ratio,3.01,3.01,2.81,3.15,4.54,4.35,4.49,4.71,4.01,3.49,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-32.22,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,33.15,33.15,18.40,28.84,111.88,-462.91,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,7.52,5.88,5.90,6.66,8.98,8.11,8.26,8.20,6.83,5.24,-,-,-,-,-,-
11,EV/EBITDA Ratio,141.40,139.57,112.38,85.44,-,38.52,39.43,34.39,29.06,21.80,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-1594.37,-,165.18,-,44.36,45.07,38.28,32.49,23.76,-,-,-,-,-,-
13,EV/FCF Ratio,-24.59,-,-,-,-31.06,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.17,0.17,0.05,0.03,0.02,0.02,0.03,0.01,0.03,0.14,-,0.27,0.27,-,-,0.28
15,Debt / EBITDA Ratio,7.79,2.10,1.56,1.97,-,0.27,0.39,0.10,0.29,1.35,-,1.22,0.60,-,-,1.09
16,Debt / FCF Ratio,-,-,-,-,-0.19,-,-,-,-,-,-,-,3.85,-,-,14.24
17,Asset Turnover,0.43,0.28,0.29,0.25,0.35,0.32,0.39,0.29,-,-,-,-,-,-,-,
18,Inventory Turnover,4.11,4.90,4.03,4.08,3.79,4.46,4.28,5.56,3.64,-,-,-,-,-,-,-
19,Quick Ratio,1.47,1.47,1.91,2.36,3.00,3.22,3.75,4.18,3.32,2.95,-,-,2.25,2.24,-,-
20,Current Ratio,1.75,1.75,2.26,2.69,3.46,3.66,4.13,4.49,3.59,3.25,-,-,2.54,2.54,-,-
21,Return on Equity (ROE),6.38%,0.99%,-0.27%,-6.78%,7.71%,6.20%,9.91%,6.71%,-,-,20.81%,-,-,-,-,
22,Return on Assets (ROA),2.91%,-0.10%,0.06%,-3.49%,3.91%,2.56%,5.45%,3.40%,-,-,-,-,-,-,-,
23,Return on Capital (ROIC),3.67%,-0.13%,0.08%,-4.16%,4.66%,3.07%,6.68%,4.17%,-,-,9.55%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-0.14%,-,1.43%,-,7.46%,8.07%,9.42%,9.23%,12.01%,-,-,19.43%,12.03%,-,-
25,Earnings Yield,0.05%,0.06%,0.21%,0.67%,1.14%,2.06%,2.03%,2.16%,2.59%,3.89%,-,-,-,-,-,-
26,FCF Yield,-4.23%,-5.10%,-4.51%,-3.76%,-3.10%,-4.19%,-2.73%,-1.73%,-2.25%,-0.77%,-,-,-,-,-,-
27,Dividend Yield,0.30%,-,-,-,0.24%,-,-,-,0.78%,-,-,-,-,-,-,-
28,Payout Ratio,756.80%,3.07%,418.04%,-,-,0.48%,183.36%,0.33%,17.38%,5.00%,11.31%,-,3.58%,-,-,-
29,Buyback Yield / Dilution,-2.65%,21.16%,-20.19%,-0.18%,-13.04%,-23.26%,-29.63%,-33.35%,-21.91%,-,-,-,-,-,-,-
30,Total Shareholder Return,-2.36%,21.16%,-20.19%,-0.18%,-12.80%,-23.26%,-29.63%,-33.35%,-21.13%,-,-,-,-,-,-,-
