,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,111.71,69.85,70.28,57.16,82.95,75.85,94.94,72.48,101.66,91.47,86.12,158.72,-,68.81,68.81
1,Other Revenue,-0.46,0.46,-,0.71,-0.28,0.28,-,1.8,-0.89,0.89,-,2.83,-,-,-
2,Revenue,111.25,70.31,70.28,57.87,82.67,76.13,94.94,74.29,100.76,92.37,86.12,161.55,121.96,68.81,68.81
3,Revenue Growth (YoY),34.56%,-7.65%,-25.97%,-22.10%,-17.95%,-17.58%,10.24%,-54.02%,-17.38%,34.23%,25.14%,-,-,-,-
4,Cost of Revenue,76.04,56.46,55,52.45,57.04,47.29,60,41.29,64.42,62.65,57.17,105.76,-,52.55,52.55
5,Gross Profit,35.21,13.84,15.29,5.42,25.63,28.84,34.93,33,36.34,29.72,28.95,55.79,54.14,16.26,16.26
6,"Selling, General & Admin",11.21,10.01,9.57,11.35,8.06,9.83,8.82,6.02,8.66,5.75,6.17,6.37,-,-,-
7,Research & Development,6.42,4.88,6.54,6.89,6.3,6.69,5.22,6.4,7.1,5.49,4.76,6.15,-,-,-
8,Other Operating Expenses,-0.56,0.82,-0.68,3.31,-1.06,-1.09,-0.37,7.18,0.38,-5.68,-0.19,4.38,-,-,-
9,Operating Expenses,23.07,14.25,15.05,18.55,10.94,19.09,13.45,19,18.15,5.8,10.8,18.9,-,-,-
10,Operating Income,12.14,-0.4,0.24,-13.13,14.7,9.76,21.49,14,18.19,23.92,18.15,36.89,-,16.26,16.26
11,Interest Expense,-,-0.21,-0.63,-,-0.19,-0.18,-0.51,-0.62,-0.93,-1.2,-0.99,-1.13,-2.02,-,-
12,Interest & Investment Income,-,0.13,0.12,0.56,0.88,1.63,0.89,0.27,0.26,0.34,0.23,0.17,-,-,-
13,Other Non Operating Income (Expenses),3.69,-0.69,0.05,-1.66,-1.34,3.82,-0.19,-4.45,-0.66,2.56,1.77,-3.34,-,0.13,0.13
14,EBT Excluding Unusual Items,15.83,-1.17,-0.21,-14.23,14.04,15.03,21.68,9.21,16.87,25.63,19.16,32.59,25.61,16.39,16.39
15,Impairment of Goodwill,-,-,-,-5.02,-,-,-,-,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-0.58,-0.04,-0.12,-0.92,-0.24,0.03,-0.03,-3.61,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,0.01,0.02,0,-,0.05,-,0.04,-,-,-,0.07,-,-,-
18,Asset Writedown,-0.55,0.61,-0.86,-1.13,1.13,-0.75,0.75,-4.45,4.45,-3.21,3.21,1.07,-,-,-
19,Other Unusual Items,-3.02,3.02,-,6.64,1.4,-1.4,-,12.06,-0.52,0.52,-,7.25,-,-,-
