,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,56.88,90.08,123.84,122.24,139.81,179.61,245.91,272.95,421.4,-,-,112.58,112.58,-,-
1,Trading Asset Securities,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,56.88,90.08,130.84,122.24,139.81,179.61,245.91,272.95,421.4,-,112.58,112.58,112.58,-,92.54
3,Cash Growth,-59.32%,-49.85%,-46.79%,-55.21%,-66.82%,-,118.43%,142.45%,274.31%,-,21.65%,-,-,-,-
4,Accounts Receivable,329.25,280.68,285.51,293.82,328.42,358.31,304.21,353.24,291.42,-,-,280.71,280.71,-,-
5,Other Receivables,3.75,4.51,41.88,5.6,1.9,7.16,65.17,22.9,25.97,-,-,2.16,-,-,-
6,Receivables,333.01,285.18,327.39,299.42,330.31,365.47,369.38,376.14,317.39,-,-,282.87,282.87,-,-
7,Inventory,62.9,61.24,50.87,56.93,53.8,48.6,39.81,46.54,44.23,-,-,41.81,41.81,-,-
8,Other Current Assets,11.36,5.81,12.7,7.72,11.57,6.8,6.51,5.59,29.52,-,-,8.97,-,-,-
9,Total Current Assets,464.15,442.32,521.8,486.31,535.49,600.49,661.61,701.23,812.53,-,-,446.24,446.24,-,-
10,"Property, Plant & Equipment",451.54,419.35,356.91,323.68,268.01,243.56,227.31,216.05,172.05,-,-,148.09,148.09,-,-
11,Goodwill,4.74,4.74,4.74,4.74,9.76,9.76,9.76,9.76,9.76,-,-,9.76,9.76,-,-
12,Other Intangible Assets,102.92,103.14,103.94,104.38,105.14,56.09,56.53,57.04,57.56,-,-,58.54,58.54,-,-
13,Long-Term Deferred Tax Assets,5.01,4.51,4.76,3.6,3.86,3.88,3.56,3.59,4.5,-,-,5.12,-,-,-
14,Long-Term Deferred Charges,0.74,0.02,0.04,0.04,0.05,0.06,0.07,0.08,0.09,-,-,0.12,-,-,-
15,Other Long-Term Assets,68.22,16.08,9.81,8.88,27.23,18.12,12.58,12.21,2.43,-,-,5.85,-,-,-
16,Total Assets,1097,990.17,1002,931.63,949.54,931.95,971.43,999.97,1059,-,-,673.72,673.72,-,-
