,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2014,Q4 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013"
0,Cash & Equivalents,36636,27023,20310,-,40940,-,-,-,13268,17966
1,Short-Term Investments,67937,49787,78291,-,73831,-,-,-,2725,2725
2,Cash & Short-Term Investments,104574,76811,98601,-,114771,-,-,-,15993,20691
3,Cash Growth,-8.89%,-,-,-,617.63%,-,-,-,-,-
4,Accounts Receivable,1690830,1529431,1698446,-,1611968,-,-,-,533113,310805
5,Other Receivables,749699,611307,716563,-,882362,-,-,-,36911,3756
6,Receivables,2440529,2140738,2415009,-,2494330,-,-,-,570023,314561
7,Inventory,569592,738955,821210,-,825125,-,-,-,403613,562911
8,Prepaid Expenses,616.74,839.5,932.43,-,3617,-,-,-,774.05,1015
9,Other Current Assets,713375,743218,694534,-,720285,-,-,-,202057,139687
10,Total Current Assets,3828686,3700561,4030286,-,4158129,-,-,-,1192461,1038865
11,"Property, Plant & Equipment",1474464,1306834,1256528,-,1465714,-,-,-,252692,206029
12,Long-Term Investments,484513,484513,484143,-,232996,-,-,-,2731,2794
13,Goodwill,56029,61147,61147,-,66962,-,-,-,688.5,803.25
14,Other Intangible Assets,1687,1691,460.19,-,2869,-,-,-,1143,-
15,Long-Term Accounts Receivable,-,-,-,-,7797,-,-,-,-,-
16,Other Long-Term Assets,131093,194783,124889,-,649569,-,-,-,7778,12796
17,Total Assets,6003471,5776530,5957454,-,6584036,-,-,-,1457493,1261287
18,Accounts Payable,985977,939987,1055215,-,1073999,-,-,-,432325,300780
19,Accrued Expenses,174753,140336,174676,-,324657,-,-,-,43371,44840
20,Short-Term Debt,-,-,-,-,-,-,-,-,421481,392909
21,Current Portion of Long-Term Debt,1769736,1640507,1787331,-,1690597,-,-,-,-,-
22,Current Income Taxes Payable,7302,6048,5428,-,38198,-,-,-,47260,54335
23,Current Unearned Revenue,1444,1797,1825,-,8111,-,-,-,-,-
24,Other Current Liabilities,669360,626566,575109,-,537878,-,-,-,217309,216128
25,Total Current Liabilities,3608570,3355242,3599583,-,3673439,-,-,-,1161745,1008994
26,Long-Term Debt,736496,784956,719176,-,874333,-,-,-,8554,36698
27,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,54852,515.29
28,Other Long-Term Liabilities,517433,495465,482277,-,635802,-,-,-,680.94,272.33
29,Total Liabilities,4862498,4635663,4801036,-,5183575,-,-,-,1225833,1046479
30,Common Stock,950846,950846,950846,-,950846,-,-,-,120000,120000
31,Additional Paid-In Capital,308.55,308.55,1411,-,308.55,-,-,-,19362,19362
32,Retained Earnings,35313,29687,37981,-,33178,-,-,-,43087,28050
33,Treasury Stock,-12035,-12035,-12035,-,-12035,-,-,-,-12034,-12034
34,Comprehensive Income & Other,90.73,90.73,90.73,-,90.73,-,-,-,-,-
35,Total Common Equity,974523,968897,978294,-,972388,-,-,-,170415,155378
36,Minority Interest,166450,171970,178124,-,428073,-,-,-,61245,59430
37,Shareholders' Equity,1140973,1140867,1156418,-,1400462,-,-,-,231660,214807
38,Total Liabilities & Equity,6003471,5776530,5957454,-,6584036,-,-,-,1457493,1261287
39,Total Debt,2506231,2425464,2506507,-,2564930,-,-,-,430035,429607
40,Net Cash (Debt),-2401658,-2348653,-2407906,-,-2450159,-,-,-,-414042,-408916
41,Net Cash Per Share,-61034.12,-123498.90,-,-,-192814.91,-,-,-,-29496.46,-29162.79
42,Filing Date Shares Outstanding,39.35,19.02,-,-,12.71,4.87,-,-,14.04,14.02
43,Total Common Shares Outstanding,39.35,19.02,-,-,12.71,4.87,-,-,14.04,14.02
44,Working Capital,220116,345320,430703,-,484690,-,-,-,30715,29871
45,Book Value Per Share,24765.88,50947.37,-,-,76521.97,-,-,-,12140.42,11081.12
46,Tangible Book Value,916807,906059,916687,-,902557,-,-,-,168584,154575
47,Tangible Book Value Per Share,23299.13,47643.16,-,-,71026.59,-,-,-,12009.95,11023.84
48,Machinery,42,42,42,-,42,-,-,-,-,-
49,Construction In Progress,1243578,1080025,1031534,-,1189268,-,-,-,24521,13614
