,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2014,Q4 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013"
0,Revenue,1466351,701295,1017641,791276,1409684,938612,601239,484690,457508,302096
1,Revenue Growth (YoY),4.02%,-25.28%,69.26%,63.25%,208.12%,210.70%,-,-,-,-
2,Cost of Revenue,1430342,671044,992006,758040,1373727,982373,555553,444881,420772,276024
3,Gross Profit,36010,30251,25635,33236,35957,-43762,45685,39808,36736,26072
4,"Selling, General & Admin",32492,13717,19049,17613,23723,19386,21007,19992,13206,6768
5,Operating Expenses,32492,13717,19049,17613,23723,19386,21007,19992,13206,6768
6,Operating Income,3518,16534,6586,15624,12234,-63148,24678,19817,23530,19304
7,Interest Expense,-6767,-25984,-14007,-18879,-199891,-38156,-29003,-25103,-11939,-11118
8,Interest & Investment Income,4560,10217,53454,26906,191170,112340,4935,6269,2215,-
9,Earnings From Equity Investments,35.22,749.74,749.74,374.87,-,-,-,-,-50.23,-71.78
10,Other Non Operating Income (Expenses),2170,-318.13,-46958,-23222,-3032,-2502,-306.44,-424.48,-537.97,-8949
11,Pretax Income,3515,1199,-175.83,802.86,481.16,8535,303.79,557.92,13218,-834.46
12,Income Tax Expense,2312,296.74,880.7,736.9,343.83,2091,235.88,187.56,4126,401.05
13,Earnings From Continuing Operations,1203,901.76,-1057,65.96,137.33,6444,67.91,370.36,9091,-1236
14,Minority Interest in Earnings,-1245,-1130,1471,498.12,-73.92,-6128,52.2,-196.15,-67.66,100.41
15,Net Income,-42.45,-228.21,414.37,564.08,63.41,316.36,120.11,174.21,9024,-1135
16,Net Income to Common,-42.45,-228.21,414.37,564.08,63.41,316.36,120.11,174.21,9024,-1135
17,Net Income Growth,-,-,245.00%,223.80%,-99.30%,-,-,-,-,-
18,Shares Outstanding (Basic),39,19,-,-,13,5,-,-,14,14
19,Shares Outstanding (Diluted),39,19,-,-,13,5,-,-,14,14
20,Shares Change (YoY),209.66%,290.74%,-,-,-9.47%,-65.29%,-,-,-,-
21,EPS (Basic),-1.08,-12.00,-,-,4.99,65.00,-,-,642.86,-80.95
22,EPS (Diluted),-1.08,-12.00,-,-,4.99,65.00,-,-,642.86,-80.95
23,EPS Growth,-,-,-,-,-99.22%,-,-,-,-,-
24,Free Cash Flow,58422,5874,-60529,-60529,-58595,43475,-88863,-88863,-,-
25,Free Cash Flow Per Share,1484.71,308.85,-,-,-4611.15,8932.50,-,-,-,-
26,Gross Margin,2.46%,4.31%,2.52%,4.20%,2.55%,-4.66%,7.60%,8.21%,8.03%,8.63%
27,Operating Margin,0.24%,2.36%,0.65%,1.97%,0.87%,-6.73%,4.10%,4.09%,5.14%,6.39%
28,Profit Margin,-0.00%,-0.03%,0.04%,0.07%,0.00%,0.03%,0.02%,0.04%,1.97%,-0.38%
29,Free Cash Flow Margin,3.98%,0.84%,-5.95%,-7.65%,-4.16%,4.63%,-14.78%,-18.33%,-,-
30,EBIT,3518,16534,6586,15624,12234,-63148,24678,19817,23530,19304
31,EBIT Margin,0.24%,2.36%,0.65%,1.97%,0.87%,-6.73%,4.10%,4.09%,5.14%,6.39%
32,Effective Tax Rate,65.78%,24.76%,-,91.78%,71.46%,24.49%,77.65%,33.62%,31.22%,-
33,Revenue as Reported,1466351,701295,1017641,791276,1409684,938612,601239,484690,457508,302096
