,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2014,Q4 2013
,Period Ending,"Mar '25 Mar 7, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '14 Dec 31, 2014","Dec '13 Dec 31, 2013"
0,Market Capitalization,121983,57053,44918,53341,57552,60359,64570,72992,53341,75250,-
1,Market Cap Growth,-5.48%,-5.48%,-30.43%,-26.92%,7.89%,-19.79%,-,-,-,-,-
2,Enterprise Value,2690091,2577676,2630948,528628,532839,535646,539857,548280,528628,-,-
3,Last Close Price,3100.00,3000.00,3200.00,3800.00,4100.00,4300.00,4600.00,5200.00,3800.00,3810.20,3273.55
4,PE Ratio,143.84,-,-,39.27,54.09,89.54,6.70,8.92,6.62,9.54,-
5,PS Ratio,0.10,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.10,-
6,PB Ratio,0.13,0.05,0.04,0.05,-,0.04,-,-,-,0.32,-
7,P/TBV Ratio,0.06,0.06,0.05,0.06,-,0.07,-,-,-,0.45,-
8,P/FCF Ratio,-,-1.01,-0.26,-,-,-,-0.48,-,-,-,-
9,P/OCF Ratio,-,-4.03,-0.34,-,-,-,-0.76,-,-,-,-
10,EV/Sales Ratio,0.71,0.65,0.67,0.13,0.14,0.16,0.22,0.30,0.42,-,-
11,EV/EBIT Ratio,49.10,60.99,51.61,-18.42,-50.21,-83.46,-,6.28,8.44,-,-
12,EV/FCF Ratio,-47.39,-45.41,-15.14,-,-,-,-4.02,-,-,-,-
13,Debt / Equity Ratio,2.20,2.20,2.13,2.17,-,1.83,-,-,-,1.86,2.00
14,Debt / FCF Ratio,-,-44.15,-13.96,-,-,-,-,-,-,-,-
15,Asset Turnover,1.00,0.48,-,-,-,-,-,-,-,-,
16,Inventory Turnover,5.21,8.74,3.44,-,-,-,-,-,-,-,-
17,Quick Ratio,0.71,0.71,0.66,0.70,-,0.71,-,-,-,0.50,0.33
18,Current Ratio,1.06,1.06,1.10,1.12,-,1.13,-,-,-,1.03,1.03
19,Return on Equity (ROE),0.42%,0.31%,-,-,-,-,-,-,-,-,
20,Return on Assets (ROA),0.15%,0.70%,-,-,-,-,-,-,-,-,
21,Return on Capital (ROIC),0.24%,1.14%,-,-,-,-,-,-,-,-,
22,Return on Capital Employed (ROCE),2.25%,1.76%,2.11%,-1.22%,-,-0.22%,-,-,-,14.48%,7.65%
23,Earnings Yield,0.70%,1.24%,1.81%,2.55%,1.85%,1.12%,14.92%,11.21%,15.12%,10.48%,-
24,FCF Yield,-46.53%,-99.49%,-386.88%,-255.30%,-285.85%,-319.50%,-207.91%,-243.48%,-166.59%,-,-
25,Payout Ratio,810.48%,-,-,-,-,630.81%,41.19%,-,-,-,-
26,Buyback Yield / Dilution,-1064.62%,-209.66%,-290.74%,-,-,9.47%,65.29%,-,-,-,-
27,Total Shareholder Return,-1064.62%,-209.66%,-290.74%,-,-,9.47%,65.29%,-,-,-,-
