,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q3 2014,Q1 2014,Q3 2013,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Sep '14 Sep 30, 2014","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013","Mar '13 Mar 31, 2013"
0,Revenue,415694,281385,251786,240071,76263,77567,74923,31011
1,Revenue Growth (YoY),445.08%,262.76%,236.06%,674.14%,-,-,-,-
2,Cost of Revenue,328773,231787,191606,181577,58252,62666,58318,25645
3,Gross Profit,86920,49598,60179,58494,18010,14901,16605,5366
4,"Selling, General & Admin",31621,26988,46179,33182,8298,8948,8356,2097
5,Operating Expenses,31621,26988,46179,33182,8298,8948,8356,2097
6,Operating Income,55300,22610,14000,25311,9712,5953,8249,3269
7,Interest Expense,-753.01,-828.28,-1180,-1278,-187.13,-167.01,-72.13,-86.48
8,Interest & Investment Income,752.22,1290,913.92,2902,294.72,873.9,770.52,449.89
9,Currency Exchange Gain (Loss),-6.5,-,-27.07,-,-,-,-,-
10,Other Non Operating Income (Expenses),2379,110.73,2156,102.39,63.98,28.74,1269,203.76
11,Pretax Income,57672,23183,15864,27037,9883,6689,10217,3837
12,Income Tax Expense,11235,5392,2638,7632,2259,1530,2493,959.17
13,Earnings From Continuing Operations,46437,17791,13225,19405,7625,5159,7724,2877
14,Minority Interest in Earnings,-25978,-6307,-5962,-5767,-1541,-767.85,-2258,-
15,Net Income,20459,11484,7263,13639,6084,4391,5466,2877
16,Net Income to Common,20459,11484,7263,13639,6084,4391,5466,2877
17,Net Income Growth,236.30%,161.53%,32.87%,373.99%,-,-,-,-
18,Shares Outstanding (Basic),14,14,14,14,6,6,6,6
19,Shares Outstanding (Diluted),14,14,14,14,6,6,6,6
20,Shares Change (YoY),140.01%,140.20%,139.99%,157.10%,-,-,-,-
21,EPS (Basic),1420.80,797.00,504.37,947.00,1014.00,732.00,911.00,513.67
22,EPS (Diluted),1420.80,797.00,504.00,947.00,1014.00,732.00,911.00,513.67
23,EPS Growth,40.12%,8.88%,-44.68%,84.36%,-,-,-,-
24,Free Cash Flow,-,-,-,-,-,-18411,-,27507
25,Free Cash Flow Per Share,-,-,-,-,-,-3069.11,-,4910.28
26,Gross Margin,20.91%,17.63%,23.90%,24.37%,23.62%,19.21%,22.16%,17.30%
27,Operating Margin,13.30%,8.04%,5.56%,10.54%,12.73%,7.67%,11.01%,10.54%
28,Profit Margin,4.92%,4.08%,2.88%,5.68%,7.98%,5.66%,7.30%,9.28%
29,Free Cash Flow Margin,-,-,-,-,-,-23.74%,-,88.70%
30,EBITDA,-,42611,-,-,15902,12521,-,10420
31,EBITDA Margin,-,15.14%,-,-,20.85%,16.14%,-,33.60%
32,D&A For EBITDA,-,20001,-,-,6190,6568,-,7150
33,EBIT,55300,22610,14000,25311,9712,5953,8249,3269
34,EBIT Margin,13.30%,8.04%,5.56%,10.54%,12.73%,7.67%,11.01%,10.54%
35,Effective Tax Rate,19.48%,23.26%,16.63%,28.23%,22.85%,22.87%,24.40%,25.00%
36,Revenue as Reported,415694,281385,251786,240071,76263,77567,74923,31011
