,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q3 2014,Q1 2014,Q3 2013,Q1 2013
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Sep '14 Sep 30, 2014","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013","Mar '13 Mar 31, 2013"
0,Cash & Equivalents,273011,91307,197316,-,39702,36003,-,-
1,Short-Term Investments,-,-,-,-,5677,2381,-,-
2,Cash & Short-Term Investments,273011,91307,197316,-,45379,38384,-,-
3,Cash Growth,501.62%,137.88%,-,-,-,-,-,-
4,Accounts Receivable,88058,92340,89574,-,64977,49016,-,-
5,Other Receivables,35728,120096,103102,-,6630,6175,-,-
6,Receivables,123787,212437,192677,-,71607,55191,-,-
7,Inventory,143112,140482,141718,-,43205,38436,-,-
8,Prepaid Expenses,719.09,529.33,-,-,161.4,1143,-,-
9,Other Current Assets,66728,140105,129115,-,8757,8261,-,-
10,Total Current Assets,607357,584860,660826,-,169111,141415,-,-
11,"Property, Plant & Equipment",539396,364523,372570,-,84994,88317,-,-
12,Other Intangible Assets,17024,35112,35440,-,3458,3584,-,-
13,Long-Term Deferred Tax Assets,4124,229.63,2046,-,216.25,328.13,-,-
14,Other Long-Term Assets,28278,29418,27629,-,1934,5055,-,-
15,Total Assets,1196180,1014142,1098510,-,259713,238699,-,-
16,Accounts Payable,91385,56134,59635,-,20660,22119,-,-
17,Accrued Expenses,43671,36577,49252,-,9553,6691,-,-
18,Short-Term Debt,4784,9030,39988,-,2000,-,-,-
19,Current Portion of Long-Term Debt,92918,-,-,-,-,-,-,-
20,Current Income Taxes Payable,16043,9415,7158,-,3296,4729,-,-
21,Other Current Liabilities,167433,150988,208504,-,35013,29191,-,-
22,Total Current Liabilities,416233,262144,364538,-,70522,62731,-,-
23,Long-Term Debt,27000,33000,39000,-,-,-,-,-
24,Other Long-Term Liabilities,5259,5259,5389,-,70,70,-,-
25,Total Liabilities,448492,300403,408927,-,70592,62801,-,-
26,Common Stock,144000,144000,144000,-,20000,20000,-,-
27,Additional Paid-In Capital,9053,9053,9053,-,14132,14132,-,-
28,Retained Earnings,322800,301410,290997,-,89596,77644,-,-
29,Comprehensive Income & Other,-,-,245533,-,-,-,-,-
30,Total Common Equity,475853,454463,689584,-,123728,111776,-,-
31,Minority Interest,271835,259276,-,-,65394,64122,-,-
32,Shareholders' Equity,747688,713739,689584,-,189121,175898,-,-
33,Total Liabilities & Equity,1196180,1014142,1098510,-,259713,238699,-,-
34,Total Debt,124702,42030,78988,-,2000,-,-,-
35,Net Cash (Debt),148309,49277,118329,-,43379,38384,-,-
36,Net Cash Growth,241.89%,28.38%,-,-,-,-,-,-
37,Net Cash Per Share,10299.26,3419.89,8217.26,-,7230.23,6398.67,-,-
38,Filing Date Shares Outstanding,14.4,14.41,14.4,14.4,6,6,6,5.6
39,Total Common Shares Outstanding,14.4,14.41,14.4,14.4,6,6,6,5.6
40,Working Capital,191125,322716,296288,-,98588,78685,-,-
41,Book Value Per Share,33045.36,31540.25,47887.75,-,20622.27,18633.26,-,-
42,Tangible Book Value,458829,419350,654144,-,120270,108193,-,-
43,Tangible Book Value Per Share,31863.11,29103.41,45426.64,-,20045.90,18035.83,-,-
44,Buildings,170716,-,-,-,-,-,-,-
45,Machinery,826266,-,-,-,-,-,-,-
46,Construction In Progress,185790,32846,38751,-,396.63,495.27,-,-
