,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q3 2014,Q1 2014,Q3 2013,Q1 2013
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Sep '14 Sep 30, 2014","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013","Mar '13 Mar 31, 2013"
0,Market Capitalization,1045440,1036800,1087200,757440,784800,124000,131400,90923,70759
1,Market Cap Growth,-,736.13%,727.40%,733.06%,1009.11%,-,-,-,-
2,Enterprise Value,1168966,1246799,1109214,779454,806814,149737,-,-,-
3,Last Close Price,72600.00,72000.00,75500.00,50439.76,52261.73,6057.62,6419.12,4364.34,3396.47
4,PE Ratio,15.62,19.62,28.26,24.14,26.53,6.59,10.32,10.90,24.59
5,PS Ratio,0.85,0.87,1.28,1.17,1.67,0.48,0.72,0.86,2.28
6,PB Ratio,1.40,1.39,1.52,1.10,-,0.66,0.75,-,-
7,P/TBV Ratio,1.42,2.26,2.59,1.16,-,1.03,1.21,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,2.57
9,P/OCF Ratio,-,-,-,-,-,-,-,-,2.26
10,EV/Sales Ratio,0.95,1.05,1.31,1.21,1.72,0.58,-,-,-
11,EV/EBITDA Ratio,5.19,-,18.96,-,-,3.85,-,-,-
12,EV/EBIT Ratio,8.04,10.64,15.48,14.18,16.39,5.51,-,-,-
13,Debt / Equity Ratio,0.17,0.17,0.06,0.11,-,0.01,-,-,-
14,Debt / EBITDA Ratio,0.55,-,0.25,-,-,0.03,-,-,-
15,Asset Turnover,1.50,-,-,-,-,-,-,-,
16,Inventory Turnover,6.89,9.27,-,-,-,-,-,-,-
17,Quick Ratio,0.95,0.95,1.16,1.07,-,1.66,1.49,-,-
18,Current Ratio,1.46,1.46,2.23,1.81,-,2.40,2.25,-,-
19,Return on Equity (ROE),25.42%,-,-,-,-,-,-,-,
20,Return on Assets (ROA),12.51%,-,-,-,-,-,-,-,
21,Return on Capital (ROIC),16.98%,-,-,-,-,-,-,-,
22,Return on Capital Employed (ROCE),18.65%,15.03%,9.53%,7.49%,-,14.37%,9.93%,-,-
23,Earnings Yield,6.40%,5.10%,3.54%,4.14%,3.77%,15.18%,9.69%,9.18%,4.07%
24,FCF Yield,-,-,-,-,-,6.92%,-,38.87%,
25,Payout Ratio,0.00%,-,-,-,-,-,88.92%,-,486.40%
26,Buyback Yield / Dilution,-140.01%,-140.20%,-139.99%,-157.10%,-,-,-,-,
27,Total Shareholder Return,3.35%,-140.01%,-140.20%,-139.99%,-157.10%,-,-,-,-
