,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,159.53,251.24,144.95,235.46,121.21,217.19,106.98
1,Revenue Growth (YoY),10.06%,6.70%,19.59%,8.41%,13.30%,-,-
2,Cost of Revenue,70.74,102.95,69.77,133,64.56,86.55,44.98
3,Gross Profit,88.79,148.29,75.18,102.46,56.65,130.63,62.01
4,"Selling, General & Admin",34.15,36.82,30.23,43.95,33.82,34.65,34.3
5,Research & Development,28.88,33.86,27.23,31.89,28.52,29.63,24.08
6,Other Operating Expenses,-,-,-,-,-,0.02,-
7,Operating Expenses,68.75,82.93,62.82,77.5,63.36,66.18,59.01
8,Operating Income,20.04,65.36,12.36,24.96,-6.71,64.45,3
9,Interest Expense,-0.33,-0.36,-0.28,-0.2,-0.21,-0.26,-0.28
10,Interest & Investment Income,13.57,14.63,12.54,12.19,2.92,4.1,2.87
11,Earnings From Equity Investments,-,-,-,-,-,-0.3,-0.11
12,Currency Exchange Gain (Loss),2.29,-12.16,14.45,9.25,0.28,0.04,-
13,Other Non Operating Income (Expenses),6.97,-4.41,8.6,7.21,4.23,5.48,10.62
14,EBT Excluding Unusual Items,42.53,63.06,47.67,53.41,0.5,73.51,16.1
15,Gain (Loss) on Sale of Investments,-,-0.21,0.21,-3.39,3.43,2.41,2.4
16,Gain (Loss) on Sale of Assets,-,-,-,0.52,-,-,-
17,Other Unusual Items,0.01,-0,0.01,-,-,-,1.11
18,Pretax Income,42.54,62.85,47.89,50.55,3.93,75.92,19.61
19,Income Tax Expense,0.2,8.88,0.92,1.62,-1.36,16.31,7.24
20,Earnings From Continuing Operations,42.35,53.97,46.97,48.93,5.29,59.61,12.37
21,Minority Interest in Earnings,-0.67,0.23,0.86,2.97,-1.43,2.28,4.56
22,Net Income,41.68,54.2,47.83,51.9,3.86,61.89,16.93
23,Net Income to Common,41.68,54.2,47.83,51.9,3.86,61.89,16.93
24,Net Income Growth,-12.87%,4.43%,1139.20%,-16.14%,-77.19%,-,-
25,Shares Outstanding (Basic),417,421,431,446,375,375,371
26,Shares Outstanding (Diluted),417,421,431,446,375,375,371
27,Shares Change (YoY),-3.14%,-5.57%,14.87%,19.01%,1.02%,-,-
28,EPS (Basic),0.10,0.13,0.11,0.12,0.01,0.17,0.05
29,EPS (Diluted),0.10,0.13,0.11,0.12,0.01,0.17,0.05
30,EPS Growth,-10.05%,10.59%,978.81%,-29.54%,-77.42%,-,-
31,Free Cash Flow,19.41,30.08,45.86,28.91,0.87,20.2,37.94
32,Free Cash Flow Per Share,0.05,0.07,0.11,0.06,0.00,0.05,0.10
33,Operating Margin,12.56%,26.01%,8.53%,10.60%,-5.54%,29.68%,2.80%
34,Profit Margin,26.12%,21.57%,33.00%,22.04%,3.18%,28.50%,15.82%
35,Free Cash Flow Margin,12.16%,11.97%,31.64%,12.28%,0.72%,9.30%,35.46%
36,EBITDA,21.31,66.55,13.6,26.4,-5.5,65.56,3.97
37,D&A For EBITDA,1.28,1.19,1.24,1.45,1.21,1.11,0.97
38,EBIT,20.04,65.36,12.36,24.96,-6.71,64.45,3
