,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,23.76,123.93,199.19,409.32,98.47,33.96,-
1,Short-Term Investments,388.65,344.03,320.29,175.47,-,-,-
2,Trading Asset Securities,88.46,-,46.8,2.1,312.25,373.39,-
3,Cash & Short-Term Investments,500.87,467.96,566.28,586.89,410.72,407.34,-
4,Cash Growth,-11.55%,-20.26%,37.88%,44.08%,-,-,-
5,Accounts Receivable,97.95,90.09,73.77,91.99,69.95,81.94,-
6,Other Receivables,-,7.81,-,2.45,-,0.96,-
7,Receivables,97.95,97.9,73.77,94.44,69.95,82.9,-
8,Inventory,6.51,1.56,3.36,2.32,2.66,0.68,-
9,Prepaid Expenses,-,0.71,-,0.86,-,0.86,-
10,Other Current Assets,15.46,41.13,20.01,17.69,17.23,8.63,-
11,Total Current Assets,620.8,609.26,663.43,702.19,500.56,500.41,-
12,"Property, Plant & Equipment",16.97,18.56,20.64,11.24,11.87,13.49,-
13,Long-Term Investments,157.71,165.38,162.75,80.77,-,0.18,-
14,Goodwill,11.55,-,-,-,-,-,-
15,Other Intangible Assets,1.68,1.09,1.25,1.59,1.12,1.15,-
16,Long-Term Deferred Tax Assets,3.51,3.46,1.62,0.69,2.4,0.92,-
17,Other Long-Term Assets,-,-,-,-,0.61,0.87,-
18,Total Assets,812.22,797.74,849.69,796.47,516.57,517.02,-
19,Accounts Payable,12.97,13.54,9.15,15.02,9.81,16.86,-
20,Accrued Expenses,17.27,30.88,21.53,35.11,29.76,38.47,-
21,Current Portion of Leases,4.86,4.21,2.8,3.22,4.35,4.64,-
22,Current Income Taxes Payable,1.17,2.97,1.64,5.41,6.16,7.05,-
23,Current Unearned Revenue,49.29,28.7,65.58,36,40.65,22.91,-
24,Other Current Liabilities,32.46,3.97,16.52,3.03,0.83,6.2,-
25,Total Current Liabilities,118.02,84.26,117.22,97.79,91.56,96.14,-
26,Long-Term Leases,9.04,10.03,13.89,3.9,3.82,4.97,-
27,Long-Term Deferred Tax Liabilities,3.03,3,-,1.54,-,-,-
28,Total Liabilities,130.09,97.29,131.11,103.24,95.37,101.11,-
29,Common Stock,30.38,30.38,30.38,30.38,0.32,0.32,-
30,Additional Paid-In Capital,477.34,477.34,477.34,477.34,183.86,183.86,-
31,Retained Earnings,367.17,355.34,301.14,269.06,217.17,213.31,-
32,Treasury Stock,-209.34,-179.1,-107,-101.12,-,-,-
33,Comprehensive Income & Other,18.46,19.37,19.37,19.37,19.37,19.37,-
34,Total Common Equity,684,703.34,721.24,695.04,420.72,416.86,-
35,Minority Interest,-1.87,-2.89,-2.67,-1.8,0.48,-0.95,-
36,Shareholders' Equity,682.13,700.45,718.58,693.24,421.2,415.91,-
37,Total Liabilities & Equity,812.22,797.74,849.69,796.47,516.57,517.02,-
38,Total Debt,13.9,14.24,16.69,7.13,8.17,9.61,-
39,Net Cash (Debt),486.97,453.72,549.6,579.76,402.55,397.73,-
40,Net Cash Growth,-11.39%,-21.74%,36.53%,45.77%,-,-,-
41,Net Cash Per Share,1.17,1.08,1.28,1.30,1.07,1.06,-
42,Filing Date Shares Outstanding,409.08,414.96,431.18,431.18,451.77,375,371.22
43,Total Common Shares Outstanding,409.08,414.96,431.18,431.18,375,375,371.22
44,Working Capital,502.78,525,546.21,604.4,409,404.28,-
45,Book Value Per Share,1.67,1.69,1.67,1.61,1.12,1.11,-
46,Tangible Book Value,670.77,702.26,719.99,693.45,419.6,415.71,-
47,Tangible Book Value Per Share,1.64,1.69,1.67,1.61,1.12,1.11,-
48,Machinery,-,13.95,-,10.96,-,9.27,-
49,Leasehold Improvements,-,2.53,-,2.46,-,1.78,-
