,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,1464,2087,2393,2070,2485,-,-,-
1,Market Cap Growth,0.85%,0.85%,-3.69%,-,-,-,-,-
2,Enterprise Value,939,1584,1796,1412,2014,-,-,-
3,Last Close Price,3.58,4.92,5.35,4.63,5.26,-,-,-
4,PE Ratio,14.57,20.26,21.29,19.21,39.42,-,-,-
5,Forward PE,-,24.32,33.03,42.31,-,-,-,-
6,PS Ratio,3.40,4.73,5.48,5.04,6.16,-,-,-
7,PB Ratio,1.99,2.85,3.10,2.67,3.17,-,-,-
8,P/TBV Ratio,2.90,2.90,3.09,2.66,3.17,-,-,-
9,P/FCF Ratio,27.55,39.26,28.60,25.62,73.81,-,-,-
10,P/OCF Ratio,37.97,37.97,27.48,24.48,67.35,-,-,-
11,EV/Sales Ratio,2.13,3.59,4.12,3.44,4.99,-,-,-
12,EV/EBITDA Ratio,9.44,16.78,20.34,32.67,85.20,-,-,-
13,EV/EBIT Ratio,10.24,17.27,20.98,35.02,97.62,-,-,-
14,EV/FCF Ratio,17.67,29.80,21.47,17.48,59.82,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.01,0.02,0.02,-
16,Debt / FCF Ratio,0.28,0.28,0.19,0.22,0.24,0.39,0.17,-
17,Return on Capital Employed (ROCE),12.30%,12.30%,10.89%,5.10%,2.61%,-,16.03%,-
18,Earnings Yield,7.03%,4.94%,4.70%,5.21%,2.54%,-,-,-
19,FCF Yield,3.63%,2.55%,3.50%,3.90%,1.35%,-,-,-
20,Buyback Yield / Dilution,4.37%,3.14%,5.57%,-14.87%,-19.01%,-1.02%,-,-
21,Total Shareholder Return,6.40%,3.14%,5.57%,-14.87%,-19.01%,-1.02%,-,-
