,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4384,3688,3595,2970,3768,5428,5793,6448,8472,4255,4353,5253,5303,-,-,-,-
1,Market Cap Growth,-32.06%,-32.06%,-37.95%,-53.94%,-55.52%,27.58%,33.10%,22.75%,59.75%,-,-,-,-,-,-,-,-
2,Enterprise Value,2844,2147,2243,1322,1971,3631,3885,4513,6760,2543,2665,3450,5120,-,-,-,-
3,Last Close Price,16.93,14.24,13.88,11.47,14.55,20.96,22.37,24.90,32.71,16.43,16.81,20.29,20.48,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,136.35,-,130.45,-,-218.27,-,-,-,-,-
5,PS Ratio,35.46,30.62,36.55,19.02,16.71,20.70,15.14,16.37,23.09,12.03,12.43,15.52,16.11,-,-,-,-
6,PB Ratio,2.05,1.72,1.68,1.34,1.67,2.38,2.46,2.72,3.58,1.80,1.89,2.28,2.32,-,-,-,-
7,P/TBV Ratio,1.72,1.72,1.68,1.35,1.67,2.38,2.46,2.72,3.58,1.80,1.89,2.29,2.32,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-96.12,-,-,-,29.37,-1549.66,-89.20,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-173.73,-,-,-,27.50,543.97,-109.07,-,-,-,-,-
10,EV/Sales Ratio,23.61,17.83,22.80,8.46,8.74,13.85,10.16,11.46,18.42,7.19,7.61,10.19,15.55,-,-,-,-
11,EV/EBITDA Ratio,210.03,151.07,-,-,-,-,-,-,-,-153.67,-,-,-,-,-,-,-
12,EV/EBIT Ratio,322.30,322.30,-,-,-,-,-,-,-,-126.45,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,-64.30,-,-,-,17.55,-948.65,-58.57,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.01,0.00,0.01,0.01,0.01,0.01,0.06,-,0.04,0.01
15,Debt / EBITDA Ratio,4.74,0.09,-,-,-,-,-,-,-,0.11,-,-,-,0.47,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,-1.45,-,-,-,0.09,-5.55,-0.30,-,-,-,-,-
17,Asset Turnover,-,0.02,0.03,0.05,0.06,0.11,0.14,0.11,0.25,0.13,0.10,0.14,-,-,-,-,
18,Inventory Turnover,-,-,0.74,1.51,1.11,5.29,3.36,3.50,2.52,5.00,2.87,3.80,3.08,-,-,-,-
19,Quick Ratio,-,-,25.97,21.47,19.53,17.93,21.44,21.29,17.92,13.57,14.91,19.32,19.49,3.04,-,8.80,-
20,Current Ratio,-,-,28.05,26.85,20.03,18.35,21.80,21.81,18.42,13.91,15.64,19.85,19.82,3.30,-,9.51,-
21,Return on Equity (ROE),-12.97%,-10.98%,-9.06%,-4.78%,-12.57%,-3.30%,0.48%,-0.15%,8.32%,-0.61%,0.35%,-4.04%,-,-,-10.63%,-,
22,Return on Assets (ROA),-,-7.27%,-6.51%,-3.87%,-8.81%,-2.70%,-0.87%,-1.22%,2.10%,-1.67%,-0.92%,-2.49%,-,-,-,-,
23,Return on Capital (ROIC),19.75%,-7.50%,-6.75%,-4.03%,-9.15%,-2.80%,-0.90%,-1.29%,2.22%,-1.75%,-0.96%,-2.66%,-,-,-6.64%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-0.85%,-,-,-,-11.88%,-,-,-
25,Earnings Yield,-4.72%,-5.61%,-5.86%,-5.74%,-3.09%,-1.66%,0.54%,0.73%,0.55%,0.77%,-0.00%,-0.46%,-0.77%,-,-,-,-
26,FCF Yield,-,-2.38%,-3.26%,-1.36%,-1.04%,0.66%,1.56%,1.60%,3.40%,-0.06%,-1.12%,-1.91%,-,-,-,-,
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,0.32%,-,2.51%,-,0.04%,-,-,-
28,Buyback Yield / Dilution,2.24%,21.10%,18.26%,4.04%,-4.64%,-13.52%,-3.59%,-2.08%,-39.02%,-27.59%,-59.77%,-28.96%,2.92%,-,-,-,-
29,Total Shareholder Return,2.24%,21.10%,18.26%,4.04%,-4.64%,-13.52%,-3.59%,-2.08%,-39.02%,-27.59%,-59.77%,-28.96%,2.92%,-,-,-,-
