,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,962.85,811.81,1621,1408,1696,1774,1828,1955,1626,1706,1837,219.11,-,235.92,-
1,Trading Asset Securities,-,642.72,611.8,100.37,359.53,188.45,152.62,120.13,31.19,101.17,-,-,-,-,-,-
2,Cash & Short-Term Investments,1606,1606,1424,1721,1768,1884,1927,1948,1986,1728,1706,1837,219.11,-,235.92,292.93
3,Cash Growth,-9.17%,-14.79%,-26.11%,-11.65%,-11.01%,9.07%,12.94%,6.04%,806.53%,-,623.10%,527.08%,-,-,-,-
4,Accounts Receivable,-,100.77,116.81,123.92,117.95,212.56,192.74,182.91,183.1,198.99,230.24,243.24,228.01,-,96.44,-
5,Other Receivables,-,5.41,5.14,4.92,4.32,4.71,3.58,3.05,2.44,2.4,0.04,1.44,2.73,-,1.32,-
6,Receivables,-,106.18,121.96,128.84,122.27,217.27,196.32,185.96,185.54,201.39,230.29,244.68,230.74,-,97.76,-
7,Inventory,-,19.48,22.15,27.76,28.73,20.99,34.78,43.02,40.84,69.71,33.95,21.2,27.01,-,13.02,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.17,-
9,Other Current Assets,-,117.64,365.47,19.07,15.42,14.2,16.63,16.87,14.54,24.14,19.34,14.76,10.98,-,11.86,-
10,Total Current Assets,-,1849,1933,1897,1934,2137,2174,2194,2227,2023,1990,2118,487.84,-,360.73,-
11,"Property, Plant & Equipment",-,77.03,82.21,97.61,104.63,107.75,34.12,24.16,26.12,26.11,27.47,28.72,31.87,-,27.99,-
12,Long-Term Investments,-,255.36,306.39,255.13,410.49,254.55,254.32,254.65,254.65,250.86,250.49,250.65,250.65,-,203.46,-
13,Other Intangible Assets,-,0.62,0.65,0.69,0.7,0.73,0.76,0.79,0.82,0.82,0.85,0.65,0.48,-,0.52,-
14,Long-Term Accounts Receivable,-,-,4.29,-,3.12,-,4.81,-,5,139.86,136.17,7.91,5.49,-,8.75,-
15,Long-Term Deferred Tax Assets,-,8.13,8.02,8.25,8.09,8.18,8.18,8.16,8.16,-,-,-,-,-,-,-
16,Long-Term Deferred Charges,-,10.19,11.34,3.92,4.39,1.64,1.92,2,2.26,2.78,3.07,3,-,-,0.26,-
17,Other Long-Term Assets,-,70.44,6.57,167.01,6.78,10.97,3.01,7.48,2.54,-,2.54,-,2.54,-,-,-
18,Total Assets,-,2271,2353,2429,2472,2521,2482,2491,2527,2443,2410,2408,778.87,-,601.71,-
19,Accounts Payable,-,19.11,5.72,29.43,10.36,46.45,41.76,60.13,43.5,79.39,36.14,40.42,55.47,-,9.01,-
20,Accrued Expenses,-,17.29,33.38,29.76,59.68,14.13,31.57,26.82,71.18,11.19,41.03,21.33,52.13,-,12.89,-
21,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,14.01,14.06,-,-,-
22,Current Portion of Leases,-,14.3,17.09,13.85,19.18,19.2,7.4,6.22,6.8,7.36,7.77,7.74,7.73,-,6.98,-
23,Current Income Taxes Payable,-,0.44,-,1,-,1.97,-,5.76,-,4.75,-,1.05,-,-,-,-
24,Current Unearned Revenue,-,7.68,8.77,13.74,12.45,11.99,12.07,16.49,32.23,15.21,8.6,6.61,12.37,-,6.81,-
25,Other Current Liabilities,-,7.08,7.03,6.92,3.75,4.27,6.91,3.64,6.35,11.44,6.67,15.66,6.27,-,2.23,-
26,Total Current Liabilities,-,65.9,71.99,94.71,105.43,98.01,99.71,119.07,160.07,129.33,100.21,106.82,148.04,-,37.93,-
27,Long-Term Leases,-,49.87,53.82,57.84,62.75,67.73,10.55,5.39,6.82,8.23,9.83,11.14,13.09,-,16.05,-
28,Other Long-Term Liabilities,-,15.02,16.85,16.65,19.09,-,-,-,-,-,-,-,-,-,-,-
29,Total Liabilities,-,130.8,142.65,169.2,187.26,165.74,110.27,124.46,166.9,137.57,110.04,117.95,161.13,-,53.98,-
30,Common Stock,-,258.97,258.97,258.97,258.97,258.97,258.97,184.98,184.98,184.98,184.98,184.98,138.74,-,138.74,-
31,Additional Paid-In Capital,-,1982,1982,1982,1980,1977,1974,2046,2039,2037,2029,2021,379.79,-,345.3,-
32,Retained Earnings,-,-307.37,-247.67,-196.84,-169.74,-96.69,-77.3,-80.23,-79.41,-128.02,-124.59,-126.67,-112.03,-,-100.52,-
33,Treasury Stock,-,-10.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,215.54,215.56,215.32,215.35,214.73,214.5,214.84,214.84,211.04,210.67,210.84,210.84,-,163.65,-
35,Total Common Equity,2139,2139,2209,2259,2284,2354,2371,2366,2359,2305,2300,2290,617.34,-,547.16,542.13
36,Minority Interest,-,0.92,0.92,0.72,0.81,0.66,0.75,0.83,0.92,0.21,0.28,0.35,0.41,-,0.57,-
37,Shareholders' Equity,2140,2140,2210,2260,2285,2355,2371,2367,2360,2306,2300,2291,617.75,-,547.74,542.83
38,Total Liabilities & Equity,-,2271,2353,2429,2472,2521,2482,2491,2527,2443,2410,2408,778.87,-,601.71,-
39,Total Debt,64.18,64.18,70.9,71.69,81.94,86.93,17.95,11.61,13.63,15.59,17.6,32.89,34.88,-,23.03,6.3
40,Net Cash (Debt),1541,1541,1353,1649,1686,1797,1909,1936,1973,1712,1688,1804,184.24,-,212.89,286.63
41,Net Cash Growth,-8.56%,-14.24%,-29.13%,-14.82%,-14.55%,4.99%,13.05%,7.33%,970.76%,-,693.06%,529.40%,-,-,-,-
42,Net Cash Per Share,6.69,5.94,5.44,6.09,5.78,5.66,7.37,7.48,7.67,5.59,6.65,9.68,0.91,-,1.08,1.49
43,Filing Date Shares Outstanding,258.97,259.5,258.97,258.97,258.97,258.97,258.97,258.97,258.97,258.97,258.97,258.97,258.97,191.82,194.23,191.88
44,Total Common Shares Outstanding,258.97,259.5,258.97,258.97,258.97,258.97,258.97,258.97,258.97,258.97,258.97,258.97,194.23,191.82,194.23,191.88
45,Working Capital,-,1783,1861,1802,1829,2039,2075,2075,2067,1893,1889,2011,339.8,-,322.81,-
46,Book Value Per Share,8.24,8.24,8.53,8.72,8.82,9.09,9.15,9.13,9.11,8.90,8.88,8.84,3.18,-,2.82,2.79
47,Tangible Book Value,2138,2138,2208,2259,2284,2353,2370,2365,2358,2305,2299,2290,616.86,-,546.65,541.71
48,Tangible Book Value Per Share,8.24,8.24,8.53,8.72,8.82,9.09,9.15,9.13,9.11,8.90,8.88,8.84,3.18,-,2.81,2.79
49,Machinery,-,-,48.78,-,46.61,-,37.87,-,31.95,-,26.95,-,20.28,-,18.8,-
50,Construction In Progress,-,-,-,-,5.09,-,0.44,-,-,-,-,-,6.26,-,-,-
