,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Revenue,59.79,9.35,20.58,30.73,37.69,67.16,89.89,67.54,157.94,78.53,62.92,54.26,154.56,66.81,53.66,18.53
1,Revenue Growth (YoY),58.63%,-86.07%,-77.10%,-54.51%,-76.14%,-14.48%,42.87%,24.48%,2.19%,17.54%,17.26%,192.85%,-,-,-,-
2,Cost of Revenue,-21.11,3.83,9.42,7.86,32.89,23.43,34.02,26.39,69.06,37.12,26.17,18.53,76.93,34.55,14.14,5.91
3,Gross Profit,80.9,5.52,11.16,22.87,4.8,43.73,55.87,41.15,88.89,41.4,36.75,35.73,77.63,32.26,39.52,12.62
4,"Selling, General & Admin",-71.33,29.34,23.1,18.9,34.18,23.44,25.25,20.88,29.93,26.8,23.17,29.26,30.07,28.69,26.72,33.72
5,Research & Development,-140.01,46.31,49.46,44.24,58.4,48.05,43.36,33.14,41.43,33.27,30,26.71,36.93,28.36,27.44,27.64
6,Other Operating Expenses,118.8,-2.08,-0.45,-2.48,1.42,-2.37,-5.69,-0.62,-5.98,-0.21,-7.98,-5.42,-6.49,-0.19,-0.97,-4.22
7,Operating Expenses,-93.21,72.76,73.46,60.78,92.82,70.78,64.49,53.37,68.01,57.63,45.64,51.59,66.55,59.45,54.38,56.59
8,Operating Income,174.11,-67.24,-62.3,-37.91,-88.02,-27.05,-8.61,-12.22,20.87,-16.23,-8.9,-15.86,11.08,-27.19,-14.86,-43.97
9,Interest Expense,-33.74,-0.78,-0.83,-0.9,-1.05,-0.93,-0.16,-0.14,-0.03,-0.19,-0.37,-0.31,-0.89,-,-0.52,-0.04
10,Interest & Investment Income,2.51,11.97,9.42,12.35,11.17,10.93,11.07,11.75,10.76,10.51,10.69,2.19,1.11,1.51,1.21,1.42
11,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,0.04,-0.02,0.02,-,-0.01,0,-0,-
12,Other Non Operating Income (Expenses),1.16,-0.2,0.01,-0,-0.02,0.01,0.05,-0.1,0.06,2.97,0.16,-0.16,1.02,-0.86,-0.21,-0.01
13,EBT Excluding Unusual Items,144.05,-56.25,-53.7,-26.47,-77.91,-17.05,2.34,-0.71,31.7,-2.95,1.61,-14.14,12.32,-26.54,-14.38,-42.6
14,Gain (Loss) on Sale of Investments,-0.14,-0.68,1.77,-0.95,0.63,0.3,0.2,0.13,-0.1,0.17,-,-,-,-,-,-
15,Gain (Loss) on Sale of Assets,-0.48,-0.02,0.01,0.49,-0.13,0.03,-0.03,-,-0.16,0.16,-0.16,-,-,-,-,-
16,Asset Writedown,1.75,-1.75,0.43,-0.43,2.76,-2.76,0.32,-0.32,0.88,-0.88,0.56,-0.56,0.93,-0.93,-0.09,0.05
17,Other Unusual Items,-,-1.11,1.11,0,1.83,-,-,-,8.05,-,-,-,2.53,0.02,-0.02,-
18,Pretax Income,145.18,-59.81,-50.39,-27.35,-72.82,-19.48,2.83,-0.91,40.37,-3.51,2.02,-14.7,15.78,-27.45,-14.5,-42.54
19,Income Tax Expense,214.57,-0.12,0.23,-0.16,0.09,-,-0.01,-,-8.16,-,-,-,-,-,-,-
20,Earnings From Continuing Operations,-69.39,-59.7,-50.62,-27.19,-72.91,-19.48,2.85,-0.91,48.53,-3.51,2.02,-14.7,15.78,-27.45,-14.5,-42.54
21,Minority Interest in Earnings,0.12,-0,-0.2,0.09,-0.14,0.08,0.09,0.09,0.08,0.07,0.07,0.06,0.1,0.07,0.07,0.06
22,Net Income,-69.28,-59.7,-50.82,-27.1,-73.05,-19.39,2.93,-0.82,48.61,-3.44,2.08,-14.64,15.88,-27.39,-14.43,-42.48
23,Net Income to Common,-69.28,-59.7,-50.82,-27.1,-73.05,-19.39,2.93,-0.82,48.61,-3.44,2.08,-14.64,15.88,-27.39,-14.43,-42.48
24,Net Income Growth,-,-,-,-,-,-,41.03%,-,206.15%,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),230,260,248,271,292,317,259,259,257,306,254,186,201,192,197,192
26,Shares Outstanding (Diluted),230,260,248,271,292,317,259,259,257,306,254,186,201,192,197,192
27,Shares Change (YoY),-21.10%,-18.26%,-4.04%,4.64%,13.52%,3.59%,2.08%,39.02%,27.59%,59.77%,28.96%,-2.92%,-,-,-,-
28,EPS (Basic),-0.30,-0.23,-0.20,-0.10,-0.25,-0.06,0.01,-0.00,0.19,-0.01,0.01,-0.08,0.08,-0.14,-0.07,-0.22
29,EPS (Diluted),-0.30,-0.23,-0.20,-0.10,-0.25,-0.06,0.01,-0.00,0.19,-0.01,0.01,-0.08,0.08,-0.14,-0.07,-0.22
30,EPS Growth,-,-,-,-,-,-,38.16%,-,139.95%,-,-,-,-,-,-,-
31,Free Cash Flow,-,-33.61,-57.93,-36.79,42.82,-44.81,-12.35,-42.14,137.68,17.49,22.16,-32.46,-9.99,-38.6,-20.3,-25.34
32,Free Cash Flow Per Share,-,-0.13,-0.23,-0.14,0.15,-0.14,-0.05,-0.16,0.54,0.06,0.09,-0.17,-0.05,-0.20,-0.10,-0.13
33,Gross Margin,135.31%,59.01%,54.24%,74.43%,12.75%,65.12%,62.16%,60.92%,56.28%,52.73%,58.40%,65.84%,50.23%,48.29%,73.65%,68.12%
