,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8112,7577,8653,8223,8634,11219,8647,10150,9459,10080,8033,7816,6378,8580,6644,9311,-,-,-,-,-
1,Market Cap Growth,-32.47%,-32.47%,0.06%,-18.98%,-8.72%,11.31%,7.65%,29.86%,48.30%,17.47%,20.91%,-16.06%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7343,6808,7903,7283,7659,10244,8405,9856,9151,9772,7683,7436,6007,8209,6261,8870,-,-,-,-,-
3,Last Close Price,61.80,57.72,66.08,62.57,64.93,84.37,65.03,83.03,77.38,82.46,65.72,63.94,51.98,69.93,54.15,75.88,-,-,-,-,-
4,PE Ratio,49.44,45.95,40.07,39.66,46.53,62.57,51.71,66.59,62.88,73.80,61.45,65.21,56.54,80.83,60.26,89.29,-,-,-,-,-
5,Forward PE,27.22,28.02,28.25,35.55,32.31,41.86,39.54,44.09,44.62,46.10,40.89,42.01,30.17,48.73,41.20,69.91,-,-,-,-,-
6,PS Ratio,8.55,7.94,8.46,8.57,9.92,13.54,11.31,14.18,13.42,15.45,13.13,13.93,12.38,17.43,13.94,22.14,-,-,-,-,-
7,PB Ratio,3.93,3.68,4.21,4.11,4.22,5.52,4.40,9.02,8.73,9.61,8.05,8.10,6.71,9.22,7.48,10.73,-,-,-,-,-
8,P/TBV Ratio,3.71,3.71,4.23,4.14,4.25,5.55,4.43,9.12,8.81,9.71,8.15,8.12,6.72,9.23,7.48,10.73,-,-,-,-,-
