,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,236.03,271.36,248.49,198.05,299.83,207.81,159.13,156.86,235.76,158.8,148.32,104.37,197.75,105.99,104.39,81.41,182.29,49.97,53.33,21.82
1,Other Revenue,-,-2.89,2.89,-,5.21,-2.66,2.66,-,5.03,-2.46,2.46,-,2.71,-0.5,0.5,-,2.68,-0.75,0.75,-
2,Revenue,236.03,268.47,251.38,198.05,305.04,205.15,161.8,156.86,240.79,156.33,150.78,104.37,200.45,105.49,104.89,81.41,184.96,49.22,54.09,21.82
3,Revenue Growth (YoY),-22.62%,30.87%,55.37%,26.26%,26.69%,31.23%,7.31%,50.29%,20.12%,48.20%,43.74%,28.21%,8.37%,114.31%,93.94%,273.17%,-,-,-,-
4,Cost of Revenue,-423.61,161.3,151.13,111.18,178.62,126.73,92.14,87.56,137.15,89.24,81.67,63.24,115.16,64.06,53.45,49.11,110.37,26.11,28.89,10.11
5,Gross Profit,659.65,107.18,100.25,86.87,126.42,78.42,69.65,69.3,103.64,67.09,69.11,41.13,85.29,41.43,51.44,32.3,74.59,23.11,25.2,11.71
6,"Selling, General & Admin",-65.62,30.05,9.73,25.84,27.75,25.22,7.82,20.27,23.13,15.46,13.94,10.84,20.94,10.54,11.57,5.87,11.34,8.39,10.14,4.89
7,Research & Development,-74.75,25.82,24.16,24.77,32.78,22.91,21.27,17.58,21.43,21.09,27.44,14.78,15.18,18.38,13.15,9.77,13.9,-0.11,11.97,8.18
8,Other Operating Expenses,787.58,-7.4,-1.56,0.63,-9.24,1.12,1.05,0.02,3.66,0.62,0.73,0,2.59,0.05,-1.2,0.8,0.3,0.08,-0.1,0.67
