,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,66,70,92,80,100,84,76,152,88,76,80
1,Market Cap Growth,-12.50%,-12.50%,-8.00%,-4.76%,31.58%,-44.74%,-13.64%,100.00%,10.00%,-50.00%,-76.47%
2,Enterprise Value,-16,-23,28,35,69,66,42,112,49,34,20
3,Last Close Price,0.16,0.17,0.23,0.20,0.25,0.21,0.19,0.38,0.22,0.19,0.20
4,PE Ratio,44.99,-,2.33,2.25,5.28,8.00,-,93.94,-14.49,-,-
5,PS Ratio,0.40,0.43,0.28,0.19,0.32,0.33,0.31,0.76,0.61,0.60,0.60
6,PB Ratio,0.47,0.50,0.63,0.57,0.94,0.81,0.87,1.63,0.96,0.83,0.82
7,P/TBV Ratio,0.50,0.50,0.63,0.57,0.94,0.81,0.87,1.63,0.96,0.83,0.82
8,P/FCF Ratio,4.24,-,1.99,3.06,3.72,38.13,-,-,-,15.34,-2.77
9,P/OCF Ratio,2.94,-,1.88,2.64,2.80,10.06,-,-,9.21,4.11,-4.64
10,EV/Sales Ratio,-,-,0.08,0.08,0.22,0.26,0.17,0.56,0.34,0.27,0.15
11,EV/EBITDA Ratio,-,-,0.62,0.83,2.95,4.82,-,17.80,-10.34,-,-
12,EV/EBIT Ratio,-,-,0.73,0.98,4.05,8.51,-,2671.60,-,-,-
13,EV/FCF Ratio,-1.02,-,0.61,1.34,2.57,29.98,-,-,-,6.92,-0.70
14,Debt / Equity Ratio,0.01,0.01,-,-,-,-,-,-,-,0.00,0.00
15,Debt / FCF Ratio,0.05,-,-,-,-,-,-,-,-,0.01,0.00
16,Return on Capital Employed (ROCE),-,-,26.14%,25.52%,16.06%,7.49%,-,0.05%,-,-,-
17,Earnings Yield,2.22%,2.08%,42.90%,44.50%,18.93%,12.50%,-5.91%,1.06%,-6.90%,-43.27%,-41.32%
18,FCF Yield,23.60%,22.12%,50.30%,32.70%,26.87%,2.62%,-31.37%,-7.33%,0.21%,6.52%,-36.11%
