,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,379.03,1035,495.78,1006,371.86
1,Revenue Growth (YoY),-23.55%,2.88%,33.33%,-,-
2,Cost of Revenue,357.35,974.54,467.23,948.93,350.2
3,Gross Profit,21.67,60.6,28.55,57.27,21.66
4,"Selling, General & Admin",20.16,24.86,16.36,20.09,18.98
5,Other Operating Expenses,0.14,0.04,0.01,0.16,-0.16
6,Operating Expenses,18.03,29.49,12.08,11.87,26.12
7,Operating Income,3.64,31.11,16.47,45.39,-4.46
8,Interest Expense,-0.7,-0.76,-1.42,-0.45,-0.04
9,Interest & Investment Income,0.55,0.73,0.18,0.1,0.05
10,Currency Exchange Gain (Loss),-,0.07,-,0.2,-0.2
11,Other Non Operating Income (Expenses),-,0.16,-,-2.37,0.04
12,EBT Excluding Unusual Items,3.5,31.31,15.23,42.88,-4.61
13,Other Unusual Items,-,-0.01,-,-,-
14,Pretax Income,3.5,31.31,15.23,42.88,-4.61
15,Income Tax Expense,3.17,10.28,4.44,13.17,-0.23
16,Net Income,0.34,21.03,10.79,29.71,-4.38
17,Net Income to Common,0.34,21.03,10.79,29.71,-4.38
18,Net Income Growth,-96.89%,-29.22%,-,-,-
19,Shares Outstanding (Basic),509,771,386,771,1
20,Shares Outstanding (Diluted),509,771,386,771,1
21,Shares Change (YoY),31.87%,-,38510.00%,-,-
22,EPS (Basic),0.00,0.03,0.03,0.04,-4.38
23,EPS (Diluted),0.00,0.03,0.03,0.04,-4.38
24,EPS Growth,-97.65%,-29.22%,-,-,-
25,Free Cash Flow,-147.35,22.22,-13.27,52.66,-6.23
26,Free Cash Flow Per Share,-0.29,0.03,-0.03,0.07,-6.23
27,Operating Margin,0.96%,3.01%,3.32%,4.51%,-1.20%
28,Profit Margin,0.09%,2.03%,2.18%,2.95%,-1.18%
29,Free Cash Flow Margin,-38.88%,2.15%,-2.68%,5.23%,-1.67%
30,EBITDA,5.1,32.2,17.59,46.46,-3.43
31,D&A For EBITDA,1.45,1.09,1.13,1.07,1.04
32,EBIT,3.64,31.11,16.47,45.39,-4.46
