,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,105.11,147.14,96.75,112.12,-
1,Short-Term Investments,80.69,80.32,92.64,108.61,-
2,Cash & Short-Term Investments,185.8,227.46,189.39,220.73,-
3,Cash Growth,-1.90%,3.05%,-,-,-
4,Accounts Receivable,1268,1367,1097,1235,-
5,Other Receivables,-,-,0.03,0.05,-
6,Receivables,1268,1367,1097,1235,-
7,Inventory,0.26,0.36,0.24,0.3,-
8,Restricted Cash,17.09,24.74,24.37,27.98,-
9,Total Current Assets,1471,1619,1311,1484,-
10,"Property, Plant & Equipment",46.72,43.61,2.41,2.99,-
11,Other Intangible Assets,8.15,9.15,10.2,11.25,-
12,Long-Term Deferred Tax Assets,9.61,10.33,9.54,10.47,-
13,Other Long-Term Assets,0.15,0.31,8.74,0.21,-
14,Total Assets,1535,1683,1341,1509,-
15,Accounts Payable,973.5,1203,926.1,1092,-
16,Accrued Expenses,35.96,35.47,-,39.29,-
17,Current Portion of Long-Term Debt,2.99,2.99,-,-,-
18,Current Portion of Leases,0.06,1.16,1.29,1.25,-
19,Current Income Taxes Payable,4.84,8.91,5.28,10.83,-
20,Current Unearned Revenue,15.8,21.99,20.81,21.92,-
21,Other Current Liabilities,3,10.17,49.6,16.15,-
22,Total Current Liabilities,1036,1284,1003,1181,-
23,Long-Term Debt,24.82,26.3,-,-,-
24,Long-Term Leases,0.01,0.08,0.56,1.15,-
25,Total Liabilities,1061,1310,1004,1182,-
26,Common Stock,4.68,0.01,0.01,0.01,-
27,Additional Paid-In Capital,96.94,-,-,-,-
28,Retained Earnings,54.5,54.17,33.14,22.35,-
29,Comprehensive Income & Other,318.25,318.25,304.7,304.7,-
30,Shareholders' Equity,474.37,372.42,337.85,327.06,-
31,Total Liabilities & Equity,1535,1683,1341,1509,-
32,Total Debt,27.88,30.52,1.85,2.4,-
33,Net Cash (Debt),157.91,196.94,187.54,218.33,-
34,Net Cash Growth,-15.80%,-9.80%,-,-,-
35,Net Cash Per Share,0.31,0.26,0.49,0.28,-
36,Filing Date Shares Outstanding,514.8,1,1,1,1
37,Total Common Shares Outstanding,514.8,1,1,1,1
38,Working Capital,434.57,335.39,307.53,303.3,-
39,Book Value Per Share,0.92,372.42,337.85,327.06,-
40,Tangible Book Value,466.21,363.27,327.65,315.82,-
41,Tangible Book Value Per Share,0.91,363.27,327.65,315.82,-
42,Machinery,-,1.41,0.9,0.84,-
43,Construction In Progress,-,41.39,-,-,-
