,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,649,463,-,-,-,-
1,Enterprise Value,479,246,-,-,-,-
2,Last Close Price,1.05,0.90,-,-,-,-
3,PE Ratio,20.48,20.19,-,-,-,-
4,PS Ratio,0.31,0.30,-,-,-,-
5,PB Ratio,1.06,0.91,-,-,-,-
6,P/TBV Ratio,0.92,0.92,-,-,-,-
7,EV/Sales Ratio,0.32,0.16,-,-,-,-
8,EV/EBITDA Ratio,11.67,6.15,-,-,-,-
9,EV/EBIT Ratio,12.88,6.60,-,-,-,-
10,Debt / Equity Ratio,0.06,0.06,0.08,0.01,0.01,-
11,Debt / FCF Ratio,-,-,3.41,-,0.05,-
12,Return on Capital Employed (ROCE),6.93%,6.96%,11.93%,18.28%,12.47%,-
13,Earnings Yield,3.54%,4.95%,-,-,-,-
14,FCF Yield,-20.73%,-29.02%,-,-,-,-
15,Buyback Yield / Dilution,22.64%,-31.87%,-,-38510.00%,-,-
16,Total Shareholder Return,22.64%,-31.87%,-,-38510.00%,-,-
