,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,709.02,660.94,599.79,626.78,512.11,522.12,402.85,358.92,229.34
1,Revenue Growth (YoY),18.21%,5.45%,17.12%,20.05%,27.12%,45.47%,75.65%,-,-
2,Cost of Revenue,476.69,446.94,373.57,404.79,302.96,317.27,231.01,210.94,129.95
3,Gross Profit,232.33,214,226.22,221.99,209.14,204.85,171.84,147.98,99.39
4,"Selling, General & Admin",69.91,87.85,81.89,80.72,81.29,73.54,78.51,69.03,45.99
5,Other Operating Expenses,-1.87,-12.95,-7.88,-6.86,-4.51,-8.08,-3.17,-2.88,-3.23
6,Operating Expenses,79.3,72.47,81.77,83.47,80.94,68.28,75.34,66.15,42.76
7,Operating Income,153.03,141.53,144.45,138.52,128.21,136.57,96.5,81.83,56.63
8,Interest Expense,-1.5,-1.56,-2.02,-1.65,-1.7,-1.33,-2.05,-22.32,-22.46
9,Interest & Investment Income,10.9,12.21,8.72,12.6,11.84,7.51,1.34,21.28,21.24
10,Earnings From Equity Investments,0.03,-0.07,0.28,0.2,-0.18,-0.48,0.27,0.49,0.01
11,Currency Exchange Gain (Loss),-,-1.51,-,-0.54,-,-,-,-,-
12,Other Non Operating Income (Expenses),-,-0.84,-,-2.9,-0.09,-1.67,-0.14,-0.15,-0.31
13,EBT Excluding Unusual Items,162.46,149.76,151.43,146.23,138.08,140.6,95.92,81.13,55.12
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,0.12,-0.12
15,Gain (Loss) on Sale of Assets,-,-0.03,-,-0.23,-,-0.72,-,2.98,-
16,Asset Writedown,-9.52,-8.01,-9.23,-1.6,-16.06,-7.52,-1.74,3.74,-2.82
17,Other Unusual Items,-,-,-,-,-,0.05,-24.37,-7.56,-
18,Pretax Income,152.94,141.73,142.21,144.41,122.01,132.41,69.8,80.41,52.18
19,Income Tax Expense,25.56,19.11,24.19,26.44,17.71,25.43,10.91,14.19,8.64
20,Earnings From Continuing Operations,127.38,122.62,118.02,117.97,104.31,106.98,58.9,66.22,43.55
21,Minority Interest in Earnings,-9.24,-17.15,-8.52,-14.82,-4.42,0.02,-,-,-
22,Net Income,118.14,105.47,109.5,103.15,99.89,107,58.9,66.22,43.55
23,Net Income to Common,118.14,105.47,109.5,103.15,99.89,107,58.9,66.22,43.55
24,Net Income Growth,7.89%,2.25%,9.62%,-3.60%,69.59%,61.57%,35.25%,-,-
25,Shares Outstanding (Basic),814,814,814,814,814,812,641,566,563
26,Shares Outstanding (Diluted),814,814,814,814,814,812,641,566,563
27,Shares Change (YoY),-,-,-,0.26%,27.07%,43.51%,13.84%,-,-
28,EPS (Basic),0.15,0.13,0.13,0.13,0.12,0.13,0.09,0.12,0.08
29,EPS (Diluted),0.15,0.13,0.13,0.13,0.12,0.13,0.09,0.12,0.08
30,EPS Growth,7.89%,2.25%,9.62%,-3.85%,33.47%,12.59%,18.80%,-,-
31,Free Cash Flow,-28.11,283.45,46.3,154.22,13.93,75.07,144.07,72.23,84.52
32,Free Cash Flow Per Share,-0.03,0.35,0.06,0.19,0.02,0.09,0.22,0.13,0.15
33,Dividend Per Share,0.083,0.091,0.067,-,-,-,-,-,-
34,Dividend Growth,23.88%,-,-,-,-,-,-,-,-
35,Operating Margin,21.58%,21.41%,24.08%,22.10%,25.04%,26.16%,23.95%,22.80%,24.69%
36,Profit Margin,16.66%,15.96%,18.26%,16.46%,19.50%,20.49%,14.62%,18.45%,18.99%
37,Free Cash Flow Margin,-3.97%,42.89%,7.72%,24.61%,2.72%,14.38%,35.76%,20.12%,36.85%
38,EBITDA,164.47,147.77,155.51,147.56,131.6,139.77,99.5,83.67,59.38
39,D&A For EBITDA,11.44,6.24,11.06,9.04,3.39,3.21,3,1.84,2.75
40,EBIT,153.03,141.53,144.45,138.52,128.21,136.57,96.5,81.83,56.63
