,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1693,1311,944,1067,1091,1938,2361,2483,-,-
1,Market Cap Growth,22.90%,22.90%,-13.43%,-44.96%,-53.79%,-21.97%,-,-,-,-
2,Enterprise Value,753,195,-54,29,84,663,1147,2404,-,-
3,Last Close Price,2.08,1.53,1.04,1.10,1.03,1.75,2.14,2.25,-,-
4,PE Ratio,7.05,5.46,3.99,4.64,4.75,8.00,11.59,16.50,-,-
5,Forward PE,-,3.84,3.84,4.18,5.62,5.62,6.73,-,-,-
6,PS Ratio,1.15,0.89,0.68,0.80,0.85,1.60,2.08,2.71,-,-
7,PB Ratio,1.31,0.93,0.68,0.83,0.82,1.57,2.02,2.44,-,-
8,P/TBV Ratio,1.31,1.31,0.96,1.16,1.14,2.17,2.07,2.47,-,-
9,P/FCF Ratio,6.17,-,2.60,4.92,5.74,18.59,8.78,9.55,-,-
10,P/OCF Ratio,4.73,-,2.56,4.63,5.40,17.87,8.14,8.78,-,-
11,PEG Ratio,0.08,0.08,0.08,0.08,0.08,0.08,0.10,-,-,-
12,EV/Sales Ratio,0.51,0.13,-,0.02,0.07,0.55,1.01,2.62,-,-
13,EV/EBITDA Ratio,2.26,0.58,-,0.09,0.27,2.08,3.90,10.91,-,-
14,EV/EBIT Ratio,2.38,0.62,-,0.09,0.28,2.14,4.01,11.21,-,-
15,EV/FCF Ratio,2.75,-,-,0.13,0.44,6.36,4.26,9.24,-,-
16,Debt / Equity Ratio,0.04,0.04,0.05,0.06,0.06,0.06,0.07,0.09,0.37,-
17,Debt / FCF Ratio,0.19,-,0.17,0.33,0.39,0.76,0.31,0.35,0.34,-
18,Return on Capital Employed (ROCE),21.94%,21.94%,21.74%,22.77%,21.32%,23.32%,22.80%,19.49%,71.31%,-
19,Earnings Yield,14.19%,18.33%,25.08%,21.54%,21.04%,12.51%,8.62%,6.06%,-,-
20,FCF Yield,16.20%,20.93%,38.47%,20.32%,17.42%,5.38%,11.39%,10.48%,-,-
21,Dividend Yield,9.14%,12.24%,16.77%,6.56%,-,-,-,-,-,-
22,Buyback Yield / Dilution,-,-,-,-0.26%,-27.07%,-43.51%,-13.84%,-,-,
23,Total Shareholder Return,9.14%,12.24%,16.77%,6.56%,-0.26%,-27.07%,-43.51%,-13.84%,-,-
