,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,1006,1145,1044,1040,965.31,1106,1074,112.61,-
1,Short-Term Investments,23.33,20.71,19.27,19.79,23.28,9.58,11.79,7.21,-
2,Cash & Short-Term Investments,1029,1166,1063,1060,988.59,1115,1086,119.83,-
3,Cash Growth,-3.20%,10.05%,7.53%,-4.98%,-8.94%,830.62%,-,-,-
4,Accounts Receivable,496.45,317.6,401.86,324.76,299.13,189.29,171.65,163.1,-
5,Other Receivables,31.2,20.2,26.25,16.73,24.59,23.25,40.41,193.03,-
6,Receivables,527.65,337.8,428.11,341.49,323.72,212.54,212.06,356.13,-
7,Inventory,0.34,0.37,0.31,0.36,0.34,0.27,0.44,0.3,-
8,Prepaid Expenses,-,-,12.78,-,9.13,-,4.27,-,-
9,Other Current Assets,51.41,47.09,19.86,42.31,16.07,23.68,14.38,11.28,-
10,Total Current Assets,1608,1551,1524,1444,1338,1352,1317,487.54,-
11,"Property, Plant & Equipment",15.19,15.14,13.51,13.96,12.39,13.62,16.05,17.1,-
12,Long-Term Investments,14.73,14.58,14.97,2.18,2.51,1.47,1.95,1.67,-
13,Goodwill,133.42,133.42,133.42,133.42,133.42,-,-,-,-
14,Other Intangible Assets,143.28,137.82,129,115.33,98.6,24.84,9.42,5.8,-
15,Long-Term Deferred Tax Assets,15.01,11.41,7.09,6.74,5.52,2.78,5.61,7.39,-
16,Other Long-Term Assets,87.61,97.13,105.67,104.61,105.96,96.67,104.54,71.68,-
17,Total Assets,2018,1961,1928,1820,1696,1491,1454,591.18,-
18,Accounts Payable,235.38,198.81,191.42,166,136.6,77.91,62.95,43.65,-
19,Accrued Expenses,42.03,75.36,45.15,63.95,38.24,33.11,41.57,37.88,-
20,Short-Term Debt,-,-,-,-,-,-,-,0.04,-
21,Current Portion of Leases,29.75,11.96,20.35,4.9,6.44,8.47,9.38,7.25,-
22,Current Income Taxes Payable,6.4,6.13,6.81,16.12,8.2,-,-,12.17,-
23,Current Unearned Revenue,187.44,194.46,177.17,158.3,162.33,195.77,238.63,161.71,-
24,Other Current Liabilities,174.3,158.26,244.33,159.73,209.04,153.5,187.04,134.3,-
25,Total Current Liabilities,675.28,644.97,685.24,569,560.84,468.76,539.56,397,-
26,Long-Term Leases,17.93,45.34,45.65,60.81,61.52,60.36,66.57,46.35,-
27,Long-Term Deferred Tax Liabilities,13.58,13.7,14.04,16.29,17.96,7.49,2.36,2.53,-
28,Total Liabilities,706.79,704.01,744.93,646.09,640.31,536.61,608.49,445.88,-
29,Common Stock,6.74,6.74,6.74,6.74,6.74,6.74,6.74,-,-
30,Additional Paid-In Capital,750.04,750.04,750.04,750.04,750.04,750.04,750.04,-,-
31,Retained Earnings,492.57,448.66,397.94,386.14,282.67,240.84,133.84,74.95,-
32,Comprehensive Income & Other,-44.77,-44.77,-44.77,-44.77,-44.77,-44.77,-44.77,70.35,-
33,Total Common Equity,1205,1161,1110,1098,994.68,952.85,845.85,145.3,-
34,Minority Interest,106.25,96.03,72.88,75.69,61.26,1.51,-,-,-
35,Shareholders' Equity,1311,1257,1183,1174,1056,954.36,845.85,145.3,-
36,Total Liabilities & Equity,2018,1961,1928,1820,1696,1491,1454,591.18,-
37,Total Debt,47.67,57.3,66,65.71,67.96,68.83,75.95,53.64,-
38,Net Cash (Debt),981.33,1109,997.05,993.82,920.63,1046,1010,66.18,-
39,Net Cash Growth,-1.58%,11.56%,8.30%,-5.01%,-8.82%,1480.90%,-,-,-
40,Net Cash Per Share,1.21,1.36,1.22,1.22,1.13,1.29,1.58,0.12,-
41,Filing Date Shares Outstanding,814.13,814.13,814.13,814.13,814.13,814.13,814.13,600,562.8
42,Total Common Shares Outstanding,814.13,814.13,814.13,814.13,814.13,814.13,814.13,600,562.8
43,Working Capital,933.11,906.26,838.88,874.69,777.01,882.83,777.22,90.54,-
44,Book Value Per Share,1.48,1.43,1.36,1.35,1.22,1.17,1.04,0.24,-
45,Tangible Book Value,927.88,889.44,847.54,849.4,762.66,928.01,836.43,139.5,-
46,Tangible Book Value Per Share,1.14,1.09,1.04,1.04,0.94,1.14,1.03,0.23,-
47,Machinery,-,40.32,-,33.23,-,27.14,-,24.27,-
